VALEUR,#valere,#gripaut,#la-branche,#cartouche,#harpin,#bel-humeur,#la-ramee,#la-pince,#tous-ensemble,#le-petit-frere,#madame-gribiche,#la-mouche,#l-exempt,#la-valeur,#pataut,#oronte,#isabelle,#jasmin,#rodomont,#un-musicien,#deuxieme-musicien,#premier-musicien,#troisieme-musicien
#jasmin,0.07317073170731707,0.2926829268292683,0.1951219512195122,0.3902439024390244,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.14634146341463414,0.04878048780487805,0.36585365853658536,1.709349593495935,0.12195121951219512,39.02439024390243,0.024390243902439025,0.0,0.0,0.0,0.0
#rodomont,0.07317073170731707,0.2926829268292683,0.1951219512195122,0.3902439024390244,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,18.548780487804876,0.024390243902439025,0.04878048780487805,4.979674796747967,0.04878048780487805,1.0991869918699186,1.709349593495935,0.12195121951219512,0.024390243902439025,39.02439024390243,0.0,0.0,0.0,0.0
#un-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#valere,#gripaut,#la-branche,#cartouche,#harpin,#bel-humeur,#la-ramee,#la-pince,#tous-ensemble,#le-petit-frere,#madame-gribiche,#la-mouche,#l-exempt,#la-valeur,#pataut,#oronte,#isabelle,#jasmin,#rodomont,#un-musicien,#deuxieme-musicien,#premier-musicien,#troisieme-musicien
#valere,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gripaut,0.125,0.013888888888888888,0.4166666666666667,0.2222222222222222,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-branche,0.0,0.5344827586206896,0.0,0.2413793103448276,0.05172413793103448,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cartouche,0.0,0.1797752808988764,0.15730337078651685,0.056179775280898875,0.0898876404494382,0.056179775280898875,0.06741573033707865,0.0449438202247191,0.0,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0,0.011235955056179775,0.06741573033707865,0.1797752808988764,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0
#harpin,0.0,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bel-humeur,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
