VALEUR,#don-salluste,#gudiel,#ruy-blas,#don-cesar,#le-marquis-del-basto,#le-marquis-de-santa-cruz,#le-comte-d-albe,#un-huissier-de-cour,#l-huissier,#la-reine,#casilda,#don-guritan,#la-duchesse,#voix-du-dehors,#don-manuel-arias,#le-comte-de-camporeal,#ubilla,#le-marquis-de-priego,#montazgo,#covadenga,#le-page,#le-laquais,#la-duegne,#l-alcade,#un-alguazil,#les-alguazils,#l-homme-masque
#le-marquis-de-priego,0.37037037037037035,0.037037037037037035,0.5555555555555556,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,11.574074074074076,11.574074074074076,11.574074074074076,25.03703703703704,25.03703703703704,11.574074074074076,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#don-manuel-arias,0.7407407407407407,0.07407407407407407,0.01111111111111112,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,2.7222222222222223,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.07407407407407407,23.148148148148152,23.148148148148152,23.148148148148152,11.574074074074076,11.574074074074076,23.148148148148152,4.898148148148148,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#le-page,0.7407407407407407,0.07407407407407407,0.711111111111111,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,2.7222222222222223,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.07407407407407407,4.898148148148148,4.898148148148148,4.898148148148148,0.07407407407407407,0.07407407407407407,4.898148148148148,23.148148148148152,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#le-laquais,0.37037037037037035,0.037037037037037035,0.5555555555555556,1.6712962962962965,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,25.03703703703704,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#la-duegne,0.37037037037037035,0.037037037037037035,0.5555555555555556,1.6712962962962965,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,25.03703703703704,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#l-alcade,1.0703703703703706,0.037037037037037035,0.5555555555555556,1.6712962962962965,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035
#l-alcade,1.0703703703703706,0.037037037037037035,0.5555555555555556,1.6712962962962965,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035
#l-alcade,1.0703703703703706,0.037037037037037035,0.5555555555555556,1.6712962962962965,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035
#l-homme-masque,0.37037037037037035,0.037037037037037035,0.3555555555555555,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,1.6712962962962965,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,25.03703703703704
Successions,#don-salluste,#gudiel,#ruy-blas,#don-cesar,#le-marquis-del-basto,#le-marquis-de-santa-cruz,#le-comte-d-albe,#un-huissier-de-cour,#l-huissier,#la-reine,#casilda,#don-guritan,#la-duchesse,#voix-du-dehors,#don-manuel-arias,#le-comte-de-camporeal,#ubilla,#le-marquis-de-priego,#montazgo,#covadenga,#le-page,#le-laquais,#la-duegne,#l-alcade,#un-alguazil,#les-alguazils,#l-homme-masque
#don-salluste,0.0547945205479452,0.0136986301369863,0.3150684931506849,0.4657534246575342,0.02054794520547945,0.0410958904109589,0.0,0.00684931506849315,0.0,0.03424657534246575,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0
#gudiel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ruy-blas,0.33093525179856115,0.0,0.007194244604316547,0.1223021582733813,0.0,0.007194244604316547,0.0,0.0,0.02158273381294964,0.37410071942446044,0.02158273381294964,0.06474820143884892,0.0,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0,0.0,0.007194244604316547,0.02158273381294964,0.0,0.0,0.0,0.0,0.0,0.007194244604316547
#don-cesar,0.4329268292682927,0.0,0.10365853658536585,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18902439024390244,0.07926829268292683,0.018292682926829267,0.006097560975609756,0.0,0.0
