VALEUR,#la-baguenaudiere,#madame-bouvillon,#blaise-bouvillon,#isabelle,#le-destin,#ragotin,#le-charretier,#la-rancune,#l-olive,#mademoiselle-la-caverne,#mademoiselle-l-etoile,#premier-porteur,#second-porteur,#troisieme-porteur,#l-etoile,#de-preraze,#des-lentilles,#de-boiscoupe,#de-mousseverte,#le-decorateur,#tous-ensemble,#cleopatre,#charmion,#antoine,#eros,#le-page,#le-laquais
#le-charretier,0.09262820512820509,0.46153846153846156,3.601282051282051,0.46153846153846156,0.29514170040485826,3.115384615384615,61.061538461538454,0.29514170040485826,6.248076923076923,0.06153846153846154,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.27692307692307694,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.09230769230769231,0.03076923076923077,0.21538461538461537,0.12307692307692308,0.12307692307692308,0.09230769230769231,0.03076923076923077,0.03076923076923077
#la-rancune,1.2960863697705802,1.296896086369771,0.32402159244264506,0.08636977058029677,0.05523119539740051,0.22773279352226697,0.29514170040485826,32.553846153846145,0.02449392712550609,0.5846153846153846,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.05182186234817815,0.02449392712550609,0.02449392712550609,0.02449392712550609,0.02449392712550609,0.017273954116059382,0.2923076923076923,2.0461538461538464,1.1692307692307693,1.1692307692307693,0.8769230769230769,0.2923076923076923,0.2923076923076923
#l-olive,4.31025641025641,0.006410256410256401,7.202564102564102,0.006410256410256401,0.02449392712550609,2.5432692307692304,6.248076923076923,0.02449392712550609,57.246153846153845,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.5538461538461539,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.18461538461538463,0.06153846153846154,0.43076923076923074,0.24615384615384617,0.24615384615384617,0.18461538461538463,0.06153846153846154,0.06153846153846154
#mademoiselle-la-caverne,0.09262820512820509,5.128205128205127,0.18461538461538463,0.46153846153846156,0.5846153846153846,3.115384615384615,0.06153846153846154,0.5846153846153846,0.12307692307692308,61.061538461538454,30.530769230769227,30.530769230769227,30.530769230769227,30.530769230769227,0.27692307692307694,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.09230769230769231,0.03076923076923077,0.21538461538461537,0.12307692307692308,0.12307692307692308,0.09230769230769231,0.03076923076923077,0.03076923076923077
#mademoiselle-l-etoile,1.0775641025641025,2.5641025641025634,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,30.530769230769227,63.01538461538462,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
#premier-porteur,0.36923076923076925,2.5641025641025634,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,30.530769230769227,0.015384615384615385,63.01538461538462,63.01538461538462,63.01538461538462,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
#premier-porteur,0.36923076923076925,2.5641025641025634,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,30.530769230769227,0.015384615384615385,63.01538461538462,63.01538461538462,63.01538461538462,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
#premier-porteur,0.36923076923076925,2.5641025641025634,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,30.530769230769227,0.015384615384615385,63.01538461538462,63.01538461538462,63.01538461538462,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
#l-etoile,1.624002849002849,0.5584045584045585,0.8307692307692308,1.7806267806267801,0.7126405757984705,0.21367521367521364,0.27692307692307694,0.05182186234817815,0.5538461538461539,0.27692307692307694,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,48.246153846153845,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.4153846153846154,0.13846153846153847,0.9692307692307693,0.5538461538461539,0.5538461538461539,0.4153846153846154,0.13846153846153847,0.13846153846153847
#de-preraze,4.31025641025641,0.9230769230769231,0.36923076923076925,0.9230769230769231,1.1692307692307693,0.48076923076923067,0.12307692307692308,0.02449392712550609,0.24615384615384617,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.5538461538461539,57.246153846153845,57.246153846153845,57.246153846153845,57.246153846153845,3.601282051282051,14.311538461538461,0.43076923076923074,0.24615384615384617,0.24615384615384617,0.18461538461538463,0.06153846153846154,0.06153846153846154
