VALEUR,#jupiter,#mercure,#sosie,#le-trompette,#le-guerrier,#alcmene,#amphitryon,#l-echo,#ecclisse,#leda,#un-escalve,#la-voix-celeste,#la-foule,#la-danseuse,#une-danseuse,#aclmene
Successions,#jupiter,#mercure,#sosie,#le-trompette,#le-guerrier,#alcmene,#amphitryon,#l-echo,#ecclisse,#leda,#un-escalve,#la-voix-celeste,#la-foule,#la-danseuse,#une-danseuse,#aclmene
#jupiter,0.003663003663003663,0.336996336996337,0.0,0.0,0.0,0.6190476190476191,0.029304029304029304,0.003663003663003663,0.0,0.0,0.0,0.007326007326007326,0.0,0.0,0.0,0.0
#mercure,0.5621301775147929,0.0,0.0,0.0,0.0,0.42011834319526625,0.011834319526627219,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sosie,0.0,0.0196078431372549,0.0,0.43137254901960786,0.27450980392156865,0.0,0.0,0.0,0.21568627450980393,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.0,0.0
#le-trompette,0.0,0.0,0.5,0.0,0.13157894736842105,0.0,0.0,0.02631578947368421,0.23684210526315788,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.0
#le-guerrier,0.0,0.0,0.7142857142857143,0.23809523809523808,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcmene,0.4028776978417266,0.17266187050359713,0.0,0.0,0.002398081534772182,0.0,0.2182254196642686,0.002398081534772182,0.06235011990407674,0.1342925659472422,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0,0.0
#amphitryon,0.07476635514018691,0.018691588785046728,0.009345794392523364,0.0,0.0,0.8411214953271028,0.0,0.0,0.018691588785046728,0.0,0.009345794392523364,0.018691588785046728,0.0,0.0,0.0,0.009345794392523364
#l-echo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ecclisse,0.0,0.038461538461538464,0.23076923076923078,0.1346153846153846,0.0,0.46153846153846156,0.038461538461538464,0.0,0.0,0.057692307692307696,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0
#leda,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-escalve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-voix-celeste,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
#la-foule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-danseuse,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-danseuse,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aclmene,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
