VALEUR,#hector,#nerine,#valere,#geronte,#toutabas,#angelique,#la-comtesse,#laquais,#le-marquis,#laquais-1er,#laquais-2nd,#laquais-3eme,#madame-la-ressource,#dorante,#madame-adam,#monsieur-galonier,#madame-adam #monsieur-galonier
#hector,0.049773755656108594,0.14479638009049775,0.4751131221719457,0.167420814479638,0.0,0.03167420814479638,0.0,0.0,0.049773755656108594,0.0,0.0,0.0,0.02262443438914027,0.00904977375565611,0.013574660633484163,0.03167420814479638,0.004524886877828055
#nerine,0.3142857142857143,0.02857142857142857,0.0761904761904762,0.0380952380952381,0.0,0.24761904761904763,0.047619047619047616,0.0,0.06666666666666667,0.0,0.0,0.0,0.08571428571428572,0.09523809523809523,0.0,0.0,0.0
#valere,0.5617977528089888,0.07303370786516854,0.016853932584269662,0.06179775280898876,0.0,0.056179775280898875,0.03932584269662921,0.0,0.0898876404494382,0.0,0.0,0.0,0.056179775280898875,0.0056179775280898875,0.033707865168539325,0.0056179775280898875,0.0
#geronte,0.5915492957746479,0.028169014084507043,0.11267605633802817,0.028169014084507043,0.15492957746478872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0
#toutabas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.0945945945945946,0.32432432432432434,0.20270270270270271,0.02702702702702703,0.0,0.0,0.24324324324324326,0.0,0.04054054054054054,0.0,0.0,0.0,0.04054054054054054,0.02702702702702703,0.0,0.0,0.0
#la-comtesse,0.0,0.08,0.09333333333333334,0.0,0.0,0.25333333333333335,0.013333333333333334,0.013333333333333334,0.37333333333333335,0.0,0.0,0.0,0.04,0.13333333333333333,0.0,0.0,0.0
#laquais,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.15584415584415584,0.06493506493506493,0.18181818181818182,0.0,0.0,0.025974025974025976,0.42857142857142855,0.0,0.0,0.012987012987012988,0.012987012987012988,0.03896103896103896,0.07792207792207792,0.0,0.0,0.0,0.0
#laquais-1er,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#laquais-1er,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#laquais-1er,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-la-ressource,0.1,0.25,0.25,0.0,0.0,0.1,0.025,0.0,0.175,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
#dorante,0.0,0.25,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.027777777777777776,0.0,0.0,0.0
#madame-adam,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-galonier,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-adam #monsieur-galonier,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
