Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play Doc_embedding,Closest distance Doc_embedding
chevalier-amours-de-calotin,corneillet-comtesse-orgueil,0.0064,gillet-campagnard,0.0133,chevalier-pedagogue-amoureux,0.0042
chevalier-barbons-amoureux,chevalier-intrigue-des-carrosses,0.0077,chevalier-pedagogue-amoureux,0.0091,chevalier-pedagogue-amoureux,0.0039
chevalier-cartel-de-guillot,chevalier-disgrace-des-domestiques,0.012,chevalier-disgrace-des-domestiques,0.0166,chevalier-disgrace-des-domestiques,0.0049
chevalier-desolation-des-filous,chevalier-galants-ridicules,0.0151,marmontel-huron,0.0294,poisson-actrice-nouvelle,0.0141
chevalier-disgrace-des-domestiques,poisson-sot-venge,0.0114,chevalier-cartel-de-guillot,0.0166,chevalier-cartel-de-guillot,0.0049
chevalier-galants-ridicules,anseaume-tableau-parlant,0.0101,chevalier-amours-de-calotin,0.0145,scarron-ecolier-de-salamanque,0.0071
chevalier-intrigue-des-carrosses,chevalier-barbons-amoureux,0.0077,chevalier-pedagogue-amoureux,0.0106,chevalier-pedagogue-amoureux,0.0029
chevalier-pedagogue-amoureux,moliere-ecole-des-femmes,0.0068,moliere-depit-amoureux,0.0061,moliere-etourdi,0.0024
chevreau-avocat-dupe,corneillep-galerie-du-palais,0.0039,du-ryer-vendanges-de-suresnes,0.0059,donneau-de-vise-cocue-imaginaire,0.0033
chevreau-coriolan,du-ryer-clitophon,0.0092,campistron-arminiusc,0.0118,campistron-arminiusc,0.0078
chevreau-la-lucrece-romaine,corneillep-theodore,0.0049,scudery-amour-tyran,0.0072,du-ryer-cleomedon,0.0036
cinq-auteurs-aveugle-de-smyrne,rotrou-amelie,0.0052,boisrobert-rivaux-amis,0.0052,pousset-de-montauban-felicie,0.0029
cinq-auteurs-comedie-des-tuileries,mareschala-inconstance-d-hylas,0.005,corneillet-berger-extravagant,0.0066,rotrou-agesilan,0.003
clairville-siraudin-moreau-la-societe-du-doigt-dans-l-oeil,marivaux-joie-imprevue,0.0139,legrand-famille-extravagante,0.0146,labiche-leroy-il-est-de-la-police,0.0047
claretie-valentin,saurin-moeurs-du-temps,0.0207,bernardt-antoinette,0.0332,bernardt-antoinette,0.0106
clemenceau-le-voile-du-bonheur,sand-roi-attend,0.0331,bouilly-descartes,0.0409,dufresny-depart-des-comediens,0.0121
colardeau-astarbe,delavigne-vepres-siciliennes,0.006,voltaire-orphelin-de-la-chine,0.0097,voltaire-scythes,0.0044
colle-accidents,dancourt-colin-maillard,0.0116,dancourt-parisienne,0.0297,plancher-verre-d-eau,0.0058
colle-alfonse,gilbert-semiramis,0.009,piron-gustave-wasa,0.0142,fabre-d-eglantine-augusta,0.0051
colle-cocatrix,doigny-du-ponceau-antigone,0.0133,colardeau-astarbe,0.0172,colardeau-astarbe,0.0068
colle-esperance,dancourt-inconnu,0.0259,panard-critique-a-l-opera-comique,0.0461,dancourt-inconnu,0.0124
colle-ile-sonnante,corneillet-berger-extravagant,0.0163,colle-tanzai-et-neadarne,0.0238,barre-radet-candide,0.008
colle-l-amant-anonyme,genlis-amant-anonyme,0.0,genlis-amant-anonyme,0.0002,genlis-amant-anonyme,0.0
colle-scenes-detachees-de-la-guinguette,colle-accidents,0.0234,beissier-chasseurs-et-l-ours,0.0704,duvert-huron,0.0119
colle-tanzai-et-neadarne,rotrou-les-occasions-perdues,0.0096,mareschala-cour-bergere,0.0156,saurin-spartacus,0.0065
collet-l-ile-deserte,discret-noces-de-vaugirard,0.0092,corneillep-illusion-comique,0.0125,rosimond-festin-de-pierre,0.0054
colleville-sophie-derville,genlis-cloison,0.0111,ancelot-auger-une-seduction,0.0122,ancelot-auger-une-seduction,0.0042
constant-wallstein,carrion-nizas-pierre-le-grand,0.0066,carrion-nizas-pierre-le-grand,0.0101,carrion-nizas-pierre-le-grand,0.0032
corneillep-agesilas,corneillep-surena,0.0041,corneillep-surena,0.0051,corneillep-tite,0.0025
corneillep-andromede,corneillep-toison,0.0054,corneillep-toison,0.0048,rotrou-antigone,0.0032
corneillep-attila,corneillep-sertorius,0.0033,corneillep-sertorius,0.0046,corneillep-sertorius,0.0022
corneillep-cid-37,corneillep-cid,0.0006,corneillep-cid,0.0011,corneillep-cid,0.0006
corneillep-cid,corneillep-cid-37,0.0006,corneillep-cid-37,0.0011,corneillep-cid-37,0.0006
corneillep-cinna-43,corneillep-cinna,0.0001,corneillep-cinna,0.0002,corneillep-cinna,0.0027
corneillep-cinna,corneillep-cinna-43,0.0001,corneillep-cinna-43,0.0002,corneillep-cinna-43,0.0027
corneillep-clitandre,tristan-mort-de-chrispe,0.0048,corneillep-melite-33,0.0072,corneillep-melite-33,0.0022
corneillep-don-sanche,corneillep-pertharite,0.009,corneillep-othon,0.0082,corneillep-sertorius,0.0013
corneillep-galerie-du-palais,corneillep-melite,0.0022,corneillep-suivante,0.0036,corneillep-suivante,0.0013
corneillep-heraclius,corneillep-oedipe,0.0064,corneillep-oedipe,0.0067,corneillet-darius,0.0023
corneillep-horace,la-calprenede-mort-mitrhidate,0.0046,corneillep-cinna,0.006,corneillep-toison,0.003
corneillep-illusion-comique,du-ryer-lisandre-caliste,0.0048,sallebray-l-amante-ennemie,0.0075,corneillep-galerie-du-palais,0.0028
corneillep-medee-39,corneillep-medee,0.0003,corneillep-medee,0.0003,corneillep-medee,0.0013
corneillep-medee,corneillep-medee-39,0.0003,corneillep-medee-39,0.0003,corneillep-medee-39,0.0013
corneillep-melite-33,corneillep-melite,0.0005,corneillep-melite,0.0012,corneillep-melite,0.0004
corneillep-melite,corneillep-melite-33,0.0005,corneillep-melite-33,0.0012,corneillep-melite-33,0.0004
corneillep-menteur,corneillep-suite-menteur,0.004,moliere-etourdi,0.0061,corneillep-suite-menteur,0.0018
corneillep-mort-pompee,corneillep-cinna,0.0054,racine-alexandre-66,0.0073,corneillep-horace,0.0044
corneillep-nicomede,corneillep-sertorius,0.0064,corneillep-sertorius,0.0066,corneillep-don-sanche,0.0023
corneillep-oedipe,corneillep-rodogune,0.0041,corneillep-rodogune,0.0057,quinault-astrate,0.0024
corneillep-othon,corneillep-pulcherie,0.0039,corneillep-sophonisbe,0.004,corneillep-tite,0.0024
corneillep-pertharite,corneillep-rodogune,0.0042,corneillep-surena,0.005,corneillep-heraclius,0.0028
corneillep-place-royale,corneillep-suivante,0.0025,pousset-de-montauban-felicie,0.0077,desfontaines-perside,0.0059
corneillep-polyeucte,corneillep-theodore,0.0039,corneillep-theodore,0.004,corneillep-theodore,0.0015
corneillep-pulcherie,corneillep-othon,0.0039,corneillep-tite,0.0047,corneillep-surena,0.0021
corneillep-rodogune,corneillep-oedipe,0.0041,corneillep-pertharite,0.0051,corneillep-theodore,0.0022
corneillep-sertorius,corneillep-attila,0.0033,corneillep-sophonisbe,0.0042,corneillep-don-sanche,0.0013
corneillep-sophonisbe,corneillep-sertorius,0.0037,corneillep-othon,0.004,corneillep-sertorius,0.0019
corneillep-suite-menteur,moliere-ecole-des-femmes,0.0037,corneillet-amour-a-la-mode,0.0041,corneillep-menteur,0.0018
corneillep-suivante,corneillep-veuve,0.002,corneillep-galerie-du-palais,0.0036,corneillep-galerie-du-palais,0.0013
corneillep-surena,corneillep-tite,0.0039,corneillep-tite,0.0045,corneillep-don-sanche,0.002
corneillep-theodore,corneillep-polyeucte,0.0039,corneillep-polyeucte,0.004,corneillep-polyeucte,0.0015
corneillep-tite,corneillep-surena,0.0039,corneillep-surena,0.0045,corneillep-sertorius,0.002
corneillep-toison,corneillep-andromede,0.0054,corneillep-andromede,0.0048,corneillep-attila,0.0024
corneillep-veuve-34,corneillep-veuve,0.0001,corneillep-veuve,0.0004,corneillep-veuve,0.0009
corneillep-veuve,corneillep-veuve-34,0.0001,corneillep-veuve-34,0.0004,corneillep-veuve-34,0.0009
corneillet-amour-a-la-mode,corneillep-suite-menteur,0.0039,corneillep-suite-menteur,0.0041,corneillep-suite-menteur,0.0022
corneillet-antiochus,corneillet-ariane,0.0044,corneillet-theodat,0.0048,corneillet-mort-empereur-commode,0.0024
corneillet-ariane,corneillet-antiochus,0.0044,corneillet-theodat,0.0055,corneillet-theodat,0.002
corneillet-baron-d-albikrac,quinault-mere-coquette,0.0055,barquebois-rapiniere,0.0208,corneillet-inconnu,0.0053
corneillet-berenice,corneillet-darius,0.004,corneillet-darius,0.0059,corneillet-timocrate,0.0019
corneillet-berger-extravagant,cinq-auteurs-comedie-des-tuileries,0.0062,cinq-auteurs-comedie-des-tuileries,0.0066,rotrou-la-soeur,0.0027
corneillet-bradamante,boyer-jeune-marius,0.009,corneillet-camma,0.0093,corneillet-theodat,0.0022
corneillet-camma,corneillet-stlicon,0.0038,corneillet-stlicon,0.0039,corneillet-antiochus,0.0029
corneillet-charme-de-la-voix,boisrobert-cassandre,0.0086,boissy-comte-de-neuilly,0.0195,corneillet-geolier-de-sois-meme,0.0043
corneillet-circe,mareschala-inconstance-d-hylas,0.0063,moliere-psyche,0.0112,tristan-mort-de-chrispe,0.0032
corneillet-comte-d-essex,corneillet-camma,0.0048,corneillet-theodat,0.0082,corneillet-theodat,0.0014
corneillet-comtesse-orgueil,corneillet-baron-d-albikrac,0.0058,pg-a-la-monaco,0.0103,nivelle-ecole-meres,0.0036
corneillet-darius,corneillet-persee-demetrius,0.0039,corneillet-persee-demetrius,0.0031,corneillet-mort-empereur-commode,0.0011
corneillet-dom-bertran-de-cigarral,scarron-marquis-ridicule,0.0056,scarron-marquis-ridicule,0.0067,scarron-marquis-ridicule,0.0029
corneillet-dom-cesar-d-avalos,dancourt-trahison-punie,0.0082,dancourt-trahison-punie,0.0123,corneillet-dom-bertran-de-cigarral,0.0031
corneillet-engagements-du-hasard,corneillet-feint-astrologue,0.0047,corneillet-feint-astrologue,0.0058,scarron-marquis-ridicule,0.0018
corneillet-feint-astrologue,corneillet-engagements-du-hasard,0.0047,corneillet-galant-double,0.0052,corneillet-galant-double,0.0012
corneillet-festin-pierre,moliere-dom-juan,0.0062,corneillet-dom-bertran-de-cigarral,0.0135,scarron-marquis-ridicule,0.0033
corneillet-galant-double,corneillet-feint-astrologue,0.005,corneillet-feint-astrologue,0.0052,corneillet-feint-astrologue,0.0012
corneillet-geolier-de-sois-meme,quinault-coups-de-l-amour,0.007,corneillet-comte-d-essex,0.0091,scarron-gardien-de-soi-meme,0.0032
corneillet-illustres-ennemis,corneillet-engagements-du-hasard,0.0094,corneillet-engagements-du-hasard,0.0084,quinault-bellerophon,0.0036
corneillet-inconnu,dancourt-inconnu,0.0072,dancourt-inconnu,0.0106,corneillet-baron-d-albikrac,0.0053
corneillet-laodice,corneillet-berenice,0.0052,corneillet-berenice,0.0059,corneillet-persee-demetrius,0.0012
corneillet-maximian,corneillet-mort-empereur-commode,0.0035,corneillet-stlicon,0.0035,corneillet-persee-demetrius,0.0013
corneillet-medee,quinault-amadis,0.0069,campistron-achille,0.0129,quinault-armide,0.0027
corneillet-mort-annibal,corneillep-othon,0.0069,corneillet-persee-demetrius,0.0068,corneillep-sertorius,0.0018
corneillet-mort-d-achille,quinault-agrippa,0.0064,corneillet-theodat,0.0069,corneillet-persee-demetrius,0.0021
corneillet-mort-empereur-commode,corneillet-maximian,0.0035,corneillet-maximian,0.0039,corneillet-darius,0.0011
corneillet-persee-demetrius,corneillet-darius,0.0039,corneillet-darius,0.0031,corneillet-laodice,0.0012
corneillet-pyrrhus,corneillet-laodice,0.0055,corneillet-persee-demetrius,0.0055,corneillet-darius,0.0013
corneillet-stlicon,corneillet-maximian,0.0037,corneillet-maximian,0.0035,corneillet-mort-empereur-commode,0.0012
corneillet-theodat,corneillet-camma,0.0047,quinault-astrate,0.0046,corneillet-comte-d-essex,0.0014
corneillet-timocrate,corneillet-persee-demetrius,0.004,corneillet-persee-demetrius,0.0054,corneillet-berenice,0.0019
coupigny-arlequin-jaloux,dancourt-colin-maillard,0.0138,clairville-siraudin-moreau-la-societe-du-doigt-dans-l-oeil,0.0187,beaunoir-cacophonie,0.0094
coupigny-barre-piis-desfontaines-hommage-racine,barante-arlequin-misanthrope,0.022,la-harpe-moliere,0.0239,dorat-les-proneurs,0.007
courteline-a-huitaine,courteline-prix-d-une-gifle,0.0539,courteline-prix-d-une-gifle,0.1022,monselet-bibliotheque,0.0258
courteline-allo,bilhaud-gustave,0.0685,carmontelle-officier-du-gobelet,0.0815,monselet-enfer,0.0297
courteline-animaux-malades-de-la-faim,champrepus-ulysse,0.0596,colle-esperance,0.1563,monselet-enfer,0.0492
courteline-atelier,poisson-sot-venge,0.0254,bernardt-garcon-de-dix-huit-ans,0.0335,carcassonne-les-heures,0.0114
courteline-chez-l-avocat,verdie-la-mort-de-guillaumet,0.0353,musset-le-chandelier,0.0521,mons-dernier-klephte,0.0116
courteline-cochon-de-cocher,bernardt-le-cambrioleur,0.0442,bernardt-sacoche,0.0744,flaubert-le-candidat,0.0204
courteline-conversion-d-alceste,brosse-aveugle-clairvoyant,0.01,delavigne-comediens,0.0147,delavigne-comediens,0.0047
courteline-ecole-des-mufles,supersac-la-porte-est-close,0.0304,coupigny-arlequin-jaloux,0.0574,musset-andre-del-sarto,0.0147
courteline-ferme-ta-malle,hugues-la-maison-des-dimanches,0.0486,adenis-homme-qui-ne-peut-pas-siffler,0.0626,siraudin-faction-de-nuit,0.0292
courteline-gora,coupigny-arlequin-jaloux,0.0549,courteline-atelier,0.0491,courteline-atelier,0.0149
courteline-grandeur-d-ame,monselet-richard-les-trois-gendarmes,0.0214,monselet-richard-les-trois-gendarmes,0.0428,sacy-contentement,0.0115
courteline-gros-chagrins,monnier-les-deux-gougnottes,0.0612,vade-veuve-indecise,0.0677,monnier-les-deux-gougnottes,0.0261
courteline-incendie,scarron-boutades-matamore,0.0435,seneque-medee,0.0872,seneque-medee,0.0231
courteline-l-article-330,bergasse-journee-des-dupes,0.0314,anonyme-club-des-dames,0.0653,marechal-jugement-dernier-des-rois,0.0168
courteline-l-impoli,bernardt-le-seul-bandit-de-village,0.03,courteline-les-balances,0.0865,ancelot-arago-papillotes,0.0214
courteline-l-invite,renard-la-demande,0.0509,valentin-le-soir-de-fiancailles,0.0723,charles-adolphe-masson-le-tir-au-pistolet,0.0142
courteline-la-premiere-lecon,moinaux-ah-que-les-plaisirs-sont-doux,0.0314,piron-arlequin-decalion,0.061,audiffret-epreuve,0.0187
courteline-la-presentation,mareschala-railleur,0.0225,aristophane-guepes,0.0468,puget-de-la-serre-le-pyrame,0.0183
courteline-la-voix-d-anatole,bernardt-la-petite-femme-de-loth,0.0563,liquier-mon-futur,0.1233,feydeau-c-est-une-femme-du-monde,0.0288
courteline-le-bout-de-l-an,cros-affaire-de-la-rue-beaubourg,0.0597,moinaux-l-oie-aux-marrons,0.0753,courteline-l-article-330,0.0243
courteline-le-buis,moinaux-les-gueuletons-d-une-debitrice,0.0504,fatouville-grapinian,0.0915,fievre-moliere-a-quebec,0.021
courteline-le-nez-du-general-suif,drault-le-mouchoir-de-chapuzot,0.0584,beissier-un-bon-placement,0.0843,musset-andre-del-sarto,0.0269
courteline-les-balances,aristophane-guepes,0.0198,saint-foix-oracle,0.0506,euripide-cyclope,0.0142
courteline-les-bienfaits-de-l-education,bernardt-antoinette,0.0368,dancourt-eaux-de-bourbon,0.0637,fievre-moliere-a-quebec,0.0211
courteline-mois-de-prison,rougemont-discours-de-rentree,0.0347,mercier-liberateur,0.0507,sacy-bavard,0.0107
courteline-mon-petit-frere,chevalier-desolation-des-filous,0.0471,beaunoir-amour-queteur,0.0609,pages-moliere-a-pezenas,0.0319
courteline-monsieur-badin,scribe-jeune-docteur,0.0241,moliere-jalousie-du-barbouille,0.0393,scribe-jeune-docteur,0.0088
courteline-monsieur-fin-de-siecle,dreyfus-un-crane-sous-une-tempete,0.031,dufresny-negligent,0.0454,voltaire-originaux,0.0089
courteline-musele,courteline-l-article-330,0.04,courteline-l-article-330,0.0857,barante-arlequin-misanthrope,0.0146
courteline-ours,beissier-chasseurs-et-l-ours,0.0433,bernardt-la-petite-femme-de-loth,0.0605,adenis-diogene-et-scapin,0.0249
courteline-pantheon-courcelles,lescarbot-neptune,0.0757,marechal-jugement-dernier-des-rois,0.1276,grosclaude-peche-a-la-ligne,0.0417
courteline-petin-contre-bougnasse,courteline-prix-d-une-gifle,0.0274,ecker-franc-macon-prisonnier,0.0582,courteline-l-article-330,0.0189
courteline-premier-en-anglais,bernardt-garcon-de-dix-huit-ans,0.0668,lemercier-oh-maman,0.0844,bernardt-daisy,0.0291
courteline-principal-temoin,scheler-aiguilleur,0.0299,scheler-aiguilleur,0.0413,vige-wilhem-tell,0.0219
courteline-prix-d-une-gifle,courteline-petin-contre-bougnasse,0.0274,fatouville-grapinian,0.0512,desfontaines-dupin-voyage-de-chambord,0.0134
courteline-quand-on-plaide-en-divorce,diderot-piece-prologue,0.0315,poisson-le-poete-basque,0.0601,monselet-bibliotheque,0.0157
courteline-quelques-livres,garniert-belle-mere,0.0304,harny-petit-maitre-province,0.0733,duvert-huron,0.0154
courteline-roland,liquier-amour-electrique,0.0455,gueullette-parade-1,0.0546,courteline-ours,0.0407
courteline-rue-de-la-pompe,bernardt-homme-a-la-maison,0.0975,scribe-tete-a-tete,0.1169,courteline-cochon-de-cocher,0.0286
courteline-theodore-cherche-des-alumettes,bernardt-etrangleuse,0.0299,bernardt-etrangleuse,0.0394,labiche-jolly-baron-de-fourchevif,0.0159
courteline-une-messe,beissier-docteur-cornibus,0.0526,carmontelle-seigneur-auteur,0.0831,carmontelle-seigneur-auteur,0.0266
courteline-vieux-menage,maupassant-a-la-feuille-de-rose,0.0466,donneau-de-vise-embarras-de-godard,0.0538,gautiert-la-juive-de-constantine,0.0294
crebillon-atree-thyeste,crebillon-electre,0.0038,crebillon-electre,0.0045,crebillon-rhadamisthe,0.0011
crebillon-catilina,crebillon-triumvirat,0.0064,crebillon-triumvirat,0.0058,crebillon-triumvirat,0.0014
crebillon-electre,crebillon-atree-thyeste,0.0038,crebillon-atree-thyeste,0.0045,crebillon-atree-thyeste,0.0014
crebillon-idomenee,crebillon-electre,0.004,crebillon-atree-thyeste,0.0058,crebillon-rhadamisthe,0.0031
crebillon-pyrrhus,crebillon-xerxes,0.0043,corneillep-pertharite,0.0064,crebillon-semiramis,0.0021
crebillon-rhadamisthe,crebillon-xerxes,0.0042,crebillon-xerxes,0.0039,crebillon-atree-thyeste,0.0011
crebillon-semiramis,deshoulieres-genseric,0.0042,deshoulieres-genseric,0.006,crebillon-rhadamisthe,0.0019
crebillon-triumvirat,crebillon-catilina,0.0064,crebillon-catilina,0.0058,crebillon-catilina,0.0014
crebillon-xerxes,crebillon-rhadamisthe,0.0042,crebillon-rhadamisthe,0.0039,crebillon-atree-thyeste,0.0023
crebillonf-nuit-et-le-moment,saint-foix-colonie,0.0114,anomyme-dialogue-de-la-prude-et-de-la-coquette,0.0215,turnebe-contents,0.0049
cressonnois-monsieur-qui-ne-veut-pas-fumer,adenis-homme-qui-ne-peut-pas-siffler,0.0368,legouve-autour-d-un-berceau,0.0318,joly-adrienne-lecouvreur,0.0147
croiset-l-air-de-la-mer,ferrier-larme-d-auvergnat,0.0724,bonin-spencer-rosier-cinquieme,0.0786,jouy-sermet-ah-mince,0.0416
croiset-le-chevalier-d-alsace,scheler-aiguilleur,0.0386,hugo-burgraves,0.0449,banville-les-fourberies-de-nerine,0.0148
cros-affaire-de-la-rue-beaubourg,cros-maitre-d-armes,0.0474,drault-le-mouchoir-de-chapuzot,0.0674,cros-maitre-d-armes,0.0183
cros-autrefois,gautiert-une-larme-du-diable,0.0578,bizet-simonot-gilles-tout-seul,0.0782,leclercq-folle,0.0397
cros-capitaliste,grosclaude-peche-a-la-ligne,0.0779,cros-voyage-a-trois-etoiles,0.1061,feydeau-tout-a-brown-sequard,0.0209
cros-hareng-saur,villard-clown,0.249,courteline-principal-temoin,0.1938,gautiert-pierre-corneille,0.1267
cros-maitre-d-armes,courteline-grandeur-d-ame,0.0421,audiffret-epreuve,0.0534,cros-affaire-de-la-rue-beaubourg,0.0183
cros-obsession,adenis-homme-qui-ne-peut-pas-siffler,0.1075,lamy-barbier-janot-le-finaud,0.0844,cressonnois-monsieur-qui-ne-veut-pas-fumer,0.0407
cros-voyage-a-trois-etoiles,bernardt-le-cambrioleur,0.0447,grenet-dancourt-paris,0.0609,bernardt-le-cambrioleur,0.0171
cubieres-palmezeaux-bracelets,jacquelin-rougemont-l-amour-al-anglaise,0.0104,jacquelin-rougemont-l-amour-al-anglaise,0.0188,deslisle-arlequin-sauvage,0.0043
cubieres-palmezeaux-dialogue,robinet-panegyrique-ecole-des-femmes,0.0155,carriere-doisin-cafe-litteraire,0.0424,diderot-reve-d-alembert,0.0067
cubieres-palmezeaux-diligence-de-lyon,poinsinet-cercle,0.0092,dufresny-chevalier-joueur,0.0223,regnard-legataire-critique,0.0036
cubieres-palmezeaux-fete-seculaire-corneille,la-harpe-muses-rivales,0.0135,lesguillon-saint-yves-protege-de-moliere,0.0273,boissy-apologie-du-siecle,0.0062
cubieres-palmezeaux-galathee,mareschala-genereuse-allemande,0.009,piron-metromanie,0.017,boursault-mort-vivant,0.0051
cubieres-palmezeaux-lacrymanie,dorat-les-proneurs,0.0082,pesselier-esope-au-parnasse,0.0155,pesselier-esope-au-parnasse,0.0041
cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,0.0017,cubieres-palmezeaux-mort-de-moliere-4a,0.0012,cubieres-palmezeaux-mort-de-moliere-4a,0.0017
cubieres-palmezeaux-mort-de-moliere-4a,cubieres-palmezeaux-mort-de-moliere-3a,0.0017,cubieres-palmezeaux-mort-de-moliere-3a,0.0012,cubieres-palmezeaux-mort-de-moliere-3a,0.0017
cubieres-palmezeaux-oreste,seneque-medee,0.0225,seneque-medee,0.039,scribe-conversion,0.0231
cyrano-la-mort-d-agrippine,ronsin-aretaphile,0.0074,benserade-cleopatre,0.0081,ronsin-aretaphile,0.0044
cyrano-pedant-joue,mareschala-veritable-capitaine-matamore,0.0099,aristophane-guepes,0.0215,regnard-divorce,0.0057
dalibray-le-torrismon-du-tasse,rotrou-belle-alphrede,0.0064,rotrou-belle-alphrede,0.0064,scarron-prince-corsaire,0.0029
dalibray-soliman,desfontaines-veritable-semiramis,0.0065,du-ryer-dynamis,0.0082,rotrou-laure-persecutee,0.0036
danchet-camille-reine-des-volsques,campistron-achille,0.0107,campistron-achille,0.019,campistron-achille,0.0061
dancourt-agioteurs,raisin-merlin-gascon,0.0098,raisin-merlin-gascon,0.0155,dancourt-prix-arquebuse,0.0031
dancourt-amants,quinault-fetes-amour-bacchus,0.0131,rousseau-muses-galantes,0.0215,dancourt-impromptu-de-livry,0.0107
dancourt-bon-soldat,musset-le-chandelier,0.012,tristan-parasite,0.0219,brueys-empiriques,0.0048
dancourt-bourgeoises-a-la-mode,dancourt-gazette,0.0061,dancourt-gazette,0.0085,dancourt-gazette,0.0021
dancourt-cephale-procris,dancourt-metempsychose,0.0033,dancourt-metempsychose,0.0046,dancourt-metempsychose,0.002
dancourt-charivari,dancourt-colin-maillard,0.0077,dancourt-vendanges-de-suresnes,0.0087,dancourt-colin-maillard,0.0017
dancourt-chevalier-a-la-mode,dancourt-folle-enchere,0.0091,dancourt-diable-boiteux-suite,0.015,dancourt-fete-de-village,0.0026
dancourt-colin-maillard,dancourt-renaud-armide,0.0054,dancourt-renaud-armide,0.0093,dancourt-charivari,0.0017
dancourt-comedie-comediens,dancourt-fetes-nocturnes,0.0064,dancourt-foire-de-besons,0.0178,dancourt-fetes-nocturnes,0.003
dancourt-curieux,dancourt-diable-boiteux-suite,0.0075,dancourt-chevalier-a-la-mode,0.0157,dancourt-vacances,0.002
dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,0.0072,rousseaujb-cafe,0.0231,moliere-malade-imaginaire,0.003
dancourt-desolation-des-joueuses,dancourt-deroute-pharaon,0.0072,dancourt-bourgeoises-a-la-mode,0.0163,regnard-arlequin-bonnes-fortunes,0.0033
dancourt-diable-boiteux-suite,dancourt-curieux,0.0075,dancourt-foire-saint-germain,0.0137,dancourt-chevalier-a-la-mode,0.0035
dancourt-diable-boiteux,dancourt-enfants-de-paris,0.0083,dancourt-bourgeoises-a-la-mode,0.014,dancourt-deroute-pharaon,0.0035
dancourt-divertissement-de-sceaux,dancourt-impromptu-de-livry,0.0318,dancourt-impromptu-de-livry,0.047,dancourt-amants,0.0184
dancourt-eaux-de-bourbon,dancourt-curieux,0.0097,dufresny-noce-interrompue,0.0232,dancourt-vacances,0.0032
dancourt-enfants-de-paris,dancourt-madame-artus,0.0055,dancourt-madame-artus,0.0084,marivaux-pere-prudent,0.0026
dancourt-ete-des-coquettes,dufresny-negligent,0.0078,dancourt-renaud-armide,0.0198,dancourt-parisienne,0.0032
dancourt-fees,moliere-amants-magnifiques,0.0095,moliere-amants-magnifiques,0.0204,saint-foix-ile-sauvage,0.0047
dancourt-femme-d-intrigues,dancourt-curieux,0.0083,dancourt-vacances,0.0142,dancourt-folle-enchere,0.0029
dancourt-fete-de-village,dancourt-retour-des-officiers,0.0066,dancourt-femme-d-intrigues,0.017,dancourt-chevalier-a-la-mode,0.0026
dancourt-fetes-nocturnes,poinsinet-cercle,0.006,dancourt-comedie-comediens,0.0179,dancourt-comedie-comediens,0.003
dancourt-foire-de-besons,dancourt-retour-des-officiers,0.0063,dancourt-tuteur,0.0123,dancourt-comedie-comediens,0.0033
dancourt-foire-saint-germain,dancourt-foire-de-besons,0.0076,dancourt-diable-boiteux-suite,0.0137,moliere-bourgeois-gentilhomme,0.0031
dancourt-folle-enchere,dancourt-bourgeoises-a-la-mode,0.0067,dancourt-fonds-perdus,0.0145,dancourt-parisienne,0.0026
dancourt-fonds-perdus,dancourt-folle-enchere,0.0069,dancourt-bourgeoises-a-la-mode,0.0094,dancourt-impromptu-de-garnison,0.0031
dancourt-galant-jardinier,regnard-serenade,0.01,dancourt-opera-de-village,0.0196,dancourt-moulin-de-javelle,0.0033
dancourt-gazette,dancourt-bourgeoises-a-la-mode,0.0061,dancourt-bourgeoises-a-la-mode,0.0085,dancourt-bourgeoises-a-la-mode,0.0021
dancourt-impromptu-de-garnison,dancourt-diable-boiteux,0.0084,dancourt-prix-arquebuse,0.0147,dancourt-vendanges-de-suresnes,0.0026
dancourt-impromptu-de-livry,dancourt-amants,0.0201,dancourt-amants,0.0351,dancourt-amants,0.0107
dancourt-impromptu-suresnes,dancourt-comedie-comediens,0.0092,saint-foix-cabale,0.025,dancourt-deroute-pharaon,0.0043
dancourt-inconnu,corneillet-inconnu,0.0072,corneillet-inconnu,0.0106,dancourt-sancho,0.0048
dancourt-loterie,dancourt-agioteurs,0.0105,dancourt-desolation-des-joueuses,0.0208,dancourt-deroute-pharaon,0.0032
dancourt-madame-artus,dancourt-enfants-de-paris,0.0055,dancourt-enfants-de-paris,0.0084,regnard-legataire,0.0036
dancourt-maison-de-campagne,dancourt-galant-jardinier,0.0106,dancourt-moulin-de-javelle,0.02,dancourt-bourgeoises-a-la-mode,0.003
dancourt-mari-retrouve,dancourt-colin-maillard,0.0078,dancourt-colin-maillard,0.0128,dancourt-colin-maillard,0.002
dancourt-metempsychose,dancourt-cephale-procris,0.0033,dancourt-cephale-procris,0.0046,dancourt-cephale-procris,0.002
dancourt-moulin-de-javelle,dancourt-vendanges-de-suresnes,0.007,dancourt-chevalier-a-la-mode,0.0187,dancourt-curieux,0.003
dancourt-opera-de-village,dancourt-vendanges-de-suresnes,0.011,dancourt-galant-jardinier,0.0196,dancourt-vacances,0.0032
dancourt-operateur-barry,moliere-malade-imaginaire,0.0156,dancourt-colin-maillard,0.0191,moliere-medecin-malgre-lui,0.0032
