TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD76,alexandre_dumas_pere-caligula,Caligula,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1837-12-26,,Tragédie,vers,TD76
TD77,alexandre_dumas_pere-catherine_howard,Catherine Howard,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1834-06-02,,Comédie,,TD77
TD78,alexandre_dumas_pere-charles_vii_chez_ses_grands_vassaux,Charles VII chez ses grands vassaux,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1831-10-20,,Tragédie,vers,TD78
TD79,alexandre_dumas_pere-chasse_au_chastre,La Bourse et la Vie,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1900-12-05,,Comédie,,TD79
TD80,alexandre_dumas_pere-christine_ou_stockholm_fontainebleau_et_rome,Christine,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1830-03-30,,,vers,TD80
TD81,alexandre_dumas_pere-comte_hermann,Le Comte Hermann,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1849-11-22,,,,TD81
TD82,alexandre_dumas_pere-conscience,La Conscience,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1854-11-04,,,prose,TD82
TD83,alexandre_dumas_pere-demoiselles_de_saint_cyr,Les Demoiselles de Saint-Cyr,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1843-07-25,,Comédie,prose,TD83
TD84,alexandre_dumas_pere-don_juan_de_marana_ou_la_chute_d_un_ange,Don Juan de Marana,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1836-04-30,,,,TD84
TD85,alexandre_dumas_pere-envers_d_une_conspiration,L’envers d’une conspiration,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1860-06-04,,Vaudeville,,TD85
TD86,alexandre_dumas_pere-fille_du_regent,Une Fille du Régent,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1846-04-01,,Comédie,,TD86
TD87,alexandre_dumas_pere-forestiers,Les Forestier,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1858-03-23,,Tragédie,,TD87
TD88,alexandre_dumas_pere-gentilhomme_de_la_montagne,Le Gentilhomme de la montagne,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1860-06-12,,,,TD88
TD89,alexandre_dumas_pere-halifax,Halifax,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1842-11-30,,Comédie,,TD89
TD90,alexandre_dumas_pere-henri_iii_et_sa_cour,Henri III et sa Cour,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1829-02-11,,,prose,TD90
