Nom,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
Molière et ses Amis ou La Soirée d'Auteuil,"[{'#laforet', '#chapelle'}, {'#chapelle'}, {'#chapelle', '#moliere'}, {'#chapelle', '#mignard', '#moliere'}, {'#despreaux', '#chapelle', '#mignard', '#moliere'}, {'#lulli', '#despreaux', '#laforet', '#chapelle', '#mignard', '#moliere'}, {'#laforet', '#chapelle'}, {'#laforet'}, {'#laforet', '#la-fontaine'}, {'#lulli', '#despreaux', '#chapelle', '#la-fontaine', '#mignard'}, {'#lulli', '#laforet', '#despreaux', '#chapelle', '#mignard', '#la-fontaine', '#moliere', '#tous'}, {'#laforet', '#chapelle', '#moliere'}, {'#lulli', '#despreaux', '#chapelle', '#mignard', '#la-fontaine', '#isabelle', '#moliere'}, {'#lulli', '#despreaux', '#laforet', '#chapelle', '#la-fontaine', '#mignard', '#tous'}, {'#lulli', '#despreaux', '#chapelle', '#mignard', '#moliere'}, {'#la-fontaine', '#moliere'}, {'#la-fontaine', '#isabelle', '#moliere'}, {'#laforet', '#moliere'}, {'#lulli', '#despreaux', '#chapelle', '#la-fontaine', '#mignard', '#isabelle', '#moliere'}]",[],[],[],[],"[{'#laforet', '#chapelle'}, {'#chapelle'}, {'#chapelle', '#moliere'}, {'#chapelle', '#mignard', '#moliere'}, {'#despreaux', '#chapelle', '#mignard', '#moliere'}, {'#lulli', '#despreaux', '#laforet', '#chapelle', '#mignard', '#moliere'}, {'#laforet', '#chapelle'}, {'#laforet'}, {'#laforet', '#la-fontaine'}, {'#lulli', '#despreaux', '#chapelle', '#la-fontaine', '#mignard'}, {'#lulli', '#laforet', '#despreaux', '#chapelle', '#mignard', '#la-fontaine', '#moliere', '#tous'}, {'#laforet', '#chapelle', '#moliere'}, {'#lulli', '#despreaux', '#chapelle', '#mignard', '#la-fontaine', '#isabelle', '#moliere'}, {'#lulli', '#despreaux', '#laforet', '#chapelle', '#la-fontaine', '#mignard', '#tous'}, {'#lulli', '#despreaux', '#chapelle', '#mignard', '#moliere'}, {'#la-fontaine', '#moliere'}, {'#la-fontaine', '#isabelle', '#moliere'}, {'#laforet', '#moliere'}, {'#lulli', '#despreaux', '#chapelle', '#la-fontaine', '#mignard', '#isabelle', '#moliere'}]","{'#lulli', '#laforet', '#despreaux', '#chapelle', '#mignard', '#la-fontaine', '#isabelle', '#moliere', '#tous'}"
,,,,,,,
Dialogue de la Prude et de la Coquette,"[{'#iris', '#angelique'}]",[],[],[],[],"[{'#iris', '#angelique'}]","{'#iris', '#angelique'}"
,,,,,,,
Adam,"[{'#adam', '#dieu', '#eve'}, {'#satan', '#adam'}, {'#satan', '#eve'}, {'#adam', '#eve'}, {'#adam', '#dieu', '#eve'}, {'#adam', '#dieu', '#eve'}, {'#abel', '#caïn'}, {'#dieu', '#caïn'}, {'#abraham'}, {'#isaïe', '#aaron', '#le-juif', '#habacuc', '#balaam', '#daniel', '#nabuchodonosor', '#salomon', '#moïse', '#jeremie', '#david'}]",[],[],[],[],"[{'#adam', '#dieu', '#eve'}, {'#satan', '#adam'}, {'#satan', '#eve'}, {'#adam', '#eve'}, {'#adam', '#dieu', '#eve'}, {'#adam', '#dieu', '#eve'}, {'#abel', '#caïn'}, {'#dieu', '#caïn'}, {'#abraham'}, {'#isaïe', '#aaron', '#le-juif', '#habacuc', '#balaam', '#daniel', '#nabuchodonosor', '#salomon', '#moïse', '#jeremie', '#david'}]","{'#isaïe', '#aaron', '#le-juif', '#satan', '#abel', '#dieu', '#abraham', '#habacuc', '#balaam', '#daniel', '#nabuchodonosor', '#caïn', '#salomon', '#adam', '#moïse', '#jeremie', '#david', '#eve'}"
,,,,,,,
Les Aventures de Ninette,"[{'#ninette', '#la-maman'}]",[],[],[],[],"[{'#ninette', '#la-maman'}]","{'#ninette', '#la-maman'}"
,,,,,,,
Les Bonnes Gens,"[{'#madame-guillaume', '#guillaume'}, {'#madame-guillaume', '#le-roi', '#guillaume'}, {'#madame-guillaume'}, {'#arlequin', '#madame-guillaume', '#un-hussard', '#second-hussard'}, {'#madame-guillaume'}, {'#madame-guillaume', '#le-roi', '#guillaume'}]",[],[],[],[],"[{'#madame-guillaume', '#guillaume'}, {'#madame-guillaume', '#le-roi', '#guillaume'}, {'#madame-guillaume'}, {'#arlequin', '#madame-guillaume', '#un-hussard', '#second-hussard'}, {'#madame-guillaume'}, {'#madame-guillaume', '#le-roi', '#guillaume'}]","{'#second-hussard', '#madame-guillaume', '#un-hussard', '#arlequin', '#le-roi', '#guillaume'}"
,,,,,,,
Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],"[{'#chapelain', '#la-serre'}, {'#chapelain'}]",[],[],[],[],"[{'#chapelain', '#la-serre'}, {'#chapelain'}]","{'#chapelain', '#la-serre'}"
,,,,,,,
Fragment d'une Comédie Intitulée Chapelain Décoiffé.,"[{'#chapelain', '#la-serre'}, {'#chapelain'}, {'#cassaigne', '#chapelain'}, {'#cassaigne'}, {'#cassaigne', '#la-serre'}]",[],[],[],[],"[{'#chapelain', '#la-serre'}, {'#chapelain'}, {'#cassaigne', '#chapelain'}, {'#cassaigne'}, {'#cassaigne', '#la-serre'}]","{'#cassaigne', '#chapelain', '#la-serre'}"
,,,,,,,
Le Club des Dames ou Le Retour de Descartes,"[{'#la-comtesse'}, {'#la-comtesse', '#le-chevalier'}, {'#la-comtesse', '#la-marquise', '#madame-de-merval', '#la-baronne'}, {'#la-comtesse', '#la-baronne', '#madame-de-merval', '#la-marquise', '#la-vicomtesse'}, {'#la-comtesse', '#le-marquis'}, {'#la-comtesse', '#la-baronne', '#la-marquise', '#la-vicomtesse'}, {'#la-comtesse', '#descartes', '#la-baronne', '#madame-de-merval', '#le-marquis', '#la-marquise', '#la-vicomtesse'}, {'#un-domestique', '#descartes', '#le-tourangeau', '#une-femme'}]",[],[],[],[],"[{'#la-comtesse'}, {'#la-comtesse', '#le-chevalier'}, {'#la-comtesse', '#la-marquise', '#madame-de-merval', '#la-baronne'}, {'#la-comtesse', '#la-baronne', '#madame-de-merval', '#la-marquise', '#la-vicomtesse'}, {'#la-comtesse', '#le-marquis'}, {'#la-comtesse', '#la-baronne', '#la-marquise', '#la-vicomtesse'}, {'#la-comtesse', '#descartes', '#la-baronne', '#madame-de-merval', '#le-marquis', '#la-marquise', '#la-vicomtesse'}, {'#un-domestique', '#descartes', '#le-tourangeau', '#une-femme'}]","{'#la-comtesse', '#le-tourangeau', '#un-domestique', '#descartes', '#la-baronne', '#le-chevalier', '#madame-de-merval', '#une-femme', '#le-marquis', '#la-marquise', '#la-vicomtesse'}"
,,,,,,,
Dialogue d'Alcippe et de Dionice,"[{'#alcipe', '#drionice'}]",[],[],[],[],"[{'#alcipe', '#drionice'}]","{'#alcipe', '#drionice'}"
,,,,,,,
La Déroute des Précieuses,"[{'#l-amour'}, {'#colporteur-portant', '#le-colporteur-criant'}, {'#precieuses'}, {'#le-poete'}, {'#les-galants'}, {'#hymen'}]",[],[],[],[],"[{'#l-amour'}, {'#colporteur-portant', '#le-colporteur-criant'}, {'#precieuses'}, {'#le-poete'}, {'#les-galants'}, {'#hymen'}]","{'#l-amour', '#le-colporteur-criant', '#hymen', '#les-galants', '#le-poete', '#precieuses', '#colporteur-portant'}"
,,,,,,,
Dialogue des Yeux et de la Bouche,"[{'#la-bouche', '#les-yeux'}]",[],[],[],[],"[{'#la-bouche', '#les-yeux'}]","{'#la-bouche', '#les-yeux'}"
,,,,,,,
Dialogue entre Voltaire et Rousseau,"[{'#rousseau', '#voltaire'}]",[],[],[],[],"[{'#rousseau', '#voltaire'}]","{'#rousseau', '#voltaire'}"
,,,,,,,
Le Jeu d'Esmorée,[],"[{'#robert'}, {'#l-astrologue', '#le-roi-maure'}, {'#l-astrologue', '#robert'}, {'#robert'}, {'#l-astrologue', '#le-roi-maure'}, {'#le-roi-maure', '#damiette'}, {'#le-roi-chretien', '#robert'}, {'#le-roi-chretien', '#la-reine', '#robert'}]","[{'#esmoree'}, {'#esmoree', '#damiette'}, {'#la-reine', '#esmoree'}, {'#le-roi-chretien', '#robert'}, {'#le-roi-chretien', '#la-reine', '#esmoree', '#robert'}, {'#damiette'}, {'#l-astrologue', '#damiette'}, {'#l-astrologue', '#esmoree', '#damiette'}, {'#le-roi-chretien', '#l-astrologue', '#esmoree', '#robert'}, {'#l-astrologue', '#esmoree'}]",[],[],"[{'#robert'}, {'#l-astrologue', '#le-roi-maure'}, {'#l-astrologue', '#robert'}, {'#robert'}, {'#l-astrologue', '#le-roi-maure'}, {'#le-roi-maure', '#damiette'}, {'#le-roi-chretien', '#robert'}, {'#le-roi-chretien', '#la-reine', '#robert'}, {'#esmoree'}, {'#esmoree', '#damiette'}, {'#la-reine', '#esmoree'}, {'#le-roi-chretien', '#robert'}, {'#le-roi-chretien', '#la-reine', '#esmoree', '#robert'}, {'#damiette'}, {'#l-astrologue', '#damiette'}, {'#l-astrologue', '#esmoree', '#damiette'}, {'#le-roi-chretien', '#l-astrologue', '#esmoree', '#robert'}, {'#l-astrologue', '#esmoree'}]","{'#le-roi-chretien', '#le-roi-maure', '#la-reine', '#robert', '#l-astrologue', '#esmoree', '#damiette'}"
,,,,,,,
Le Jus du Pelerin,"[{'#guiot', '#rogaut', '#guyot', '#gautier', '#warnier', '#le-vilain', '#le-pelerin'}]",[],[],[],[],"[{'#guiot', '#rogaut', '#guyot', '#gautier', '#warnier', '#le-vilain', '#le-pelerin'}]","{'#guiot', '#rogaut', '#guyot', '#gautier', '#warnier', '#le-vilain', '#le-pelerin'}"
,,,,,,,
La Matinée du Comédien Français,"[{'#belval'}, {'#la-fleur', '#belval'}, {'#belval'}, {'#verville', '#belval'}, {'#la-fleur', '#belval'}, {'#belval'}, {'#sophie', '#belval'}, {'#sophie', '#la-fleur', '#belval'}, {'#sophie', '#le-comte', '#belval'}, {'#le-comte', '#la-fleur', '#belval'}, {'#sophie', '#belval'}, {'#sophie', '#la-fleur', '#belval'}]",[],[],[],[],"[{'#belval'}, {'#la-fleur', '#belval'}, {'#belval'}, {'#verville', '#belval'}, {'#la-fleur', '#belval'}, {'#belval'}, {'#sophie', '#belval'}, {'#sophie', '#la-fleur', '#belval'}, {'#sophie', '#le-comte', '#belval'}, {'#le-comte', '#la-fleur', '#belval'}, {'#sophie', '#belval'}, {'#sophie', '#la-fleur', '#belval'}]","{'#verville', '#sophie', '#le-comte', '#la-fleur', '#belval'}"
,,,,,,,
Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,"[{'#le-triacleur', '#le-pardonneur'}, {'#le-pardonneur', '#le-triacleur', '#la-taverniere'}]",[],[],[],[],"[{'#le-triacleur', '#le-pardonneur'}, {'#le-pardonneur', '#le-triacleur', '#la-taverniere'}]","{'#le-triacleur', '#la-taverniere', '#le-pardonneur'}"
,,,,,,,
Farce Nouvelle Fort Joyeuse du Pont aux Anes,"[{'#le-mari', '#la-femme'}, {'#messire-domine-de', '#le-mari'}, {'#le-bucheron', '#le-mari'}, {'#le-mari', '#la-femme'}]",[],[],[],[],"[{'#le-mari', '#la-femme'}, {'#messire-domine-de', '#le-mari'}, {'#le-bucheron', '#le-mari'}, {'#le-mari', '#la-femme'}]","{'#le-bucheron', '#messire-domine-de', '#le-mari', '#la-femme'}"
,,,,,,,
Le Portier du Parnasse,"[{'#melpomene', '#apollon'}, {'#apollon', '#thalie'}, {'#apollon', '#terpsicore'}, {'#apollon'}, {'#apollon'}, {'#apollon', '#tomverd'}, {'#melpomene', '#apollon'}, {'#apollon'}, {'#melpomene', '#apollon', '#thalie'}, {'#melpomene', '#tomverd', '#apollon', '#thalie'}, {'#apollon'}, {'#apollon', '#barbaro'}, {'#apollon'}, {'#l-abbe', '#apollon'}, {'#l-abbe', '#apollon', '#des-accents'}, {'#apollon'}, {'#tranchet', '#apollon'}, {'#apollon'}, {'#tranchet', '#apollon'}, {'#tranchet', '#apollon', '#mademoiselle-giroflee'}, {'#apollon'}, {'#polichinelle', '#apollon'}, {'#polichinelle', '#melpomene', '#tomverd', '#apollon'}]",[],[],[],[],"[{'#melpomene', '#apollon'}, {'#apollon', '#thalie'}, {'#apollon', '#terpsicore'}, {'#apollon'}, {'#apollon'}, {'#apollon', '#tomverd'}, {'#melpomene', '#apollon'}, {'#apollon'}, {'#melpomene', '#apollon', '#thalie'}, {'#melpomene', '#tomverd', '#apollon', '#thalie'}, {'#apollon'}, {'#apollon', '#barbaro'}, {'#apollon'}, {'#l-abbe', '#apollon'}, {'#l-abbe', '#apollon', '#des-accents'}, {'#apollon'}, {'#tranchet', '#apollon'}, {'#apollon'}, {'#tranchet', '#apollon'}, {'#tranchet', '#apollon', '#mademoiselle-giroflee'}, {'#apollon'}, {'#polichinelle', '#apollon'}, {'#polichinelle', '#melpomene', '#tomverd', '#apollon'}]","{'#apollon', '#tomverd', '#tranchet', '#melpomene', '#des-accents', '#polichinelle', '#l-abbe', '#barbaro', '#mademoiselle-giroflee', '#thalie', '#terpsicore'}"
,,,,,,,
Le Prix d'un Moment,"[{'#louis'}, {'#le-vieillard', '#louis'}, {'#louis'}, {'#va-le-galop', '#serre-fort', '#louis'}, {'#dumont', '#serre-fort', '#louis', '#va-le-galop'}]",[],[],[],[],"[{'#louis'}, {'#le-vieillard', '#louis'}, {'#louis'}, {'#va-le-galop', '#serre-fort', '#louis'}, {'#dumont', '#serre-fort', '#louis', '#va-le-galop'}]","{'#le-vieillard', '#dumont', '#serre-fort', '#louis', '#va-le-galop'}"
,,,,,,,
La Réception de Monseigneur le Vicomte d'Argenson,"[{'#le-genie-universel'}, {'#premier-français', '#quatrieme-français', '#troisieme-français', '#second-français'}, {'#le-premier-captif-huron', '#captif-de-la-nation-des-nez-perces', '#le-genie-des-forets', '#le-second-etranger', '#le-genie-interprete', '#la-nation-algonquine', '#la-nation-huronne', '#le-premier-etranger', '#le-genie-universel'}]",[],[],[],[],"[{'#le-genie-universel'}, {'#premier-français', '#quatrieme-français', '#troisieme-français', '#second-français'}, {'#le-premier-captif-huron', '#captif-de-la-nation-des-nez-perces', '#le-genie-des-forets', '#le-second-etranger', '#le-genie-interprete', '#la-nation-algonquine', '#la-nation-huronne', '#le-premier-etranger', '#le-genie-universel'}]","{'#le-premier-captif-huron', '#second-français', '#captif-de-la-nation-des-nez-perces', '#le-genie-des-forets', '#troisieme-français', '#le-second-etranger', '#le-genie-interprete', '#la-nation-algonquine', '#la-nation-huronne', '#le-premier-etranger', '#premier-français', '#quatrieme-français', '#le-genie-universel'}"
,,,,,,,
La Résurrection du Sauveur,"[{'#le-recitant'}, {'#joseph', '#pilate'}, {'#longin', '#joseph', '#pilate', '#un-soldat'}, {'#caïphe', '#joseph', '#un-soldat', '#pilate', '#longin', '#nicodeme'}, {'#caïphe', '#un-soldat', '#passant', '#levi', '#pilate'}, {'#caïphe', '#un-soldat'}]",[],[],[],[],"[{'#le-recitant'}, {'#joseph', '#pilate'}, {'#longin', '#joseph', '#pilate', '#un-soldat'}, {'#caïphe', '#joseph', '#un-soldat', '#pilate', '#longin', '#nicodeme'}, {'#caïphe', '#un-soldat', '#passant', '#levi', '#pilate'}, {'#caïphe', '#un-soldat'}]","{'#caïphe', '#joseph', '#le-recitant', '#un-soldat', '#passant', '#levi', '#pilate', '#longin', '#nicodeme'}"
,,,,,,,
Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,"[{'#jenin', '#le-cure', '#le-clerc', '#la-femme'}]",[],[],[],[],"[{'#jenin', '#le-cure', '#le-clerc', '#la-femme'}]","{'#jenin', '#le-cure', '#le-clerc', '#la-femme'}"
,,,,,,,
Les Sauvages ou Le Roi Bienfaisant.,"[{'#otambo', '#vieillards', '#choeur', '#cherokis', '#esraim'}, {'#idamir', '#alphanor', '#cherokis', '#louise'}, {'#idamir', '#louise', '#alphanor', '#esraim', '#idamis', '#florida'}, {'#idamir', '#otambo', '#alphanor', '#louise', '#illinois', '#cherokis', '#roanoke', '#ontario', '#florida'}, {'#otambo', '#choeur', '#louise'}]","[{'#florida', '#louise'}, {'#idamir', '#otambo', '#louise'}, {'#idamir', '#esraim', '#choeur'}, {'#un-osage', '#altemar', '#alphanor'}]","[{'#otambo', '#choeur'}, {'#altemar', '#roanoke', '#otambo', '#choeur'}, {'#idamir', '#alphanor', '#altemar', '#choeur', '#vieillards-cherokis'}, {'#idamir', '#alphanor', '#altemar', '#roanoke', '#esraim'}, {'#idamir', '#otambo', '#louise', '#choeur', '#esraim', '#cherokis', '#roanoke', '#florida', '#guerriers-et-illinois'}]",[],[],"[{'#otambo', '#vieillards', '#choeur', '#cherokis', '#esraim'}, {'#idamir', '#alphanor', '#cherokis', '#louise'}, {'#idamir', '#louise', '#alphanor', '#esraim', '#idamis', '#florida'}, {'#idamir', '#otambo', '#alphanor', '#louise', '#illinois', '#cherokis', '#roanoke', '#ontario', '#florida'}, {'#otambo', '#choeur', '#louise'}, {'#florida', '#louise'}, {'#idamir', '#otambo', '#louise'}, {'#idamir', '#esraim', '#choeur'}, {'#un-osage', '#altemar', '#alphanor'}, {'#otambo', '#choeur'}, {'#altemar', '#roanoke', '#otambo', '#choeur'}, {'#idamir', '#alphanor', '#altemar', '#choeur', '#vieillards-cherokis'}, {'#idamir', '#alphanor', '#altemar', '#roanoke', '#esraim'}, {'#idamir', '#otambo', '#louise', '#choeur', '#esraim', '#cherokis', '#roanoke', '#florida', '#guerriers-et-illinois'}]","{'#idamir', '#otambo', '#alphanor', '#louise', '#vieillards', '#choeur', '#illinois', '#altemar', '#cherokis', '#florida', '#roanoke', '#ontario', '#un-osage', '#idamis', '#esraim', '#guerriers-et-illinois', '#vieillards-cherokis'}"
,,,,,,,
Le Sérail de de Lys,"[{'#band-alaise', '#alcibiade'}, {'#godemichi', '#alcibiade'}, {'#alcibiade', '#palmisse'}]",[],[],[],[],"[{'#band-alaise', '#alcibiade'}, {'#godemichi', '#alcibiade'}, {'#alcibiade', '#palmisse'}]","{'#godemichi', '#band-alaise', '#alcibiade', '#palmisse'}"
,,,,,,,
Sermon Joyeux de Bien Boire,"[{'#le-precheur', '#le-cuisinier'}]",[],[],[],[],"[{'#le-precheur', '#le-cuisinier'}]","{'#le-precheur', '#le-cuisinier'}"
,,,,,,,
Vende,"[set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]",set()
,,,,,,,
Les Vierges Sages et les Vierges Folles,"[{'#israël', '#elisabeth', '#abacuc', '#l-epoux', '#sibylle', '#jeremie', '#jean-baptiste', '#daniel', '#virgile', '#simeon', '#isaïe', '#l-ange-du-saint-sepulcre', '#le-christ', '#des-femmes', '#les-folles', '#nabuchodonosor', '#reponse', '#les-marchands', '#les-sages', '#moïse', '#david'}]",[],[],[],[],"[{'#israël', '#elisabeth', '#abacuc', '#l-epoux', '#sibylle', '#jeremie', '#jean-baptiste', '#daniel', '#virgile', '#simeon', '#isaïe', '#l-ange-du-saint-sepulcre', '#le-christ', '#des-femmes', '#les-folles', '#nabuchodonosor', '#reponse', '#les-marchands', '#les-sages', '#moïse', '#david'}]","{'#israël', '#elisabeth', '#abacuc', '#l-epoux', '#sibylle', '#jeremie', '#jean-baptiste', '#daniel', '#virgile', '#simeon', '#isaïe', '#l-ange-du-saint-sepulcre', '#le-christ', '#des-femmes', '#les-folles', '#nabuchodonosor', '#reponse', '#les-marchands', '#les-sages', '#moïse', '#david'}"
,,,,,,,
Oh ! Voilà Bien le Diable !,"[{'#babet', '#monsieur-pot-de-vin'}, {'#monsieur-pot-de-vin'}, {'#babet'}, {'#mademoiselle-adelaïde', '#monsieur-de-podolie', '#madame-la-comtesse', '#le-marquis', '#monsieur-pot-de-vin'}, {'#mademoiselle-adelaïde', '#monsieur-l-abbe-patelin', '#monsieur-de-podolie', '#madame-la-comtesse', '#madame-pot-de-vin', '#le-marquis', '#monsieur-pot-de-vin'}, {'#monsieur-l-abbe-patelin', '#babet', '#le-marquis', '#madame-pot-de-vin'}]",[],[],[],[],"[{'#babet', '#monsieur-pot-de-vin'}, {'#monsieur-pot-de-vin'}, {'#babet'}, {'#mademoiselle-adelaïde', '#monsieur-de-podolie', '#madame-la-comtesse', '#le-marquis', '#monsieur-pot-de-vin'}, {'#mademoiselle-adelaïde', '#monsieur-l-abbe-patelin', '#monsieur-de-podolie', '#madame-la-comtesse', '#madame-pot-de-vin', '#le-marquis', '#monsieur-pot-de-vin'}, {'#monsieur-l-abbe-patelin', '#babet', '#le-marquis', '#madame-pot-de-vin'}]","{'#mademoiselle-adelaïde', '#monsieur-l-abbe-patelin', '#monsieur-de-podolie', '#babet', '#madame-la-comtesse', '#madame-pot-de-vin', '#le-marquis', '#monsieur-pot-de-vin'}"
,,,,,,,
Zélamire,"[{'#dolnange', '#germain'}, {'#belfort', '#germain', '#dolnange'}, {'#dubois', '#germain'}, {'#germain'}, {'#germain', '#nadine'}, {'#oukea', '#nadine'}, {'#oukea'}]","[{'#dubois', '#germain'}, {'#germain', '#zelamire'}, {'#zelamire'}, {'#oukea', '#germain', '#zelamire'}, {'#oukea', '#zelamire'}, {'#zelamire'}, {'#zelamire', '#nadine'}, {'#dolnange', '#nadine', '#zelamire', '#dubois', '#germain'}, {'#belfort', '#dolnange', '#nadine', '#zelamire', '#oukea', '#germain'}]",[],[],[],"[{'#dolnange', '#germain'}, {'#belfort', '#germain', '#dolnange'}, {'#dubois', '#germain'}, {'#germain'}, {'#germain', '#nadine'}, {'#oukea', '#nadine'}, {'#oukea'}, {'#dubois', '#germain'}, {'#germain', '#zelamire'}, {'#zelamire'}, {'#oukea', '#germain', '#zelamire'}, {'#oukea', '#zelamire'}, {'#zelamire'}, {'#zelamire', '#nadine'}, {'#dolnange', '#nadine', '#zelamire', '#dubois', '#germain'}, {'#belfort', '#dolnange', '#nadine', '#zelamire', '#oukea', '#germain'}]","{'#belfort', '#dolnange', '#nadine', '#zelamire', '#dubois', '#oukea', '#germain'}"
,,,,,,,
Cendrillon,"[{'#magali', '#frisette'}, {'#magali', '#frisette', '#cendrillon'}, {'#cendrillon'}, {'#la-fee-urgele', '#cendrillon', '#le-portier'}, {'#la-fee-urgele', '#cendrillon'}, {'#la-fee-urgele', '#cendrillon', '#le-portier'}, {'#la-fee-urgele', '#le-portier'}, {'#le-portier'}, {'#magali', '#frisette', '#le-portier'}, {'#cendrillon'}, {'#cendrillon'}, {'#magali', '#frisette', '#cendrillon'}, {'#une-dame-d-honneur', '#le-page', '#deuxieme-dame-d-honneur', '#magali', '#le-prince-charmant', '#troisieme-dame-d-honneur', '#cendrillon', '#frisette', '#le-crieur', '#un-autre-page'}, {'#magali', '#le-portier', '#le-prince-charmant', '#cendrillon', '#la-fee-urgele', '#frisette'}]",[],[],[],[],"[{'#magali', '#frisette'}, {'#magali', '#frisette', '#cendrillon'}, {'#cendrillon'}, {'#la-fee-urgele', '#cendrillon', '#le-portier'}, {'#la-fee-urgele', '#cendrillon'}, {'#la-fee-urgele', '#cendrillon', '#le-portier'}, {'#la-fee-urgele', '#le-portier'}, {'#le-portier'}, {'#magali', '#frisette', '#le-portier'}, {'#cendrillon'}, {'#cendrillon'}, {'#magali', '#frisette', '#cendrillon'}, {'#une-dame-d-honneur', '#le-page', '#deuxieme-dame-d-honneur', '#magali', '#le-prince-charmant', '#troisieme-dame-d-honneur', '#cendrillon', '#frisette', '#le-crieur', '#un-autre-page'}, {'#magali', '#le-portier', '#le-prince-charmant', '#cendrillon', '#la-fee-urgele', '#frisette'}]","{'#une-dame-d-honneur', '#le-page', '#deuxieme-dame-d-honneur', '#magali', '#le-portier', '#le-prince-charmant', '#troisieme-dame-d-honneur', '#cendrillon', '#la-fee-urgele', '#frisette', '#le-crieur', '#un-autre-page'}"
,,,,,,,
Le Chinois Poli en France,"[{'#egle', '#le-mandarin', '#zaïde'}, {'#egle', '#zaïde'}, {'#egle', '#hamsi', '#zaïde'}, {'#egle', '#hamsi', '#noureddin', '#zaïde'}, {'#noureddin', '#zaïde'}, {'#le-mandarin', '#egle', '#hamsi', '#noureddin', '#zaïde'}]",[],[],[],[],"[{'#egle', '#le-mandarin', '#zaïde'}, {'#egle', '#zaïde'}, {'#egle', '#hamsi', '#zaïde'}, {'#egle', '#hamsi', '#noureddin', '#zaïde'}, {'#noureddin', '#zaïde'}, {'#le-mandarin', '#egle', '#hamsi', '#noureddin', '#zaïde'}]","{'#le-mandarin', '#egle', '#hamsi', '#noureddin', '#zaïde'}"
,,,,,,,
La Ressource Comique,"[{'#ensemble', '#lisette', '#frontin'}, {'#lisette', '#valere'}, {'#lisette', '#valere'}, {'#lucile', '#lisette', '#valere'}, {'#ensemble', '#lucile', '#valere'}, {'#lucile', '#platinet'}, {'#lucile'}, {'#lucile', '#frontin'}, {'#lucile', '#valere'}, {'#lucile', '#frontin'}, {'#lucile', '#frontin'}, {'#madame-argante', '#valere'}, {'#madame-argante'}, {'#madame-argante', '#platinet'}, {'#madame-argante'}, {'#madame-argante', '#ensemble', '#valere'}]",[],[],[],[],"[{'#ensemble', '#lisette', '#frontin'}, {'#lisette', '#valere'}, {'#lisette', '#valere'}, {'#lucile', '#lisette', '#valere'}, {'#ensemble', '#lucile', '#valere'}, {'#lucile', '#platinet'}, {'#lucile'}, {'#lucile', '#frontin'}, {'#lucile', '#valere'}, {'#lucile', '#frontin'}, {'#lucile', '#frontin'}, {'#madame-argante', '#valere'}, {'#madame-argante'}, {'#madame-argante', '#platinet'}, {'#madame-argante'}, {'#madame-argante', '#ensemble', '#valere'}]","{'#lisette', '#ensemble', '#valere', '#lucile', '#platinet', '#madame-argante', '#frontin'}"
,,,,,,,
La Tableau Parlant,"[{'#isabelle'}, {'#colombine', '#isabelle'}, {'#cassandre', '#colombine', '#isabelle'}, {'#cassandre'}, {'#cassandre', '#colombine'}, {'#colombine'}, {'#colombine', '#pierrot'}, {'#pierrot', '#leandre'}, {'#colombine', '#isabelle', '#pierrot', '#leandre'}, {'#colombine', '#pierrot'}, {'#cassandre'}, {'#colombine', '#isabelle', '#pierrot', '#cassandre', '#leandre'}]",[],[],[],[],"[{'#isabelle'}, {'#colombine', '#isabelle'}, {'#cassandre', '#colombine', '#isabelle'}, {'#cassandre'}, {'#cassandre', '#colombine'}, {'#colombine'}, {'#colombine', '#pierrot'}, {'#pierrot', '#leandre'}, {'#colombine', '#isabelle', '#pierrot', '#leandre'}, {'#colombine', '#pierrot'}, {'#cassandre'}, {'#colombine', '#isabelle', '#pierrot', '#cassandre', '#leandre'}]","{'#colombine', '#isabelle', '#pierrot', '#cassandre', '#leandre'}"
,,,,,,,
