Auteur,Auteur normalized,Wikidata reference ID
Jean Galbert De Campistron,Jean Galbert De Campistron,Q204908
Jean Galbert De Campistron,Jean Galbert De Campistron,
Jean Gilbert Durval,Jean Gilbert Durval,Q117165420
Jean Giraudoux,Jean Giraudoux,Q309974
Jean Jacques Le Franc De Pompignan,Jean Jacques Le Franc De Pompignan,Q1393531
Jean Jacques Rousseau,Jean Jacques Rousseau,Q6527
Jean Joseph Vadé,Jean Joseph Vadé,Q276675
Jean Le Royer de Prade,Jean Le Royer De Prade,Q3173110
Jean Le Royer De Prade,Jean Le Royer De Prade,
Jean Le Royer Prade,Jean Le Royer Prade,Q3173110
Jean Magnon,Jean Magnon,Q6171081
Jean Mairet,Jean Mairet,Q1404434
Jean Nicolas Bouilly,Jean Nicolas Bouilly,
Jean Pic,Jean Pic,Q3173969
Jean Pierre Claris De Florian,Jean Pierre Claris De Florian,Q551740
Jean Puget de La Serre,Jean Puget De La Serre,Q3174141
Jean Racine,Jean Racine,Q742
Jean-Antoine Romagnesi,Jean Antoine Romagnesi,Q517188
Jean-Baptiste Artaud,Jean Baptiste Artaud,Q110133932
Jean-Baptiste Legouvé,Jean Baptiste Legouvé,Q113239003
Jean-Baptiste Lully,Jean Baptiste Lully,Q1192
Jean-Baptiste Moreau,Jean Baptiste Moreau,Q1684675
Jean-Baptiste Radet,Jean Baptiste Radet,Q3164390
Jean-Baptiste-Denis Desprès,Jean Baptiste Denis Desprès,Q15556300
Jean-Baptiste-Louis Gresset,Jean Baptiste Louis Gresset,Q942163
Jean-Baptiste-Rose-Bonaventure Violet d'Épagny,Jean Baptiste Rose Bonaventure Violet D'Épagny,Q23766423
Violet D'Épagny,Violet D'Épagny,Q23766423
Jean-François Arnould,Jean François Arnould,Q23253801
Jean-François Bayard,Jean François Bayard,Q2074119
Jean-François BAYARD Bayard,Jean François Bayard Bayard,Q2074119
Jean-François Cailhava D'Estendoux,Jean François Cailhava D'Estendoux,Q3165511
Jean-François CAILHAVA DE L'ESTANDOUX Cailhava,Jean François Cailhava De L'Estandoux Cailhava,Q3165511
Jean François Cailhava De L'Estandoux,Jean François Cailhava De L'Estandoux,Q3165511
Jean-François De La Harpe,Jean François De La Harpe,Q379022
Jean-François de LA HARPE La Harpe,Jean François De La Harpe La Harpe,Q379022
Jean-François Le Tellier,Jean François Le Tellier,Q43766568
Jean-François Marmontel,Jean François Marmontel,Q379923
Jean-François Poisson,Jean François Poisson,
Jean-François Regnard,Jean François Regnard,Q732695
Jean-François REGNARD Regnard,Jean François Regnard Regnard,Q732695
Jean-François-Thomas Goulard,Jean François Thomas Goulard,
Jean-Galbert de Campistron,Jean Galbert De Campistron,Q204908
Jean-Galbert de CAMPISTRON Campistron,Jean Galbert De Campistron Campistron,Q204908
Jean-Gilbert Durval,Jean Gilbert Durval,Q117165420
Jean-Jacques Le Franc De Pompignan,Jean Jacques Le Franc De Pompignan,Q1393531
Jean-Jacques Rousseau,Jean Jacques Rousseau,Q6527
Jean-Joseph Vadé,Jean Joseph Vadé,Q276675
Jean-Nicolas Bouilly,Jean Nicolas Bouilly,
Jean-Philippe Rameau,Jean Philippe Rameau,Q1145
Joachim Duflot,Joachim Duflot,Q43249420
Joseph Alexandre Pierre Vicomte De Ségur,Joseph Alexandre Pierre Vicomte De Ségur,Q321684
Joseph Aude,Joseph Aude,Q3184541
Joseph De La Font,Joseph De La Font,Q3185843
Joseph De Lafont,Joseph De Lafont,Q3185843
Joseph Desmarres,Joseph Desmarres,
Joseph François Duché De Vancy,Joseph François Duché De Vancy,Q3184258
Joseph François Laignelot,Joseph François Laignelot,Q3184965
Joseph Marie Pain,Joseph Marie Pain,
Joseph Patrat,Joseph Patrat,Q3185458
Joseph Thierry,Joseph Thierry,Q60041019
Joseph-Alexandre Pierre Vicomte De Ségur,Joseph Alexandre Pierre Vicomte De Ségur,Q321684
Joseph-François Duché De Vancy,Joseph François Duché De Vancy,Q3184258
Joseph-François Laignelot,Joseph François Laignelot,Q3184965
Joseph-Isidore SAMSON,Joseph Isidore Samson,Q3185612
Joseph-Marie Pain,Joseph Marie Pain,
Jules Adenis,Jules Adenis,Q531726
Jules Claretie,Jules Claretie,Q912271
Jules Jouy,Jules Jouy,Q3188695
Jules Laforgue,Jules Laforgue,Q380275
Jules Lagarde,Jules Lagarde,
Jules Moinaux,Jules Moinaux,Q1711737
Jules Renard,Jules Renard,Q314987
Jules Sandeau,Jules Sandeau,Q609039
Julien De Mallian,Julien De Mallian,Q18197671
Julien Sermet,Julien Sermet,Q56240032
Justin Gensoul,Justin Gensoul,Q3190441
L. C. Discret,L. C. Discret,Q29985439
L.C. Discret,L.C. Discret,Q29985439
L'Abbé Marchadier,L'Abbé Marchadier,
La Chapelle,La Chapelle,Q3175477
Laurencin,Laurencin,Q4520182
Le Boulanger De Chalussay,Le Boulanger De Chalussay,ID0008
Le Chevalier Pierre Cérou,Le Chevalier Pierre Cérou,Q3384589
Leconte De Lisle,Leconte De Lisle,Q309704
Léo Delibes,Léo Delibes,Q207951
Léon Crossonnois,Léon Crossonnois,
Léon Duvauchel,Léon Duvauchel,Q15969850
Léon Supersac,Léon Supersac,Q108664685
Léon Valade,Léon Valade,Q1879464
Léonor Jean Soulas D'Allainval,Léonor Jean Soulas D'Allainval,Q3271726
Lesguillon,Lesguillon,
Louet Lemarchant,Louet Lemarchant,
Louet-Lemarchant,Louet Lemarchant,
Louis Anseaume,Louis Anseaume,Q1094120
Louis Carrogis De Carmontelle,Louis Carrogis De Carmontelle,Q982053
Louis De Carmontelle,Louis De Carmontelle,Q982053
Louis Chalmeton,Louis Chalmeton,Q3261456
Louis Claude Chéron De La Bruyère,Louis Claude Chéron De La Bruyère,Q3260439
Louis De Boissy,Louis De Boissy,Q364931
Louis De Cahusac,Louis De Cahusac,Q325083
Louis Dépret,Louis Dépret,Q18197531
Louis Dominique Laurent Audiffret,Louis Dominique Laurent Audiffret,Q130234069
Louis François Archambault,Louis François Archambault,Q3037277
Louis François Delisle De La Drevetière,Louis François Delisle De La Drevetière,Q53118548
Louis François Marie Bellin De La Liborlière,Louis François Marie Bellin De La Liborlière,Q3261946
Louis Fuzelier,Louis Fuzelier,Q3261972
Louis Leroy,Louis Leroy,Q50659
Louis Marie Fontan,Louis Marie Fontan,Q6687763
Louis Poinsinet De Sivry,Louis Poinsinet De Sivry,Q1871924
Louis Sébastien Mercier,Louis Sébastien Mercier,Q709670
Louis-Claude Chéron De La Bruyère,Louis Claude Chéron De La Bruyère,Q3260439
Louis-Dominique-Laurent Audiffret,Louis Dominique Laurent Audiffret,Q130234069
Louis-Émile Vanderburch,Louis Émile Vanderburch,Q3260943
Louis-Émile VANDERBURCH Vanderburch,Louis Émile Vanderburch Vanderburch,Q3260943
Louis-François Archambault,Louis François Archambault,Q3037277
Louis-François Delisle De La Drevetière,Louis François Delisle De La Drevetière,Q53118548
Louis-Pierre-Pantaléon Resnier,Louis Pierre Pantaléon Resnier,Q3260829
Louis-Sébastien Mercier,Louis Sébastien Mercier,Q709670
Louis-Sébastien MERCIER Mercier,Louis Sébastien Mercier Mercier,Q709670
Luigi Riccoboni,Luigi Riccoboni,Q3266530
M. D'Ouzicourt,M. D'Ouzicourt,
M. De Vessaire,M. De Vessaire,
Marc Antoine Blanc,Marc Antoine Blanc,
Marc Antoine Jacques Rochon De Chabannes,Marc Antoine Jacques Rochon De Chabannes,Q3287628
Marc Antoine Legrand,Marc Antoine Legrand,Q3287662
Marc Lescarbot,Marc Lescarbot,Q3288216
Marc René De Montalembert,Marc René De Montalembert,Q1093666
Marc-Antoine Legrand,Marc Antoine Legrand,Q3287662
Marc-Antoine LEGRAND Legrand,Marc Antoine Legrand Legrand,Q3287662
Marc-Antoine-Jacques Rochon De Chabannes,Marc Antoine Jacques Rochon De Chabannes,Q3287628
Marc-Antoine-Madeleine DÉSAUGIERS,Marc Antoine Madeleine Désaugiers,Q3287646
Marc-Michel,Marc Michel,Q2386999
Marc-René De Montalembert,Marc René De Montalembert,Q1093666
MARCEL-BRIOL,Marcel Briol,Q115707570
Marie Alexis Justin Gensoul,Marie Alexis Justin Gensoul,Q3190441
Marie Anne Barbier,Marie Anne Barbier,Q464431
Marie Catherine Desjardins,Marie Catherine Desjardins,Q464422
Marie Henri François Élisabeth De Carrion Nisas,Marie Henri François Élisabeth De Carrion Nisas,Q3132242
Marie Joseph De Chénier,Marie Joseph De Chénier,Q736424
Marie Kolb,Marie Kolb,
Marie-Anne Barbier,Marie Anne Barbier,Q464431
Marie-Catherine de Villedieu,Marie Catherine De Villedieu,Q464422
Marie-Catherine Desjardins,Marie Catherine Desjardins,Q464422
Marie-Henri-François-Élisabeth De Carrion-Nisas,Marie Henri François Élisabeth De Carrion Nisas,Q3132242
Marie-Joseph De Chénier,Marie Joseph De Chénier,Q736424
Marivaux,Marivaux,Q49478
Maurice Boniface,Maurice Boniface,Q95248204
Maurice Bouchor,Maurice Bouchor,Q2742471
Maurice Desvallières,Maurice Desvallières,Q17350101
Maurice Donnay,Maurice Donnay,Q1251496
Maurice Millot,Maurice Millot,Q108555712
Maurice Vondrebeck,Maurice Vondrebeck,
Maurin De Pompigny,Maurin De Pompigny,Q3301648
Meerle,Meerle,
Melchior De Folard,Melchior De Folard,
Mélesville,Mélesville,Q2660806
Michel Abbé De Pure,Michel Abbé De Pure,Q3311196
Michel Baron,Michel Baron,Q163964
Michel De Cubières Palmézeaux,Michel De Cubières Palmézeaux,Q55025770
Michel de CUBIÈRES- PALMÉZEAUX,Michel De Cubières Palmézeaux,Q55025770
Michel de Cubières-Palmézeaux,Michel De Cubières Palmézeaux,Q55025770
Michel De Cubières  Palmézeaux,Michel De Cubières Palmézeaux,Q55025770
Michel Guyot De Merville,Michel Guyot De Merville,
Michel Jean Sedaine,Michel Jean Sedaine,Q367243
Michel Leclerc,Michel Leclerc,
Michel Masson,Michel Masson,Q3856395
Michel Nicolas Balisson De Rougemont,Michel Nicolas Balisson De Rougemont,Q3308793
Michel Paul Guy De Chabanon,Michel Paul Guy De Chabanon,Q3310534
Michel-Jean Sedaine,Michel Jean Sedaine,Q367243
Michel-Nicolas Balisson de Rougemont,Michel Nicolas Balisson De Rougemont,Q3308793
Michel-Nicolas Balisson de ROUGEMONT Rougemont,Michel Nicolas Balisson De Rougemont Rougemont,Q3308793
Micjel-Nicolas Balisson de Rougemont,Micjel Nicolas Balisson De Rougemont,Q3308793
Molière,Molière,Q687
Mongin,Mongin,
Monsieur De Sallebray,Monsieur De Sallebray,Q3469945
Montfleury,Montfleury,Q4775492
Montgaudier,Montgaudier,
Nérée Désarbres,Nérée Désarbres,Q43249410
Nicolas Boileau,Nicolas Boileau,Q188857
Nicolas Brazier,Nicolas Brazier,Q3340150
Nicolas Chamfort,Nicolas Chamfort,Q347891
Nicolas De Bohaire Dutheil,Nicolas De Bohaire Dutheil,Q21521854
Nicolas De Bohaire-Dutheil,Nicolas De Bohaire Dutheil,Q21521854
Nicolas De Malézieu,Nicolas De Malézieu,Q3340955
Nicolas Desfontaines,Nicolas Desfontaines,Q3340576
Nicolas Edme Rétif De La Bretonne,Nicolas Edme Rétif De La Bretonne,Q732729
Nicolas Étienne Framery,Nicolas Étienne Framery,Q1986373
Nicolas Gougenot,Nicolas Gougenot,Q3340369
Nicolas Gueudeville,Nicolas Gueudeville,Q3340385
Nicolas Marie Felix Bodard De Tezay,Nicolas Marie Felix Bodard De Tezay,
Nicolas Médard Audinot,Nicolas Médard Audinot,Q3339992
Nicolas Michel Linant,Nicolas Michel Linant,
Nicolas Péchantré,Nicolas Péchantré,Q3340965
Nicolas Pradon,Nicolas Pradon,Q3340704
Nicolas Soret,Nicolas Soret,Q21000401
Nicolas Thomas Barthe,Nicolas Thomas Barthe,Q3340819
Nicolas-Edme Rétif De La Bretonne,Nicolas Edme Rétif De La Bretonne,Q732729
Nicolas-Étienne Framery,Nicolas Étienne Framery,Q1986373
Nicolas-Marie-Felix Bodard De Tezay,Nicolas Marie Felix Bodard De Tezay,
Nicolas-Médard Audinot,Nicolas Médard Audinot,Q3339992
Nicolas-Michel Linant,Nicolas Michel Linant,
Nicolas-Thomas Barthe,Nicolas Thomas Barthe,Q3340819
Nizas,Nizas,
Noël Lebreton De Hauteroche,Noël Lebreton De Hauteroche,Q3345844
Noël Lebreton Hauteroche,Noël Lebreton Hauteroche,Q3345844
Octave Mirbeau,Octave Mirbeau,Q23441
Odet De Turnèbe,Odet De Turnèbe,Q3100336
Olympe de Gouges,Olympe De Gouges,Q206972
Onno Zvier Van Haren,Onno Zvier Van Haren,Q738577
P. G.,P. G.,
P. J. Girard,P. J. Girard,
P. Ludow Vigé,P. Ludow Vigé,
P.-J. Girard,P. J. Girard,
P.J. Barbier,P.J. Barbier,
P.V.C.H.,P.V.C.H.,
Pacarony,Pacarony,
Pascal Collasse,Pascal Collasse,Q287421
Paul Arène,Paul Arène,Q2633356
Paul Armand Silvestre,Paul Armand Silvestre,Q2058470
Paul Bellet,Paul Bellet,Q132236535
Paul Bilhaud,Paul Bilhaud,Q15969802
Paul Bonhomme,Paul Bonhomme,Q109854137
Paul Bonnetain,Paul Bonnetain,Q3370688
Paul Briollet,Paul Briollet,Q30001013
Paul Croiset,Paul Croiset,Q18197538
Paul Ferrier,Paul Ferrier,Q2059541
Paul Fièvre,Paul Fièvre,
Paul Landois,Paul Landois,Q2060812
Paul Lormier,Paul Lormier,Q3371706
Paul Meurice,Paul Meurice,Q287525
Paul Philippe Gudin De La Brenellerie,Paul Philippe Gudin De La Brenellerie,Q3370368
Paul Scarron,Paul Scarron,Q551725
Paul Siraudin,Paul Siraudin,Q3372207
Paul-Philippe Gudin De La Brenellerie,Paul Philippe Gudin De La Brenellerie,Q3370368
Paulin Deslandes,Paulin Deslandes,Q22210538
Pavel Fedorovič Čeliŝev,Pavel Fedorovič Čeliŝev,Q2361741
Philippe Marolles,Philippe Marolles,
Philippe Néricault Destouches,Philippe Néricault Destouches,Q177063
Philippe Néricault-Destouches,Philippe Néricault Destouches,Q177063
Philippe Plancher De Valcour,Philippe Plancher De Valcour,
Philippe Poisson,Philippe Poisson,Q3380553
Philippe Quinault,Philippe Quinault,Q379947
Philoxène Boyer,Philoxène Boyer,Q2088334
"Pierre ; Cambert, Robert Perrin","Pierre ; Cambert, Robert Perrin",Q3294482
Pierre Augustin Caron De Beaumarchais,Pierre Augustin Caron De Beaumarchais,Q70326
Pierre Beauchamp,Pierre Beauchamp,Q1384975
Pierre Boucher,Pierre Boucher,Q3384112
Pierre Carmouche,Pierre Carmouche,Q3384294
Pierre Charles Roy,Pierre Charles Roy,Q347289
Pierre Claude Nivelle De La Chaussée,Pierre Claude Nivelle De La Chaussée,Q1933689
Pierre Corneille,Pierre Corneille,Q747
Pierre De Marivaux,Pierre De Marivaux,Q49478
Pierre Du Ryer,Pierre Du Ryer,Q2633293
Pierre François Biancolelli,Pierre François Biancolelli,Q737646
Pierre Giffart,Pierre Giffart,Q29376018
Pierre Jean Baptiste Nougaret,Pierre Jean Baptiste Nougaret,Q3383149
Pierre Jean Hyacinthe Adonis Galoppe D'Onquaire,Pierre Jean Hyacinthe Adonis Galoppe D'Onquaire,
Pierre Lafenestre,Pierre Lafenestre,Q108755956
Pierre Laujon,Pierre Laujon,Q3385814
Pierre Louis Moline,Pierre Louis Moline,Q374622
Pierre Matthieu,Pierre Matthieu,Q3386220
Pierre Michel Delaporte,Pierre Michel Delaporte,Q959474
Pierre Nicolas Poulhariez,Pierre Nicolas Poulhariez,
Pierre Rousseau,Pierre Rousseau,Q3386874
Pierre Saint Glas,Pierre Saint Glas,
Pierre Saint-Glas,Pierre Saint Glas,
Pierre Sylvain Maréchal,Pierre Sylvain Maréchal,
Pierre Trimouillat,Pierre Trimouillat,Q3387166
Pierre Troterel,Pierre Troterel,Q130140070
Pierre Yves Barré,Pierre Yves Barré,Q3180772
Pierre-Augustin Caron De Beaumarchais,Pierre Augustin Caron De Beaumarchais,Q70326
Pierre-Charles Roy,Pierre Charles Roy,Q347289
Pierre-Claude Nivelle De La Chaussée,Pierre Claude Nivelle De La Chaussée,Q1933689
Pierre-Claude NIVELLE DE LA CHAUSSÉE Nivelle,Pierre Claude Nivelle De La Chaussée Nivelle,#REF!
"Pierre-François ; dit Dominique fils ; Romagnesi, Jean-Antoine Biancolelli","Pierre François ; Dit Dominique Fils ; Romagnesi, Jean Antoine Biancolelli",Q737646
Pierre-François Biancolelli,Pierre François Biancolelli,Q737646
Pierre-Jean-Baptiste Nougaret,Pierre Jean Baptiste Nougaret,Q3383149
Pierre-Jean-Hyacinthe-Adonis Galoppe D'Onquaire,Pierre Jean Hyacinthe Adonis Galoppe D'Onquaire,
Pierre-Louis Moline,Pierre Louis Moline,Q374622
Pierre-Nicolas Poulhariez,Pierre Nicolas Poulhariez,
Pierre-Sylvain Maréchal,Pierre Sylvain Maréchal,
Pierre-Yves Barré,Pierre Yves Barré,Q3180772
Pirouette,Pirouette,
Plaute,Plaute,Q47160
Prosper Jolyot De Crébillon,Prosper Jolyot De Crébillon,Q551721
Raymond Deslandes,Raymond Deslandes,Q4157023
Raimond Deslandes,Raimond Deslandes,Q4157023
Raymond Poisson,Raymond Poisson,Q2894871
Regnard,Regnard,Q732695
Remy De Gourmont,Remy De Gourmont,Q353876
René Bary,René Bary,Q3425806
René Berton,René Berton,Q17425768
René Charles Guilbert Pixerécourt,René Charles Guilbert Pixerécourt,
René Charles Guilbert-Pixerécourt,René Charles Guilbert Pixerécourt,
René De Chazet,René De Chazet,Q18012095
Riccoboni,Riccoboni,
Riccoboni Père,Riccoboni Père,
Robert Alain,Robert Alain,
Robert Garnier,Robert Garnier,Q113089
Robert-Alphonse GAUTIER Gautier,Robert Alphonse Gautier Gautier,Q107255164
Robert Alphonse Gautier,Robert Alphonse Gautier,Q107255164
Roland Le Vayer De Boutigny,Roland Le Vayer De Boutigny,Q3440138
Roswitha,Roswitha,Q170248
Saint Roman,Saint Roman,
Sallebray,Sallebray,Q3469945
Samuel Chappuzeau,Samuel Chappuzeau,Q330573
Savinien De Cyrano De Bergerac,Savinien De Cyrano De Bergerac,Q213614
Sébastien Marie Mathurin Gazon Doruxigné,Sébastien Marie Mathurin Gazon Doruxigné,Q116687710
Sébastien-Marie-Mathurin Gazon-Doruxigné,Sébastien Marie Mathurin Gazon Doruxigné,Q116687710
"Seigneur De Saint Évremond, Charles De Marguetel De Saint Denis","Seigneur De Saint Évremond, Charles De Marguetel De Saint Denis",Q511289
"Seigneur De Saint-Évremond, Charles De Marguetel De Saint-Denis","Seigneur De Saint Évremond, Charles De Marguetel De Saint Denis",Q511289
Sénèque,Sénèque,Q2054
Sieur De La Calprenède,Sieur De La Calprenède,Q1496335
Simon Pierre Mérard De Saint Just,Simon Pierre Mérard De Saint Just,Q28949675
Simon-Pierre Mérard De Saint-Just,Simon Pierre Mérard De Saint Just,Q28949675
Sophocle,Sophocle,Q7235
Stéphanie Félicité Du Crest De Genlis,Stéphanie Félicité Du Crest De Genlis,Q55037230
Stéphanie-Félicité Du Crest De Genlis,Stéphanie Félicité Du Crest De Genlis,Q55037230
Théodore Barrière,Théodore Barrière,Q1974901
Théodore Blanc,Théodore Blanc,Q110776075
Théodore Cogniard,Théodore Cogniard,Q15631312
Théodore De Banville,Théodore De Banville,Q312630
Théodore De Bèze,Théodore De Bèze,Q314981
Théodore Leclercq,Théodore Leclercq,Q379926
Théodore Pernot De Colombey,Théodore Pernot De Colombey,Q108663998
Théophile De Viau,Théophile De Viau,Q462644
Théophile Gautier,Théophile Gautier,Q183713
Théophile Marion Dumersan,Théophile Marion Dumersan,Q2066224
Thomas Corneille,Thomas Corneille,Q551787
Thomas L'Affichard,Thomas L'Affichard,Q21534628
Thomas Sauvage,Thomas Sauvage,Q3525549
Thomas Simon Gueullette,Thomas Simon Gueullette,Q3524846
Thomas-Simon Gueullette,Thomas Simon Gueullette,Q3524846
Toussaint Gaspard Taconet,Toussaint Gaspard Taconet,Q3535636
Toussaint-Gaspard Taconet,Toussaint Gaspard Taconet,Q3535636
Tristan Bernard,Tristan Bernard,Q379949
Urbain Chevreau,Urbain Chevreau,Q3552156
Veronneau,Veronneau,
Victor Hugo,Victor Hugo,Q535
Victorien Sardou,Victorien Sardou,Q354828
Virginie Ancelot,Virginie Ancelot,Q177565
Voltaire,Voltaire,Q9068
William Brunach,William Brunach,Q3568466
Xavier Aubryet,Xavier Aubryet,Q3570595
Xavier-Boniface Saintine,Xavier Boniface Saintine,Q1399502
