,TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,Normalized Year,yearPrinted,dateWriting,datePremiered,Genre,Genre (bis),Type,in_TD,in_Dracor,in_BD,Empty text
2627,,pg-a-la-monaco,A la Monaco,P. G.,P. G.,,,1875.0,1889.0,,1875-06-17,,,,,fre001109,,False
2628,,pg-amour,L'Amour et l'Amour Propre,P. G.,P. G.,,,1889.0,1889.0,,,Comedy,Comedy,,,fre001110,,False
2629,,pg-carnaval-du-baron,Le Carnaval du Baron de Papaver,P. G.,P. G.,,,1889.0,1889.0,,,,,,,fre001111,,False
2630,,pg-fausse-invite,Une Fausse Invite,P. G.,P. G.,,,1889.0,1889.0,,,Comedy,Comedy,,,fre001112,,False
2631,,pg-thesee,Thésée,P. G.,P. G.,,,1889.0,1889.0,,,,,,,fre001113,,False
2632,,pic-aricie,Aricie,Jean Pic,Jean Pic,,Q3173969,1697.0,1697.0,,,,,,,fre001114,,False
2633,,piis-cassandre-astrologue,Cassandre Astrologue,Augustin De Piis,Augustin De Piis,,Q3382839,1780.0,1780.0,,,,,,,fre001116,,False
2634,,piron-nouvelle-messaline,La Nouvelle Messaline,Alexis Piron,Alexis Piron,,Q983437,1772.0,1772.0,,,Tragedy,Tragedy,,,fre001122,,False
2635,,pirouette-jeune-homme-bleme,Le Jeune Homme Blême,Pirouette,Pirouette,,,1881.0,1881.0,,,,,,,fre001124,,False
2636,,pixerecourt-victor,"Victor, ou L'Enfant de la Forêt",René Charles Guilbert-Pixerécourt,René Charles Guilbert Pixerécourt,,,1798.0,1798.0,,1798-05-12,,,,,fre001125,,False
2637,,plancher-verre-d-eau,Le Verre d'Eau,Philippe Plancher De Valcour,Philippe Plancher De Valcour,,,1788.0,1788.0,,,Comedy,Comedy,,,fre001126,,False
2638,,plaute-aululaire,L'Aululaire Traduction Sommer,Plaute,Plaute,,Q47160,1865.0,1865.0,,,Comedy,Comedy,,,fre001128,,False
2639,,plaute-casina,Casina,Plaute,Plaute,,Q47160,1865.0,1865.0,,,Comedy,Comedy,,,fre001129,,False
2640,,poinsinet-ajax,Ajax,Louis Poinsinet De Sivry,Louis Poinsinet De Sivry,,Q1871924,1762.0,1789.0,,1762-08-30,Tragedy,Tragedy,,,fre001130,,False
2641,,poinsinet-cercle,"Le Cercle, ou La Soirée A la Mode",Antoine-Alexandre-Henri Poinsinet De Sivry,Antoine Alexandre Henri Poinsinet De Sivry,,Q2853436,1764.0,1764.0,,1764-09-07,Comedy,Comedy,,,fre001131,,False
2642,,poinsinet-fra-maconnes,Les Fra-Maçonnes,Antoine-Alexandre-Henri Poinsinet,Antoine Alexandre Henri Poinsinet,,Q2853436,1754.0,1754.0,,1754-08-28,,,,,fre001132,,False
2643,,poinsinet-philosophes-de-bois,Les Philosophes de Bois,Louis Poinsinet De Sivry,Louis Poinsinet De Sivry,,Q1871924,1760.0,1760.0,,1760-05-02,Comedy,Comedy,,,fre001133,,False
2644,,poisson-holande-malade,"La Hollande Malade, Comédie en un Acte",Raymond Poisson,Raymond Poisson,,Q2894871,1672.0,1672.0,,,Comedy,Comedy,,,fre001137,,False
2645,,poisson-sot-venge,"Le Sot Vengé, Comédie en un Acte",Jean-François Poisson,Jean François Poisson,,,1661.0,1679.0,,,Comedy,Comedy,,,fre001138,,False
2646,,pompigny-noeud-d-amour,Le Noeud d'Amour,Maurin De Pompigny,Maurin De Pompigny,,Q3301648,1779.0,1782.0,,,Comedy,Comedy,,,fre001139,,False
2647,,poulhariez-taciturne,Le Taciturne,Pierre-Nicolas Poulhariez,Pierre Nicolas Poulhariez,,,1773.0,1778.0,,1773-03-22,Comedy,Comedy,,,fre001141,,False
2648,,pousset-de-montauban-felicie,Les Charmes de Félicie,Jacques Pousset De Montauban,Jacques Pousset De Montauban,,Q55887604,1654.0,1654.0,,,,,,,fre001142,,False
2649,,pousset-de-montauban-zenobie,Zénobie Reine d'Arménie,Jacques Pousset De Montauban,Jacques Pousset De Montauban,,Q55887604,1653.0,1653.0,,,Tragedy,Tragedy,,,fre001143,,False
2650,,prade-arsace,"Arsace, Roi des Parthes",Jean Le Royer De Prade,Jean Le Royer De Prade,,Q3173110,1662.0,1666.0,,1662-11-03,Tragedy,Tragedy,,,fre001146,,False
2651,,pradon-regulus,Régulus,Nicolas Pradon,Nicolas Pradon,,Q3340704,1687.0,1687.0,,,Tragedy,Tragedy,,,fre001149,,False
2652,,pradon-scipion,Scipion l'Africain,Nicolas Pradon,Nicolas Pradon,,Q3340704,1697.0,1697.0,,1697-02-22,Tragedy,Tragedy,,,fre001150,110.0,False
2653,,pradon-statira,Statira,Nicolas Pradon,Nicolas Pradon,,Q3340704,1677.0,1680.0,,1677-01-03,Tragedy,Tragedy,,,fre001151,,False
2654,,puget-de-la-serre-climene,Climène ou Le Triomphe de la Vertu,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1643.0,1643.0,,1660-05-28,Tragicomedy,Tragi-comedy,,,fre001152,,False
2655,,puget-de-la-serre-martyre-sainte-catherine,Le Martyre de Sainte Catherine,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1643.0,1643.0,,,Tragedy,Tragedy,,,fre001153,,False
2656,,puget-de-la-serre-pandoste-i,Pandoste ou La Princesse Malheureuse,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1631.0,1631.0,,,Tragedy,Tragedy,,,fre001154,,False
2657,,puget-de-la-serre-pandoste-ii,Pandoste [ii] ou La Princesse Malheureuse,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1631.0,1631.0,,,Tragedy,Tragedy,,,fre001155,,False
2658,,puget-de-la-serre-sac-de-carthage,Le Sac de Carthage,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1642.0,1642.0,,,Tragedy,Tragedy,,,fre001156,,False
2659,,puget-de-la-serre-thesee,Thésée ou Le Prince Reconnu,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1644.0,1644.0,,,Tragedy,Tragedy,,,fre001157,,False
2660,,puget-de-la-serre-thomas-morus,Thomas Morus,Jean Puget De La Serre,Jean Puget De La Serre,,Q3174141,1642.0,1642.0,,,Tragedy,Tragedy,,,fre001158,,False
2661,,pure-deroute-des-precieuses,La Déroute des Précieuses,Michel Abbé De Pure,Michel Abbé De Pure,,Q3311196,1659.0,1659.0,,,,,,,fre001159,,False
2662,,pure-ostorius,Ostorius,Michel Abbé De Pure,Michel Abbé De Pure,,Q3311196,1658.0,1659.0,,,Tragedy,Tragedy,,,fre001160,,False
2663,,quinault-alceste,Alceste ou Le Triomphe d'Alcide,Philippe Quinault,Philippe Quinault,,Q379947,1682.0,1739.0,,1682-04-17,,,,,fre001162,,False
2664,,quinault-amadis,Amadis,Philippe Quinault,Philippe Quinault,,Q379947,1684.0,1684.0,,1684-01-15,Tragedy,Tragedy,,,fre001163,,False
2665,,quinault-armide,Armide,Philippe Quinault,Philippe Quinault,,Q379947,1686.0,1686.0,,1686-02-15,,,,,fre001165,,False
2666,,quinault-atys,Atys,Philippe Quinault,Philippe Quinault,,Q379947,1676.0,1676.0,,1676-01-10,Tragedy,Tragedy,,,fre001166,,False
2667,,quinault-cadmus-hermione,Cadmus et Hermione,Philippe Quinault,Philippe Quinault,,Q379947,1673.0,1673.0,,1673-02-01,,,,,fre001168,,False
2668,,quinault-coups-de-l-amour,Les Coups de l'Amour et de la Fortune.,Philippe Quinault,Philippe Quinault,,Q379947,1655.0,1655.0,,1665-10-15,Tragicomedy,Tragi-comedy,,,fre001170,,False
2669,,quinault-docteur-de-verre,Le Docteur de Verre,Philippe Quinault,Philippe Quinault,,Q379947,1689.0,1689.0,,,Comedy,Comedy,,,fre001171,,False
2670,,quinault-fetes-amour-bacchus,Les Fêtes de l'Amour et de Bacchus,Philippe Quinault,Philippe Quinault,,Q379947,1672.0,1672.0,,1682-04-17,,,,,fre001173,,False
2671,,quinault-grotte,Le Grotte de Versailles Eglogue en Musique,Philippe Quinault,Philippe Quinault,,Q379947,1668.0,1668.0,,,,,,,fre001175,,False
2672,,quinault-isis,Isis,Philippe Quinault,Philippe Quinault,,Q379947,1677.0,1687.0,,1677-01-05,,,,,fre001176,,False
2673,,quinault-persee,Persée,Philippe Quinault,Philippe Quinault,,Q379947,1682.0,1682.0,,1682-04-17,,,,,fre001178,,False
2674,,quinault-proserpine,Proserpine,Philippe Quinault,Philippe Quinault,,Q379947,1680.0,1680.0,,1680-02-03,Tragedy,Tragedy,,,fre001179,,False
2675,,quinault-roland,Roland,Philippe Quinault,Philippe Quinault,,Q379947,1685.0,1685.0,,1685-01-18,,,,,fre001180,,False
2676,,quinault-temple-de-la-paix,Le Temple de la Paix Ballet Dansé Devant sa Majesté à Fontainebleau le [15] d'Octobre 1685.,Philippe Quinault,Philippe Quinault,,Q379947,1685.0,1685.0,,,,,,,fre001182,,False
2677,,quinault-thesee,Thésée,Philippe Quinault,Philippe Quinault,,Q379947,1675.0,1675.0,,1675-01-11,Tragedy,Tragedy,,,fre001183,,False
2678,,rayssiguier-palinice,"Palinice, Circeine et Florice",De Rayssiguier,De Rayssiguier,,Q123462147,1634.0,1634.0,,,Tragicomedy,Tragi-comedy,,,fre001201,117.0,False
2679,,regnard-carnaval-de-venise,Le Carnaval de Venise,Jean-François Regnard,Jean François Regnard,,Q732695,1699.0,1699.0,,,,,,,fre001206,,False
2680,,renard-maitresse,La Maîtresse,Jules Renard,Jules Renard,,Q314987,1927.0,1927.0,,,Comedy,Comedy,,,fre001223,,False
2681,,renard-plaisir-de-rompre,Le Plaisir de Rompre,Jules Renard,Jules Renard,,Q314987,1897.0,1904.0,,1897-03-16,Comedy,Comedy,,,fre001224,,False
2682,,restif-jugement-de-paris,"Le Jugement de Pâris Comédie en un Acte et en Prose,",Nicolas-Edme Rétif De La Bretonne,Nicolas Edme Rétif De La Bretonne,,Q732729,1773.0,1773.0,,,Comedy,Comedy,,,fre001225,,False
2683,,riccoboni-riccoboni-romagnesi-echo-du-public,L'Echo du Public,Riccoboni Père,Riccoboni Père,,,1741.0,1741.0,,1741-03-07,Comedy,Comedy,,,fre001226,,False
2684,,riccoboni-romagnesi-compliments,Les Compliments,Riccoboni,Riccoboni,,,1736.0,1736.0,,1736-04-10,,,,,fre001227,,False
2685,,rochon-heureusement,Heureusement,Marc-Antoine-Jacques Rochon De Chabannes,Marc Antoine Jacques Rochon De Chabannes,,Q3287628,1762.0,1762.0,,1762-11-29,Comedy,Comedy,,,fre001229,,False
2686,,roger-auteur-capitation,Dialogue entre un Auteur et un Receveur de la Capitation,Claude-Félix Roger,Claude Félix Roger,,,1767.0,1767.0,,,,,,,fre001230,,False
2687,,romagnesi-riccoboni-sauvages,Les Sauvages,Riccoboni,Riccoboni,,,1736.0,1736.0,,1736-03-05,,,,,fre001231,,False
2688,,romagnesi-rancune,La Rancune,Jean-Antoine Romagnesi,Jean Antoine Romagnesi,,Q517188,1755.0,1755.0,,1755-05-02,Comedy,Comedy,,,fre001232,,False
