,dorneval-jugement-de-paris,quinault-cadmus-hermione,Cost,Operation Type
119,"('#jupiter', ""Voilà qui est bien.  Dansons présentement. Les Divinités subalternes commencent a danser ; mais leur danse est tout-à-coup interrompue par un grand bruit qu'on entend dessous le théâtre. Il s'ouvre un abîme, d'où il s'élève une épaisse vapeur."")","('#charite', ""Au moins si tu te plains de me voir insensible, Tu dois être content de ma sincérité ; Puisqu'enfin pour te satisfaire Je ne puis pleurer avec toi ; Si tu voulais me plaire Tu rirais avec moi."")",1.39,Substitution
120,"('#jupiter', ""Que signifie donc cette vapeur-là ?  Qui diable fait un si grand sabat ? Ah, morbleu !  C'est cette vilaine Discorde ! Voila bien du rabat-joie.  Jarni ! Apercevant la Discorde qui sort de l'abîme. Tapant du pied."")","('#arbas', ""C'est trop railler de mon martyre, Le dépit m'en doit délivrer ; N'est-on pas bien fou de pleurer Pour qui n'en fait que rire ?"")",0.78,Substitution
121,"('#la-discorde', ""Ah !  Ha !  Je vous y atrape !  Dianche !  Comme vo z'y âllez !  Hé, d'où vient donc que vous né m'avez pas priée de la noche ?"")","('#charite', ""Guéris-toi, si tu peux, J'approuve ta colère ; Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",1.72,Substitution
122,"('#mercure', 'On a grand tort, assurément.')","('#charite #arbas', ""Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",1.95,Substitution
123,"('#jupiter', ""Peste de Normande, ta présence m'afflige.  Va-t-en au Diable."")","('#arbas', 'Mais la nourrice vient, il me faut éloigner.')",1.3,Substitution
124,"('#la-discorde', 'Hé !  Vas y tey-même, grand Chenapan.')","('#charite', ""Tu sais que tu lui plais, la veux-tu dédaigner ? C'est une conquête assez belle."")",1.19,Substitution
125,"('#jupiter', ""Morguienne de vous. Quell' femme, quell' femme, Morguienne de vous, Quell' femme êtes vous. Refrain de l'AIR 72 : Morguienne de vous."")",,1.0,Insertion
126,"('#la-discorde', ""Demandez à ces deux Normands Combien j'ai fait d'amants J'aurais été de trop ichit, apparemment.  No valons pourtant bien toutes ces Pinbéches-là. Air 8 : Je reviendrai demain au soir. Bis."")","('#arbas', 'Si je lui plais, tant pis pour elle.')",1.2,Substitution
127,,"('#la-nourrice', ""Quoi ! Dès que je parais, tu fuis au même instant ? Lorsqu'on a des amis, est-ce ainsi qu'on les quitte ?"")",1.0,Deletion
128,,"('#arbas', ""Le temps presse, et Cadmus m'attend."")",1.0,Deletion
129,"('#un-des-normands', ""Donn' z'au Guiéble, tout notre pais En va pour ses attraits. Bis."")","('#la-nourrice', ""Quand tu parlais seul à Charite, Le temps ne te pressait pas tant : Quel charme a-t-elle qui t'attire ? Qu'ai-je qui te fait en aller ?"")",0.79,Substitution
130,,"('#arbas', ""J'avais à lui parler, Je n'ai rien à te dire. Je dois suivre Cadmus, nous partons de ce lieu."")",1.0,Deletion
131,,"('#la-nourrice', 'Me dire adieu, du moins, est une bienséance Dont rien ne te dispense.')",1.0,Deletion
132,,"('#arbas', 'Je te dis donc adieu.')",1.0,Deletion
133,"('#la-discorde', ""Domfront reconnoît ma puissance, Ainsi que Valogne et Guibray ; L'on m'adore à Vire, à Coutance, Tout Caen ne jure que par mey. Air 6 : Menuet de M. de Grandval."")","('#la-nourrice', ""Il me quitte, l'ingrat, il me fuit, l'infidèle ! Ne crains pas que je te rappelle ! Va, cours, je te laisse partir : Va, je n'ai plus pour toi qu'une haine mortelle : Puisses-tu rencontrer la mort la plus cruelle, Puisse le dragon t'engloutir."")",1.33,Substitution
134,"('#un-des-normands', 'Oh ! Vére, mâ fey.')",,1.0,Insertion
135,"('#jupiter', 'Plaisante puissance.')","('#charite', ""Crois-moi, modère L'éclat de ta colère ; Un dépit qui fait tant de bruit Fait trop d'honneur à qui nous fuit."")",1.45,Substitution
136,"('#le-normand', ""All est aussi pissante que vo, si pus n'est."")",,1.0,Insertion
137,"('#la-discorde', ""Vére, Guieume dânne !  Pat la sang-Guiêble !  Il me prend envie de vo galvauder tretons, et de jeter par les fernêtres les Dieux, les Diesses ry les violons z'aussi."")","('#la-nourrice', ""Ah ! Vraiment je vous trouve bonne ? Est-ce à vous, peite Mignonne, De reprendre ce que je dis ? Attendez l'âge Où l'on est sage, Pour donner des avis."")",1.07,Substitution
138,"('#junon', ""Ma Comète, ne te fâche point.  Si nous ne t'avons pas mise de la partie, ce n'a point été par mépris.  Tu sais que je t'ai toujours aimée."")","('#charite', ""Je suis jeune, je le confesse, Trouves-tu ce défaut si digne de mépris ? N'a-t-on point de bons sens qu'en perdant la jeunesse ? Il serait bien cher à ce prix."")",0.79,Substitution
139,,"('#la-nourrice', ""Le temps doit mûrir les esprits, Et c'est le fruit de la vieillesse."")",1.0,Deletion
140,"('#venus', ""On nous a dit que tu avais affaire aujourd'hui."")","('#charite', ""Il n'est pas sûr que la sagesse Suive toujours les cheveux gris."")",1.88,Substitution
141,"('#la-discorde', ""Cela est vrai.  On a besoin de mey dans l'Université de Paris, où l'on va procéder ; à sélection d'un Recteur : mais, item, il fallait tréjours me semoncer de lâ noche."")","('#la-nourrice', ""Je souffre peu que l'on me blesse : Par des discours piquants Prétends-tu m'insulter sans cesse ?"")",1.45,Substitution
142,"('#junon', ""Tu n'aurais rien perdu pour cela, mon enfant, nous t'aurons gardé une part de gâteau."")","('#charite', 'Je respecte trop tes vieux ans.  Mais Cadmus, et la Princesse, Viennent dans ces lieux ; Ne troublons pas leurs adieux.')",1.6,Substitution
143,"('#la-discorde', ""Ah !  Que vo z'êtes de braves femmes !  Tenez par reconnaissance via un petit présent que je vo fais."")","('#cadmus', ""Je vais partir, belle Hermione, Je vais exécuter ce que l'Amour m'ordonne, Malgré le péril qui m'attend : Je veux vous délivrer, ou me perdre moi-même ; Je vous vois, je vous dit enfin que je vous aime, C'est assez pour mourir content."")",1.32,Substitution
144,"('#venus', 'Voyons, voyons.')",,1.0,Insertion
145,"('#la-discorde', ""C'est une poume de Vire z'en Normandie. Que Junon, Pallas et Venus se la disputent. Elle prend la pomme des mains du Normand. "")","('#hermione', ""Ah ! Cadmus, pourquoi m'aimez-vous ? Pourquoi vouloir chercher une mort trop certaine ? Eh ! Que peut la valeur humaine Contre le dieu Mars en courroux ? Voyez en quels périls votre Amour nous entraîne ! J'aurais mieux aimer votre haine : Ah ! Cadmus, pourquoi m'aimez-vous ?"")",1.67,Substitution
146,"('#junon', ""Ah ! donne-la moi, ma mignonne. Avec quel plaisir je la vois 1 Air 4 : Comme un Coucou que l'amour presse."")","('#cadmus', ""Vous m'aimez, il suffit, ne soyez point en peine ? Mon destin, tel qu'il soit, ne peut être que doux."")",1.22,Substitution
147,"('#la-discorde', ""Non, s'il vo pglaît, je ne la donne Qu'à la plus belle de vo trois."")","('#hermione', ""Vivons pour nous aimer, et cesser de poursuivre Le funeste dessein que vous avez formé : Il doit être bien doux de vivre, Lorsqu'on aime, et qu'on est aimé."")",1.06,Substitution
148,"('#les-trois-deesses', ""C'est donc pour moi, c'est donc pour moi."")","('#cadmus', ""Sous une injuste loi je vous vois asservie ; Serait-ce vous aimer que le pouvoir souffrir ? Lorsque pour ce qu'on aime on s'expose à périr, La plus affreuse mort a de quoi faire envie."")",1.63,Substitution
149,"('#la-discorde', ""Tenez, vieux Grigou.  C'est en vos mains que je lâ remets, pour en faire l'adjudication comme adviserez bon être."")","('#hermione', ""Mais vous ne songez pas qu'il y va de la vie : Faut-il que pour mes jours vous soyez sans effroi ? Je vivrais sous l'injuste loi Où mon cruel destin me livre. Mais si vous périssez pour moi, Je ne pourrai pas vous survivre."")",1.36,Substitution
150,"('#jupiter', ""Que voulez-vous que j'en fasse, moi ?"")","('#cadmus', ""J'ai besoin de secours, voulez-vous m'accabler ? Ah ! Princesse, est-il temps de me faire trembler ?"")",1.09,Substitution
151,,"('#hermione', 'Soyez sensible à mes alarmes !')",1.0,Deletion
152,,"('#cadmus', 'Je ne sens que trop vos douleurs.')",1.0,Deletion
153,"('#la-discorde', ""Ce qu'il vo pglaira.  Adieu.  Réjouissez-vo bien , mez'efans. Cette poume vo bâillera du tintoin, comptez là-dessus. Elle rentre dans l'abîme."")","('#hermione', 'Partirez-vous malgré mes pleurs ?')",0.69,Substitution
154,"('#jupiter', 'Peste de la Carogne, avec sa chienne de pomme.')","('#cadmus', 'Il faut aller tarir la source de vos larmes.')",2.0,Substitution
155,,"('#hermione', ""Quoi, vous m'allez quitter ?"")",1.0,Deletion
156,"('#mercure', ""Hé, pourquoi la preniez-vous ?  En vous la donnant on vous avertit qu'elle sera fatale, vous êtes assez sot pour la recevoir."")","('#cadmus', 'Je vais vous secourir.')",1.75,Substitution
157,"('#jupiter', ""Oui, j'ai tort, il est vrai, j'ai tort.  Ah !  Maudite Discorde !"")","('#hermione', 'Ah ! vous allez périr ! Vous cherchez une mort horrible ; Mon amour me dit trop que vous perdrez le jour.')",1.23,Substitution
158,"('#junon', ""Ça, ça, qu'on nous donne cette pomme."")","('#cadmus', ""L'Amour que j'ai pour vous ne croit rien d'impossible : Il me flatte en partant d'un bienheureux retour."")",1.61,Substitution
159,,"('#hermione #cadmus', 'Croyez en mon amour,')",1.0,Deletion
160,,"('#hermione', ""Vous n'écoutez point ma tendresse, Rien ne vous retient ?"")",1.0,Deletion
161,"('#pallas', 'Ne différons point.')",,1.0,Insertion
162,"('#venus', ""C'est le plus pressé."")","('#cadmus', 'Le temps presse.')",0.42,Substitution
163,"('#jupiter', ""Hé bien, hé bien, ne voilà-t-il pas déjà le commencement du branle ?  Ah !  Que je prévois de maux à l'heure qu'il est !"")","('#hermione #cadmus', ""Au nom des plus beaux noeuds que l'Amour ait formés, Vivez, si vous m'aimez."")",1.86,Substitution
164,"('#pallas', 'Mon Papa, dépêchez-vous. Considérez ma figure. Air 47 : Robin, turelure lure.')","('#cadmus', 'Espérons.')",1.15,Substitution
165,,"('#hermione', ""Tout me désespère. Que je me veux de mal d'avoir trop sçû vous plaire !"")",1.0,Deletion
166,,"('#hermione #cadmus', ""Qu'un tendre amour coûte d'ennuis !"")",1.0,Deletion
167,,"('#hermione', 'Vous fuyez ?')",1.0,Deletion
168,"('#junon', 'Allons, mon fils, jugez-nous.')","('#cadmus', 'Il le faut.')",1.55,Substitution
169,"('#jupiter', 'Turelure.')","('#hermione', 'Demeurez ?')",1.17,Substitution
170,,"('#cadmus', ""Je ne puis, Je m'affaiblis plus je diffère ; Il faut m'arracher de ce lieu."")",1.0,Deletion
171,,"('#hermione', 'Ah ! Cadmus !')",1.0,Deletion
172,"('#venus', ""J'aurai le prix, je vous jure."")","('#cadmus', 'Hermione !')",1.47,Substitution
173,"('#pallas', 'Robin, turelure lure.')","('#hermione #cadmus', 'Adieu.')",1.14,Substitution
174,"('#jupiter', 'Oh !  Que je me garderai bien de prononcer entre vous.')","('#hermione', ""Amour, vois quels maux tu nous fais, Où sont les biens que tu promets ; N'as-tu point pitié de nos peines ? Tes rigueurs les plus inhumaines Seront-elles toujours pour les plus tendres coeurs ? Pour qui, cruel Amour, gardes-tu tes douceurs ?"")",1.35,Substitution
175,"('#pallas', 'Décidez en Maître des Dieux. Air 21. Laire-la, laire lan-laire.')","('#l-amour', ""Calme tes déplaisirs, dissipe tes alarmes, L'Amour vient essuyer tes larmes, Il n'abandonne pas ceux qui suivent ses lois. Souviens-toi que tout m'est possible : Que rien à mon abord ne demeure insensible ? Que pour la divertir tout s'anime à ma voix ? Cessez de vous plaindre De souffrir en aimant ; Amants, vous devez ne rien craindre, Si vous souffrez, votre prix est charmant. Après des rigueurs inhumaines On aime sans peines, On rit des jaloux ; Un bien plein de charmes Qui coûte des larmes, En devient plus doux. Tout doit rendre hommage À l'Empire amoureux ; Il faut tôt ou tard qu'on s'engage, Sans rien aimer on ne peut être heureux. Après des rigueurs inhumaines, etc... Amours, venez semer mille fleurs sous ses pas. Des statues d'or sont animées par l'Amour et sautent de leur piédestaux pour danser. L'Amour descend et vient chanter au milieu des statues animées. Second couplet. L'amour reprend sa place sur le nuage qui l'a apporté, les statues se remettent sur leurs piédestaux, tandis que dix petits amours d'or, qui tiennent des corbeilles pleines de fleurs, sont à leur tour animés par l'Amour, et viennent par son ordre jeter des fleurs en volant autour d'Hermione."")",1.56,Substitution
176,,"('#hermione', ""Laissez-moi ma douleur, j'y trouve des appas. Dans l'horreur d'un péril extrême, Est-ce là le secours que l'on me doit offrir ? Peut-être ce que j'aime Est tout prêt de périr."")",1.0,Deletion
177,,"('#l-amour', 'Je vais le secourir.')",1.0,Deletion
178,"('#venus', 'Il ne faut avoir que des yeux ; Pour bien décider cette affaire.')","('#premier-prince-tyrien', 'Tu détournes bien tes regards ?')",1.01,Substitution
179,,"('#deuxieme-prince-tyrien', 'As-tu peur du dragon de Mars ?')",1.0,Deletion
180,,"('#arbas', 'La défiance est nécessaire, Il est bon de prévoir un fâcheux accident, On ne doit point marcher ici en téméraire.')",1.0,Deletion
181,,"('#premier-prince-tyrien', ""C'est très bien fait d'être prudent."")",1.0,Deletion
182,,"('#arbas', ""Je suis hardi quand il faut l'être ; Si quelqu'un en doutait, il pourrait le connaître."")",1.0,Deletion
183,,"('#deuxieme-prince-tyrien', ""Qui voudrait s'attaquer à toi ?"")",1.0,Deletion
184,,"('#premier-prince-tyrien', 'On te croit vaillant sur ta foi. Mais la couleur de ton visage Répond mal à ta valeur !')",1.0,Deletion
185,,"('#arbas', ""Est-ce par la couleur Que l'on doit juger du courage ?"")",1.0,Deletion
186,,"('#deuxieme-prince-tyrien', 'Que tes sens paraissent troublés ! Tu trembles ?')",1.0,Deletion
187,,"('#arbas', ""C'est qu'il vous le semble : Chacun croit que l'on lui ressemble, C'est peut-être vous qui tremblez ? Que maudit soit l'Amour funeste Qui nous fait tant souffrir dans ce malheureux jour ! On se soulage quand on peste, Et l'on ne saurait trop pester contre l'Amour."")",1.0,Deletion
188,,"('#les-deux-princes #arbas', ""Gardons-nous bien d'avoir envie D'être jamais amoureux : De tous les maux de la vie L'Amour est le plus dangereux."")",1.0,Deletion
189,,"('#premier-prince-tyrien', ""Cadmus veut essayer de rendre Mars propice, C'est ici qu'il prétend offrir un sacrifice."")",1.0,Deletion
190,"('#junon', 'Laire la, laire lan-laire, Laire la, Laire lan-la.')","('#deuxieme-prince-tyrien', 'Pour des soins différents il faut nous séparer.')",1.79,Substitution
191,,"('#les-deux-princes-tyriens', 'Allons nous préparer.')",1.0,Deletion
192,"('#jupiter', ""Je n'en ferai rien, vous dis-je.  Rapportez-vous-en à quelque mortel qui ait du discernement."")","('#arbas', ""Acquittons-nous des soins où Cadmus nous engage. Quel bruit ! Non, ce n'est rien, courage amis, courage ! Qu'on a peine à donner du courage en tremblant Il ne tient pas à moi que je ne sois vaillant, Je tâche au moins de le paraître ; Je ne suis pas le seul qui se pique de l'être, Et qui n'en fait que le semblant. Il faut puiser de l'eau pour la cérémonie ; Avancez, je vous suis. Quel dragon furieux !"")",1.3,Substitution
193,,"('#les-deux-africains', ""Ô Dieux ! Ô Dieux ! Dans le temps que les deux Africains veulent puiser de l'eau, le Dragon s'élance sur eux, et les entraîne."")",1.0,Deletion
194,,"('#arbas', ""Ah ! C'est fait de ma vie. N'est-il point d'arbres, ou de rocher, Qui s'entrouve pour me cacher ?"")",1.0,Deletion
195,,"('#cadmus', 'Où vas-tu ?')",1.0,Deletion
196,,"('#arbas', 'Le Dragon...')",1.0,Deletion
197,,"('#cadmus', 'Hé bien ?')",1.0,Deletion
198,"('#mercure', ""J'ai votre fait, Mesdames."")","('#arbas', 'Ah ! mon cher maître...')",1.09,Substitution
199,"('#junon', 'Qui ?')","('#cadmus', 'Parle donc ?')",0.39,Substitution
200,,"('#arbas', 'Le Dragon...')",1.0,Deletion
201,,"('#cadmus', ""Où le vois-tu paraître Je regarde partout, et je n'aperçois rien."")",1.0,Deletion
202,,"('#arbas', 'Quoi le dragon nous suit ? Mais regardez bien ?')",1.0,Deletion
203,"('#mercure', ""Pâris.  C'est un Berger de Charenton, un Virtuose, qui fait arrêter les carrosses, et nouer l'éguillette."")","('#cadmus', ""Où sont les compagnons ? Qui t'oblige à te taire ? Tu parais interdit d'effroi ?"")",1.27,Substitution
204,"('#pallas', ""J'ai entendu parler de ce drôle-là."")",,1.0,Insertion
205,"('#mercure', ""C'est lui qui juge les querelles De tous les Bergers d'alentour. Air 17 : Menuet d'Hésione."")","('#arbas', ""Seigneur, vous jugez mal de moi, Si je suis interdit, ce n'est que de colère. Mes pauvres compagnons ! Hélas ! Le dragon n'en a fait qu'un fort léger repas."")",1.09,Substitution
206,"('#venus', ""Qu'il juge donc trois Immortelles ; Qu'il ait cet honneur en ce jour."")","('#cadmus', 'Allons il faut que je les venge.')",1.5,Substitution
207,,"('#arbas', 'Quelle hâte avez-vous que le Dragon vous mange ? Laissez-le se cacher. Ah ! Le voilà qui sort ! Au secours ! Au secours ! Je suis mort ! Je suis mort ! Ô ciel ! Où sera mon asile ? La frayeur me rend immobile ; Je ne saurais plus faire un pas : Ah ! cachons-nous, ne soufflons pas. Arbas se cache et Cadmus combat contre le dragon.')",1.0,Deletion
208,,"('#cadmus', ""Il ne faut plus que je diffère D'engager le Dieu Mars à calmer sa colère ; Si je puis l'adoucir, rien ne peut me troubler. Mes gens sont écartés, il faut les rassembler."")",1.0,Deletion
209,"('#jupiter', ""Portez vite cette pomme à Pâris : Qu'il la donne à qui elle appartient.  Pour nous, que cela ne regarde plus, continuons de nous réjouir. Le théâtre change en cet endroit, et représente un hameau assez près de la rivière."")","('#arbas', ""Le Dragon assouvi de sang et de carnage, S'est enfin retiré dans quelque antre sauvage : Tout est calme en ces lieux, et je n'entends plus rien. Je sens revenir mon courage, Allons conter partout le trépas de mon maître Que je plains son funeste sort ! Allons, mais que vois-je paraître ! Le Dragon étendu ! Ne fait-il point le mort ? Non, je le vois percé, son sang coule, ah ! Le traître ! Je ne puis contre lui retenir mon courroux, Et je lui veux donner au moins les derniers coups. Arbas met l'épée à la main et va percer le Dragon, qui fait encore quelque mouvement qui oblige Arbas de retourner sur le devant du théâtre."")",1.1,Substitution
210,,"('#premier-prince-tyrien', ""Quoi l'épée à la main ! Que faut-il entreprendre ?"")",1.0,Deletion
211,,"('#deuxieme-prince-tyrien', 'De quel péril es-tu pressé ?')",1.0,Deletion
212,,"('#les-deux-princes-tyriens', 'Nous aurons soin de te défendre.')",1.0,Deletion
213,,"('#arbas', 'Vous venez un peu tard, le péril est passé.')",1.0,Deletion
214,,"('#les-deux-princes-tyriens', ""Que voyons nous ! Qui l'eût pû croire ? Quoi le Dragon est abbattu !"")",1.0,Deletion
215,,"('#arbas', 'Nous en avons sans vous remporter la victoire.')",1.0,Deletion
216,,"('#premier-prince-tyrien', 'As-tu suivi Cadmus ?')",1.0,Deletion
217,,"('#deuxieme-prince-tyrien', 'As-tu part à sa gloire ?')",1.0,Deletion
218,,"('#arbas', ""Eh, nous n'étions pas loin quand il a combattu."")",1.0,Deletion
219,,"('#les-deux-princes-tyriens', 'Conte-nous ce combat.')",1.0,Deletion
220,,"('#arbas', ""J'en suis si hors d'haleine. Que je ne puis encore m'exprimer qu'avec peine. Il est bon d'essuyer ce fer ensanglanté, De crainte qu'il ne soit gâté."")",1.0,Deletion
221,"('#paris', ""Gardons nos moutons, Lirette , liron, Liron, lire, lirette. Il est assis sous une arbre touffu. Après avoir achevé de jouer de la flûte, il chante. Refrain de l'AIR 120. Gardons nos moutons."")","('#les-deux-princes-tyriens', ""Ah ! Quels chagrins pour nous de manquer l'avantage De signaler notre courage !"")",1.47,Substitution
222,,"('#arbas', 'Tous ces chagrins, et ces regrets Sont des soins qui ne coûtent guère, Quand on ne voit plus rien à faire On fait le brave à peu de frais.')",1.0,Deletion
223,"('#mercure', ""Apprends à quel sort glorieux T'élève le Maître des Dieux ; Il met en tes mains la querelle De Junon, Pallas et Venus ; Donne ce prix à la plus belle. Voilà ses ordres absolus. Air 14 : Voulez-vous savoir qui des deux. Il lui présente la pomme."")","('#premier-prince-tyrien', 'On prend peu garde à toi ; Cadmus nous rend justice, Mais il vient, rangeons-nous pour voir le sacrifice.')",0.85,Substitution
224,,"('#le-grand-sacrificateur', 'Mars ! Ô toi qui peux Déchaîner quand tu veux Les fureurs de la guerre,')",1.0,Deletion
225,,"('#le-choeur-des-sacrificateurs', 'Ô mars ! Reçois nos voeux.')",1.0,Deletion
226,"('#paris', ""Jupiter me gonfle d'honneur. Vous pouvez, mon ami Mercure, Aller dire à ce bon Seigneur Qu'il doit compter sur ma droiture. Quel bruit fait retentir ces lieux ? Air 11. On n'aime point dans nos forêts. On entend un bruit de trompettes et de timbales."")","('#le-grand-sacrificateur', ""Ton funeste courroux n'est pas moins dangereux Que l'éclat fatal du tonnerre : Ô Mars ! Reçois nos voeux."")",1.0,Substitution
227,"('#mercure', ""C'est Pallas qui s'offre à tes yeux. Mercure disparaît."")","('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux.')",1.24,Substitution
228,"('#pallas', ""Suis, Pâris mes étendards, Si tu veux, briller dans l'histoire ; Viens dans les nobles hasards Chercher une immortelle gloire, La fière Pallas, Suivra tes pas Dans les combats ; Tu deviendras Un fier-à-bras. Air 162. Pata, pata, pata, pon. On entend un bruit de tonnerre."")","('#le-grand-sacrificateur', 'Les combats sanglants sont tes jeux ; Tu sais, quand il te plaît, remplir toute la Terre De ravages affreux. Ô Mars ! Reçois nos voeux.')",0.59,Substitution
229,,"('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux. Les sacrificateurs chantants demeurent prosternés, les sacrificateurs dansants font cependant une entrée au son des timbales et au bruit des Armes, après quoi les sacrificateurs chantants se relèvent et chantent.')",1.0,Deletion
230,,"('#le-grand-sacrificateur', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",1.0,Deletion
231,,"('#le-choeur-des-sacrificateurs', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",1.0,Deletion
232,"('#paris', 'Hoïmé !  Je suis mort.')","('#le-grand-sacrificateur', 'Ô Mars impitoyable : Est-il révocable Que ta haine implacable Accable Une âme inébralable Au milieu des hasards.')",1.37,Substitution
233,,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",1.0,Deletion
234,,"('#le-grand-sacrificateur', 'Que les tumultes des alarmes, Que le bruit, que le choc, que le fracas des armes, Retentisse de toutes parts.')",1.0,Deletion
235,,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",1.0,Deletion
236,"('#pallas', ""Ne crains rien.  C'est Junon qui s'approche."")","('#le-grand-sacrificateur', ""Qu'on fasse approcher la victime : Puisse-t-elle calmer le courroux qui t'anime, Et n'attirer sur nous que tes doux regards."")",0.59,Substitution
237,"('#paris', ""Morbleu, Madame Junon, vous m'avez fait grand-peur !  Ne sauriez vous m'aider d'une manière moins bruyante ?"")","('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",1.42,Substitution
238,"('#junon', ""Berger, ce qui cause ta peur  N'était que pour te faire honneur : Le Dieu des Cieux et de la Terre A bien voulu te régaler De ce petit coup de tonnerre, Que tu viens d'entendre rouler. Air 14 : Voulez-vous savoir qui des deux."")","('#mars', ""C'est vainement que l'on espère Que d'inutiles voeux apaisent ma colère ; Je ne révoque point mes lois. Si Cadmus veut me satisfaire Qu'il achève, s'il peut, de mériter mon choix ! Un vain respect ne peut me plaire, On ne satisfait Mars que par de grands exploits. Vous, que l'enfer a nourries Venez, cruelles Furies, Venez, brisez l'autel en cent morceaux épars !"")",0.32,Substitution
239,"('#paris', ""Beau régal, ma foi. En cet endroit, on entend une symphonie douce qui annonce l'arrivée de Vénus. Cette Déesse sort de la rivière de Seine."")","('#le-choeur', ""Ô Mars ! ô Mars ! ô Mars ! Quatre Furies descendent qui brisent l'Autel, et s'envolent ensuite, tenant chacune un tison du sacrifice à la main. Le char de Mars tourne dans un même temps, et l'emporte au fonds du théâtre, où l'on le perd de vue, et tous les sacrificateurs et les assistants se retirent, criant, ô Mars !"")",1.08,Substitution
240,,"('#cadmus', ""Voici le Champ de Mars, il faut que sans remise J'achève ici mon entreprise ; J'ai les dents du dragon, et je vais les semer."")",1.0,Deletion
241,,"('#arbas', ""Ce sont des ennemis que vous verrez former : Tant de soldats armés vont naître, Que vous serez d'abord accablé de leurs coups ; Et vous ne songez pas, peut-être, Que vous n'avez ici que moi seul avec vous."")",1.0,Deletion
242,"('#venus', 'De toi dépend toute ma gloire, Aurai-je le don précieux ? Oui, Berger, je lis dans tes yeux Ma prochaine victoire. Air 5 : Quand le péril est agréable.')","('#cadmus', ""Je ne veux exposer personne Au péril où je m'abandonne ; Je dois combattre seul, et ne retiens que toi : Tu connais mon amour, je suis sûr de ta foi, Je veux bien que tu sois le dernier qui me quitte."")",0.4,Substitution
243,,"('#arbas', ""Seigneur, vous m'honnorez plus que je ne mérite :"")",1.0,Deletion
244,"('#paris', ""Tudieu ! Quel essaim d'appas ! Peut-on voir un plus beau bras ? Plus blanc, plus mignon  Plus ferme et plus rond ? Ah ! Quelle main jolie ! Ces petits doigts d'un moribond Rappelleraient la vie, Loula, Rappelleraient la vie. Air 46 : Ma raison s'en va beau train."")","('#cadmus', ""Si je ne fais qu'un vain effort, Accompli ce que je t'ordonne : Sitôt que tu sauras ma mort, Hâtes-toi de voir Hermione : Va, porte-lui mes derniers voeux. Qu'elle vive, il suffit de plaindre un malheureux : Qu'elle ait soin de garder le souvenir fidèle D'une flamme si belle ; C'est l'unique prix que je veux De ce que j'aurai fait pour elle. Je ne prétends plus t'arrêter. Laisse-moi."")",0.82,Substitution
245,,"('#arbas', 'Faut-il vous quitter ?')",1.0,Deletion
246,"('#pallas', 'Mon ami, juge en ma faveur. Air 69 : La Ceinture.')","('#cadmus', 'Je le veux : obéis.')",0.97,Substitution
247,"('#junon', 'Je compte sur la préférence.')","('#arbas', 'Ah ! Quelle violence, Seigneur exigez-vous de mon obéissance.')",1.53,Substitution
248,"('#venus', 'Je connais bien son tendre coeur ; Je ferai pencher la balance.')","('#l-amour', ""Cadmus reçoit le don que je viens t'apporter ! C'est l'ouvrage du Dieu qui forge le tonnerre ; Ne manque pas de le jeter ; Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. Achève le dessein où mon ardeur t'engage."")",0.85,Substitution
249,,"('#cadmus', 'Je te vais obéir dans tarder davantage.')",1.0,Deletion
250,,"('#l-amour #cadmus', ""Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. L'Amour s'envole, et Cadmus sème les dents du Dragon, dont la terre produit des soldats armés qui se préparent d'abord à tourner leurs armes contre Cadmus, mais il jette au milieu d'eux une manière de grenade, que l'Amour lui a apporté, qui se brise en plusieurs éclats, et qui inspire aux combattants une fureur qui les oblige à combattre les uns contre les autres, et à s'entregorger eux-mêmes. Huit soldats armés nés de la Terre. Les cinq derniers qui demeurent vivants, viennent apporter leurs armes aux pieds de Cadmus. "")",1.0,Deletion
251,,"('#echion', 'Arrêtons un transport funeste ; Pourquoi nous immoler en naissant dans ces lieux ? Réservons le sang qui nous reste, Pour servir un héros favorisé des Dieux.')",1.0,Deletion
