,carmontelle-condamnez-sans-entendre,carmontelle-statue,Cost,Operation Type
105,"('#le-chevalier', "" Non, madame; mais j'ai à me plaindre du retard que vous apportez à mon mariage.  Je suis très aise de vous servir, mais il est cruel que ce soit un ingrat qui empêche l'amant tendre et constant d'être heureux."")","('#le-chevalier', ""Non, madame ; mais j'ai à me plaindre du retard que vous apportez à mon mariage.  Je suis très aise de vous servir ; mais il est cruel que ce soit un ingrat qui empêche l'amant tendre et constant d'être heureux."")",0,Match
106,"('#la-comtesse', ""Ne voyez-vous pas autant que vous le voulez ce que vous aimez ?  Ce n'est pas une situation fâcheuse, et vous pourriez être plus malheureux."")","('#la-comtesse', ""Ne voyez-vous pas autant que vous le voulez ce que vous aimez ?  Ce n'est pas une situation si fâcheuse ; et vous pourriez être plus malheureux."")",0,Match
107,"('#le-chevalier', ' Il est vrai, mais que me sert de me faire jouer un personnage comme celui que je fais auprès de vous, quand le marquis ne montre pas la moindre jalousie? ')","('#le-chevalier', 'Il est vrai ; mais que vous sert de me faire jouer un personnage comme celui que je fais auprès de vous, quand le Marquis ne montre pas la moindre jalousie ?')",0,Match
108,"('#la-comtesse', ""Elle est peut-être sur le point d'éclore."")","('#la-comtesse', ""Elle est peut-être sur le point d'éclore."")",0,Match
109,"('#le-chevalier', ' Ah !  Madame, je ne vous comprends point : je vois régner sur votre visage une espèce de satisfaction...')","('#le-chevalier', 'Ah !  Madame, je ne vous comprends point ; je vois régner sur votre visage une espèce de satisfaction....')",0,Match
110,"('#la-comtesse', ""C'est sans doute l'espoir qui renaît ; que sait-on ?  Adieu, chevalier, je vous reverrai ici."")","('#la-comtesse', ""C'est sans doute l'espoir qui renaît ; que sait-on ?  Adieu, Chevalier, je vous reverrai ici."")",0,Match
111,"('#le-chevalier', ""Je ne comprends rien à tout ceci, Mademoiselle.  La comtesse n'est point comme, à l'ordinaire ; vous-même ne semblez plus partager mon impatience; qu'est-ce que cela veut dire ?  Que dois-je craindre ou espérer ?"")","('#le-chevalier', ""Je ne comprends rien à tout ceci, mademoiselle.  La Comtesse n'est point comme à l'ordinaire ; vous-même ne semblez plus partager mon impatience ; qu'est-ce que cela veut dire ?  Que dois-je craindre ou espérer ?"")",0,Match
112,"('#mademoiselle-de-richeviere', 'Le retard ne doit vous faire rien craindre.')","('#mademoiselle-de-richeviere', 'Le retard ne doit vous faire rien craindre.')",0,Match
113,"('#le-chevalier', ' Ah !  Quand on aime bien vivement, tout doit alarmer.')","('#le-chevalier', 'Ah !  Quand on aime bien vivement, tout doit alarmer.')",0,Match
114,"('#mademoiselle-de-richeviere', ""Non, tout au contraire : on doit jouir de son bonheur, surtout lorsque l'on est sûr d'être aimé."")","('#mademoiselle-de-richeviere', ""Non : tout au contraire, on doit jouir de son bonheur, surtout lorsque l'on est sûr d'être aimé."")",0,Match
115,"('#le-chevalier', "" Mais ne peut-il pas échapper ce bonheur, lorsqu'on le craint le moins ?  Votre tranquilité n'est-elle pas désespérante ?  Vous n'êtes pas aujourd'hui comme je vous ai vue jusqu'à présent : loin de partager ma peine..."")","('#le-chevalier', ""Mais ne peut-il pas échapper ce bonheur, lorsqu'on le craint le moins ?  Votre tranquillité n'est-elle pas désespérante ?  Vous n'êtes pas aujourd'hui comme je vous ai vue jusqu'à présent.  Loin de partager ma peine..."")",0,Match
116,"('#mademoiselle-de-richeviere', ""Quelle peine voulez-vous que j'aime ?  Vous m'aimez, que me faut-il de plus ?"")","('#mademoiselle-de-richeviere', ""Quelle peine voulez-vous que j'aie ?  Vous m'aimez ; que me faut-il de plus?"")",0,Match
117,"('#le-chevalier', 'Aimer autant que je vous aime.')","('#le-chevalier', 'Aimer autant que je vous aime.')",0,Match
118,"('#mademoiselle-de-richeviere', ""Et qui vous dit que je sois vangée ?  Je connais votre coeur : qui pourrait m'alarmer ?"")","('#mademoiselle-de-richeviere', ""Et qui vous dit que je sois changée ?  Je connais votre coeur ; qui pourrait m'alarmer ?"")",0,Match
119,"('#le-chevalier', ""Je m'y perds.  Ah !  Si je suis juste, pardonnez à l'amour le plus tendre qui fut jamais !"")","('#le-chevalier', ""Je m'y perds...  Ah, si je suis injuste, pardonnez à l'amour le plus tendre qui fut jamais !"")",0,Match
120,"('#mademoiselle-de-richeviere', 'Ah !')","('#mademoiselle-de-richeviere', 'Ah !')",0,Match
121,"('#le-chevalier', 'Vous soupirez ?')","('#le-chevalier', 'Vous soupirez ?')",0,Match
122,"('#mademoiselle-de-richeviere', 'Si je pouvais lui dire...')","('#mademoiselle-de-richeviere', 'Si je pouvais lui dire...')",0,Match
123,"('#le-chevalier', ' Vous parlez bas.')","('#le-chevalier', 'Vous parlez bas.')",0,Match
124,"('#mademoiselle-de-richeviere', 'Venez...  Ce soir je vous dirai...')","('#mademoiselle-de-richeviere', 'Tenez...  Ce soir je vous dirai...')",0,Match
125,"('#le-chevalier', 'Quoi ?')","('#le-chevalier', 'Quoi ?')",0,Match
126,"('#mademoiselle-de-richeviere', 'Oui, vous le saurez.')","('#mademoiselle-de-richeviere', 'Oui, vous le saurez.')",0,Match
127,"('#le-chevalier', 'Vous augmentez mon inquiétude.')","('#le-chevalier', 'Vous augmentez mon inquiétude.')",0,Match
128,"('#mademoiselle-de-richeviere', ""Calmez-vous : je vous réponds qu'il ne peut nous arriver rien que d'heureux."")","('#mademoiselle-de-richeviere', ""Calmez-vous ; je vous réponds qu'il ne peut nous arriver rien que d'heureux."")",0,Match
129,"('#le-chevalier', 'Vous me trompez peut-être...')","('#le-chevalier', 'Vous me trompez peut-être...')",0,Match
130,"('#mademoiselle-de-richeviere', ""Non, je vous le jure : je ne sais point feindre, et ce soupçon m'offense."")","('#mademoiselle-de-richeviere', ""Non, je vous le jure; je ne sais point feindre, et ce soupçon m'offense."")",0,Match
131,"('#le-chevalier', ""Je suis injuste, je le sens ; je me tairai.  Vous avez des secrets pour moi, quand jusqu'au moindre mouvement de mon coeur vous est connu.  Où règne l'amour, la confiance doit aussi régner ; mais..."")","('#le-chevalier', ""Je suis injuste, je le sens ; je me tairai.  Vous avez des secrets pour moi, quand jusqu'au moindre mouvement de mon coeur vous est connu.  Où règne l'amour, la confiance doit aussi régner ; mais..."")",0,Match
132,"('#mademoiselle-de-richeviere', ' Je ne vous aime pas ?  Achever le pensez-vous?')","('#mademoiselle-de-richeviere', 'Je ne vous aime pas ?  Achevez ; le pensez-vous ?')",0,Match
133,"('#le-chevalier', 'Comment voulez-vous que je croie...')","('#le-chevalier', 'Comment voulez-vous que je croie...')",0,Match
134,"('#mademoiselle-de-richeviere', 'Je ne veux rien, monsieur.')","('#mademoiselle-de-richeviere', 'Je ne veux rien, monsieur.')",0,Match
135,"('#le-chevalier', ""Ô ciel !  Que je meure à vos pieds si j'ai pu vous accuser..."")","('#le-chevalier', ""Ô ciel !  Que je meure à vos pieds, si j'ai pu vous accuser..."")",0,Match
136,"('#mademoiselle-de-richeviere', 'Douter de mon coeur et dans quel instant !')","('#mademoiselle-de-richeviere', 'Douter de mon coeur !  Et dans quel instant !')",0,Match
137,"('#le-chevalier', "" Voyez mon repentir : je consens à vous perdre pour toujours, si j'ai jamais d'autres volontés que les vôtres."")","('#le-chevalier', ""Voyez mon repentir : je consens à vous perdre pour toujours, si j'ai jamais d'autres volontés que les vôtres."")",0,Match
138,"('#mademoiselle-de-richeviere', 'Si votre bonheur et le mien ne dépendaient pas du secret que je vous fais, pourrais-je me taire ?')","('#mademoiselle-de-richeviere', 'Si votre bonheur et le mien ne dépendaient pas du secret que je vous fais, pourrais-je me taire ?')",0,Match
139,"('#le-chevalier', 'Ah !  Vous me ravissez !  Il se relève et lui baise la main.')","('#le-chevalier', 'Ah, vous me ravissez ! Il se relève et lui baise la main.')",0,Match
140,"('#mademoiselle-de-richeviere', ""J'entends quelqu'un."")","('#mademoiselle-de-richeviere', ""J'entends quelqu'un."")",0,Match
141,"('#le-chevalier', ""C'est le Baron et le Marquis."")","('#le-chevalier', ""C'est le Baron et le Marquis."")",0,Match
142,"('#le-marquis', ""Relirons-nous, la Comtesse est peut-être près d'ici."")","('#le-marquis', ""Retirons-nous ; la Comtesse est peut-être près d'ici..."")",0,Match
143,"('#le-baron', 'Je vais le savoir. Monsieur le Chevalier, je vous croyais ici avec Madame_la_Comtesse. Ils avancent.')","('#le-baron', 'Je vais le savoir. Monsieur le Chevalier, je vous croyais ici avec Madame_la_Comtesse. Ils avancent.')",0,Match
144,"('#le-chevalier', ""Vous voyez que non : une affaire l'a fait rentrer chez elle."")","('#le-chevalier', ""Vous voyez que non ; une affaire l'a fait rentrer chez elle."")",0,Match
145,"('#mademoiselle-de-richeviere', 'Oui, sans quoi nous y serions mais elle nous a promis de nous faire avertir quand elle serait libre.')","('#mademoiselle-de-richeviere', 'Oui, sans quoi nous y serions ; mais elle nous a promis de nous faire avertir quand elle serait libre.')",0,Match
146,"('#le-baron', 'Voici un de ses gens.')","('#le-baron', 'Voici un de ses gens.')",0,Match
147,"('#mademoiselle-de-richeviere', 'Ma tante me demande ?')","('#mademoiselle-de-richeviere', 'Ma tante me demande ?')",0,Match
148,"('#le-laquais', 'Oui, Mademoiselle.')","('#le-laquais', 'Oui, Mademoiselle.')",0,Match
149,"('#mademoiselle-de-richeviere', ""J'y vais.  Venez-vous, monsieur chevalier ?"")","('#mademoiselle-de-richeviere', ""J'y vais.  Venez-vous, Monsieur le Chevalier ?"")",0,Match
150,"('#le-chevalier', ' Sûrement : je ne vous quitte pas.')","('#le-chevalier', 'Sûrement; je ne vous quitte pas.')",0,Match
151,"('#le-marquis', ""Il ne la quitte pas !  Non, pour la suivre chez la comtesse.  Ai-je tort d'être jaloux ?"")","('#le-marquis', ""Il ne la quitte pas !  Non, pour la suivre chez la Comtesse.  Ai-je tort d'être jaloux ?"")",0,Match
152,"('#le-baron', ""Oui, car si la Comtesse aimait le Chevalier, l'aurait-elie laissé ici tête à tête avec sa nièce ?"")","('#le-baron', ""Oui ; car si la Comtesse aimait le Chevalier, l'aurait-elle laissé ici tête à tête avec sa nièce ?"")",0,Match
153,"('#le-marquis', ""Mais s'il était possible qu'elle m'aimât encore verrait-elle ma froideur sans inquiétude ?  Pourquoi écouter le Chevalier avec tant de complaisance ?  Tout ce qu'il fait la charme : elle ne cesse de le louer, en ma présence."")","('#le-marquis', ""Mais s'il était possible qu'elle m'aimât encore, verrait-elle ma froideur sans inquiétude ?  Pourquoi écouter le Chevalier avec tant de complaisance ?  Tout ce qu'il fait la charme ; elle ne cesse de le louer, et en ma présence."")",0,Match
154,"('#le-baron', ""C'est ce qui me ferait croire..."")","('#le-baron', 'Ce serait là ce qui me ferait croire...')",0,Match
155,"('#le-marquis', ""Qu'elle ne l'aime pas ?"")","('#le-marquis', ""Qu'elle ne l'aime pas ?"")",0,Match
156,"('#le-baron', 'Sans doute, sans cela elle y mettrait plus de mystère.')","('#le-baron', 'Sans doute; sans cela elle y mettrait plus de mystère.')",0,Match
157,"('#le-marquis', ""Elle croit peut-être que j'ai cessé de l'aimer et elle se venge : ma situation est affreuse, j'en mourrai ; mais c'est ici que je veux expirer."")","('#le-marquis', ""Elle croit peut-être que j'ai cessé de l'aimer, et elle se venge.  Ma situation est affreuse : j'en mourrai ; mais c'est ici que je veux expirer."")",0,Match
158,"('#le-baron', 'Quel délire !')","('#le-baron', 'Quel délire !')",0,Match
159,"('#le-marquis', ""Oui, viens, regarde cette image que j'adore. Il ouvre le treillage, et l'on voit la Comtesse à la place de la statue."")","('#le-marquis', ""Oui, viens, regarde cette image que j'adore. II ouvre le treillage, et l'on voit la Comtesse à la place de la statue."")",0,Match
160,"('#le-baron', ""Ah !  C'est elle-même !  Eh bien !  Tombe à ses pieds."")","('#le-baron', ""Ah, c'est elle-même !  Eh bien, tombe à ses pieds."")",0,Match
161,"('#le-marquis', 'Que vois-je ?')","('#le-marquis', 'Que vois-je !')",0,Match
162,"('#la-comtesse', ""Celle qui n'a jamais cessé de vous aimer et qui vous aimera toujours."")","('#la-comtesse', ""Celle qui n'a jamais cessé de vous aimer, et qui vous aimera toujours."")",0,Match
163,"('#le-marquis', ""N'est-ce point un songe ?"")","('#le-marquis', ""N'est-ce point un songe ?"")",0,Match
164,"('#la-comtesse', ""Non, Marquis.  Quand c'est parce que l'amour est extrême qu'il peut offenser, il mérite d'être excusé."")","('#la-comtesse', ""Non, Marquis.  Quand c'est parce que l'amour est extrême qu'il peut offenser, il mérite d'être excusé."")",0,Match
165,"('#le-marquis', 'Je meurs de joie et de regret !')","('#le-marquis', 'Je meurs de joie et de regret!')",0,Match
166,"('#la-comtesse', ""Au sein de la constance, comment pouvions-nous nous soupçonner d'infidélité ?"")","('#la-comtesse', ""Au sein de la constance, comment nous pouvions-nous soupçonner d'infidélité !"")",0,Match
167,"('#le-marquis', 'Je ne le comprendrai jamais.')","('#le-marquis', 'Je ne le comprendrai jamais.')",0,Match
168,"('#la-comtesse', ""Tenez, Marquis, voilà l'objet de votre jalousie : voilà le chevalier, dont vous avez retardé sans le savoir, le mariage avec ma nièce."")","('#la-comtesse', ""Tenez, Marquis, voilà l'objet de votre jalousie ; voilà le Chevalier, dont vous avez retardé, sans le savoir, le mariage avec ma nièce."")",0,Match
169,"('#le-marquis', ""Quoi !  Il l'épouse ?"")","('#le-marquis', ""Quoi, il l'épouse ?"")",0,Match
170,"('#la-comtesse', 'Oui, dès demain.')","('#la-comtesse', 'Oui, dès demain.')",0,Match
171,"('#le-marquis', ""Que de torts j'ai à réparer !  Et qu'il doivent tous deux m'en vouloir ?"")","('#le-marquis', ""Que de torts j'ai à réparer !  Et qu'ils doivent tous deux m'en vouloir !"")",0,Match
172,"('#mademoiselle-de-richeviere', ""Vous allez faire le bonheur de ma tante, le nôtre le suivra : nous n'avons rien à vous reprocher."")","('#mademoiselle-de-richeviere', ""Vous allez faire le bonheur de ma tante ; le nôtre le suivra ; nous n'avons rien à vous reprocher."")",0,Match
