,biancollelli-arlequin-gentilhomme,biancollelli-foire-galante,Cost,Operation Type
92,"('#isabelle', ""Mon tendre coeur soumis à l'empire amoureux  Également blessé brûle des plus beaux feux  Qu'il m'est doux de porter une si belle chaîne,  Et de m'abandonner au penchant qui m'entraîne  Mon père me destine en vain un autre époux,  Je ne veux pour mari qu'un amant tel que vous. "")","('#venus', ""Faites-lui ressentir l'effet de ma puissance, Cupidon, punissez le faquin qui m'offense. Ah ! Cupidon, faites-moi grâce, Quoi ! vous visez droit à mon coeur ! Ma foi, j'en tiens, quoique l'on fasse, L'amour est toujours le vainqueur. Cupidon poursuit Arlequin, et après un jeu de théâtre, il lui décoche une flèche, après quoi Arlequin chante sur l'air Réveillez-vous. Les violons reprennent l'ouverture."")",0.39,Substitution
93,"('#leandre', ""Mon bonheur est parfait et cet aveu m'enchante  Que dans ces sentiments votre âme soit constante,  N'admettons d'autres lois que celles de l'amour,  Et livrons-lui nos coeurs pour honorer sa cour.  Ah ! Si pour posséder un bien si plein de charmes  Un rival téméraire en vous rendant les armes,  Prétendait me ravir ce que j'aime le mieux  Il serait accablé sous mes coups furieux. "")","('#arlequin', ""Du dieu d'Amour, je ressens la puissance, Ce mirmidon m'a percé le gosier. Il m'a vaincu, malgré ma résistance. Mes intestins ne sont plus qu'un brasier. Savant docteur, soleil de médecine, Vous pouvez seul soulager mes tourments. Accordez-moi l'aimable Colombine, Que j'aime mieux que tous vos lavements. Je suis le modèle D'un parfait amant. Souffrez qu'à la belle, Je fasse un... tant la leri, un compliment. Air : Folies d'Espagne"")",0.22,Substitution
94,"('#arlequin', ""Ciel ! Il parle de moi, que faut-il que je fasse ?  Morbleu qu'il vient de faire une laide grimace,  Sans doute on préparait pour lui ces macarons,  Je dois craindre pour moi de toutes les façons ;  Mais il a beau crier, car enfin pour les rendre  Il faut les digérer, il peut encore attendre. "")",,1.0,Insertion
95,"('#le-docteur', 'Isabelle. ')","('#le-docteur', 'Marinette autrefois faisait votre bonheur.')",0.98,Substitution
96,"('#isabelle', ""J'entends mon père, cachez-vous. "")",,1.0,Insertion
97,"('#leandre', 'Où ? ')",,1.0,Insertion
98,"('#isabelle', 'Derrière le lit. ')",,1.0,Insertion
99,"('#arlequin', ""Ne venez pas dessous,  Car nous n'y serions pas tous deux fort à notre aise.  Léandre se cache derrière le lit, Isabelle reste fort alarmée."")",,1.0,Insertion
100,"('#le-docteur', 'Je veux chercher partout. ')",,1.0,Insertion
101,"('#arlequin', 'Ah ! Ne vous en déplaise  Ne cherchez pas ici. ')",,1.0,Insertion
102,"('#le-docteur', 'Peut-être sous le lit  Pourrais-je la trouver. ')",,1.0,Insertion
103,"('#arlequin', ""Que Diable est-ce qu'il dit ? "")","('#arlequin', ""Ciel ! Qu'entends-je ?"")",0.87,Substitution
104,"('#le-docteur', ""À la chercher partout il faut que je m'applique,  Je ne trouve point une épée à l'antique.  Je veux voir sous le lit. "")",,1.0,Insertion
105,"('#arlequin', 'Hélas ! Je suis perdu,  Il va me découvrir.  Le Docteur cherche sous le lit et voit Arlequin.')",,1.0,Insertion
106,"('#le-docteur', ""Juste ciel ! Qu'ai-je vu ?  Il fuit et ferme la porte de la chambre, Léandre quitte sa place et revient. "")",,1.0,Insertion
107,"('#le-docteur', 'Un homme sous le lit ! ')",,1.0,Insertion
108,"('#arlequin', 'Excusez-moi de grâce  Je consens à payer mon écot et ma place. ')",,1.0,Insertion
109,"('#leandre', ""Apprends-moi le sujet qui t'amène en ces lieux,  Voleur ? "")","('#le-docteur', 'Après avoir donné son coeur, Doit-on devenir infidèle ?')",1.59,Substitution
110,"('#arlequin', ""Oh ! Ventrebleu vous pourriez parler mieux,  Ce larcin est ma foi le premier de ma vie,  Mais de ces macarons j'avais si fort envie  Que j'ai dans la cuisine avec dextérité  Escroqué ce butin si longtemps souhaité  Je vais me retirer car j'ai la panse pleine  Je vous rendrai e plat n'en soyez pas en peine  Je ne le vendrai point car il n'est point d'argent. "")",,1.0,Insertion
111,"('#leandre', 'Mais quel est ton emploi ? ')",,1.0,Insertion
112,"('#arlequin', ""D'être fort indigent,  J'ai longtemps parcouru les états de la vie,  Et depuis ce matin j'ai pris la fantaisie  De choisir parmi tous celui de crocheteur,  Je me suis introduit chez Monsieur le Docteur,  Après avoir volé ce plat dans sa cuisine,  Pour assouvir la faim qui rongeait ma poitrine  Je me suis confiné dans cet appartement,  J'y mangeais en repos et fort gloutonnement,  Quand cette Demoiselle en ce lieu s'est rendue  Moi pour me dérober aussitôt à sa vue,  Et me mettre à couvert du tumulte et du bruit,  Je me suis tout tremblant retiré sous le lit  Vous avez entendu mon histoire tragique  Bien loin de me blâmer plaignez un famélique. "")","('#arlequin', 'Par rapport à ses yeux charmants, Et son air peu sévère,bis À mes premiers engagements, Je deviendrai contraire. Aussi prompt à trahir mes serments, Que je fus à les faire.bis Air : Fanatiques')",0.59,Substitution
113,"('#isabelle', ""Comment ferons-nous donc mon père ca venir ?  Léandre il n'est pas temps de nous entretenir,  Mais plutôt... "")",,1.0,Insertion
114,"('#leandre', ""Dissipez cette frayeur extrême  Je viens d'imaginer un plaisant stratagème,  Donne-moi ton habit et tu prendras le mien.  À Arlequin."")","('#colombine', 'Arlequin, tu peux te flatter De plaire à Colombine.')",0.71,Substitution
115,"('#arlequin', ""Fi donc dans mon casaquin ne vous ira pas bien  Il faut pour le porter toute une autre encolure  Vous n'avez d'Arlequin ni gestes ni postures. "")",,1.0,Insertion
116,"('#leandre', 'Dépêchons. ')",,1.0,Insertion
117,"('#arlequin', ""J'y consens pour vous faire plaisir,  Quoique je perde au change, il faut vous obéir.  Ils se déshabillent tous deux, Arlequin met l'habit de Léandre, et Léandre celui d'Arlequin."")",,1.0,Insertion
118,"('#isabelle', 'Pourquoi vous déguiser, apprenez-moi Léandre. ')",,1.0,Insertion
119,"('#leandre', 'Cette ruse, Madame, est facile à comprendre.  Va derrière le lit, je veux rester ici.  À Arlequin.')","('#le-docteur', ""Quoi ! Vous osez vous en vanter, Madame la coquine. Hors d'ici, je saurai tricoter Comme il faut votre échine. Bis. Le Docteur poursuit Colombine, ce qui donne lieu à un jeu de théâtre avec Arlequin qui veut empêcher le Docteur de la maltraiter. Arlequin se retire."")",0.42,Substitution
120,"('#arlequin', 'Ce gentilhomme est fou, moi je le suis aussi. ')",,1.0,Insertion
121,"('#leandre', ""Ici dans un instant le docteur va se rendre  Me voyant cet habit il pourra se méprendre  Ainsi j'éviterai quelque éclaircissement,  Mais il vient, je saurai le tromper aisément. "")","('#le-docteur', ""Le soin que je prends de son sort Me fera troubler la cervelle. Arlequin croit triompher d'elle, Mais le coquin se trompe fort. Le Docteur s'en va."")",0.28,Substitution
122,"('#le-docteur', ""Secondez, mes amis la fureur qui m'inspire,  Arrêtez ce voleur... Hé bien que vas-tu dire ?  Parle, dans ma maison quel dessein t'a conduit ?  Réponds, pendard, pourquoi te cacher sous le lit ?  Les valets saisissent Léandre."")",,1.0,Insertion
123,"('#leandre', ""Je ne suis pas, Monsieur, ce que vous pouvez croire,  Je vais vous raconter en deux mots mon histoire.  Je suis un crocheteur, victime de la faim,  Qu'ici son appétit n'a pas conduit en vain,  Un plat de macarons volés par prévoyance,  A soulagé les maux causés par l'abstinence,  Ici pour les manger je me suis introduit,  Et je me suis caché tout tremblant sous le lit. "")","('#marinette', ""Mon cher vainqueur, aimable Scaramouche, Je n'aimerai jamais que vous. C'est en vain qu'Arlequin gémit à mes genoux. Son amour n'a rien qui me touche. Je ris de ses transports jaloux. Je sens, à sa présence allumer mon courroux, Je suis pour lui sombre et farouche. Mon cher vainqueur, aimable Scaramouche, Je n'aimerai jamais que vous."")",0.47,Substitution
124,"('#isabelle', ""Mon père renvoyez ce pauvre misérable,  Ne le punissez point puisqu'il n'est pas coupable. "")",,1.0,Insertion
125,"('#le-docteur', ""Je plains ce malheureux, son sort me fait pitié  Il s'est auprès de nous assez justifié.  Va-t'en je te pardonne, et tu n'as rien à craindre,  Tu dis la vérité.  À Léandre."")",,1.0,Insertion
126,"('#leandre', ""J'ignore l'art de feindre. "")",,1.0,Insertion
127,"('#le-docteur', 'Outre les macarons que tu viens de voler  Je veux bien de dix sols encore te régaler. ')","('#marinette', 'Que vois-je ? quels présents portent-ils dans leurs mains ! Que veulent ces marchands forains ?')",0.97,Substitution
128,"('#leandre', ""L'honneur de vous servir est le bien où j'aspire. "")",,1.0,Insertion
129,"('#le-docteur', 'Adieu mon pauvre enfant. ')",,1.0,Insertion
130,"('#leandre', ""Monsieur je me retire. Léandre s'en va et les valets rentrent."")",,1.0,Insertion
131,"('#isabelle', 'Au gré de mes souhaits la fourbe a réussi. ')",,1.0,Insertion
132,"('#arlequin', 'Oui mais pour mon malheur je suis encore ici. ')",,1.0,Insertion
133,"('#le-docteur', ""Qu'entends-je ? Que dit-on ? "")",,1.0,Insertion
134,"('#isabelle', ""Rien mon père... Ah le traître !  S'il dit encore un mot il fera tout connaître.  Arlequin éternue fort."")",,1.0,Insertion
135,"('#le-docteur', 'Je ne me trompe pas et quelque autre est ici. ')",,1.0,Insertion
136,"('#isabelle', 'Que je suis malheureuse ! ')",,1.0,Insertion
137,"('#le-docteur', 'Examinons ceci.  Il cherche, va derrière le lit, et trouve Arlequin habillé proprement.')",,1.0,Insertion
138,"('#isabelle', 'Tout va se découvrir la chose est certaine. ')",,1.0,Insertion
139,"('#le-docteur', ""Dans ma maison, Monsieur, quel sujet vous amène ?  Holà, valets à moi, saisissez ce voleur.  Les valets viennent, se saisissent d'Arlequin qui se met à genoux devant le Docteur."")","('#arlequin', ""Je viens tout exprès dans ces lieux Pour régaler Colombine. Apercevant Marinette. Cet objet m'est odieux, Et me sert de médecine. Je veux, pour rire à ses dépends, L'assurer de ma tendresse. Et par de petits présents, Profiter de sa faiblesse. Air : Monsieur de la Palisse est mort"")",0.97,Substitution
140,"('#arlequin', ""Ah, Monsieur, je ne suis qu'un pauvre crocheteur. "")",,1.0,Insertion
141,"('#le-docteur', 'Chansons, cet habit-là me fait croire autre chose.  Que veut dire ceci ?  À Isabelle.')",,1.0,Insertion
142,"('#isabelle', ""Je n'en suis point la cause  Mon père, et je ne sais... "")",,1.0,Insertion
143,"('#le-docteur', 'Je veux être éclairci. ')",,1.0,Insertion
144,"('#arlequin', ""Par charité souffrez que je sorte d'ici,  Un fâcheux cours de ventre, en certain lieu m'appelle,  Et m'ordonne, Monsieur, de pousser une selle. "")",,1.0,Insertion
145,"('#le-docteur', 'Vous ne sortirez pas. ')",,1.0,Insertion
146,"('#arlequin', ""Pourquoi m'en empêcher ? "")",,1.0,Insertion
147,"('#le-docteur', ""J'en sais bien la raison. "")",,1.0,Insertion
148,"('#arlequin', 'Je vais donc tout lâcher. ')",,1.0,Insertion
149,"('#isabelle', ""Que dis-tu, maraud, pour te tirer d'affaire ? "")",,1.0,Insertion
150,"('#arlequin', ""Cela m'est échappé, je n'y saurais que faire. "")",,1.0,Insertion
151,"('#le-docteur', 'Fouillez-le promptement. ')",,1.0,Insertion
152,"('#arlequin', 'Vous ne trouverez rien,  Je suis un crocheteur sans honneur et sans bien.  Les valets le fouillent, et trouve une lettre. ')",,1.0,Insertion
153,"('#le-docteur', 'Donnez-moi cette lettre. ')",,1.0,Insertion
154,"('#arlequin', 'Hélas quel soin vous presse ?  Vieillard trop curieux. ')","('#arlequin', ""Recevez, beauté charmante, Une preuve de mes feux. Voici de l'encre luisante Pour noircir vos blonds cheveux, Un peu de machicatoire Avec un décrottoir, Un petit sifflet mignon, Et ce joli saucisson. Air : Quand sur le golfe du tendre."")",0.81,Substitution
155,"('#le-docteur', ""Je prétends voir l'adresse.  À Géronte... voyons ce que peut contenir... Il lit l'adresse."")",,1.0,Insertion
156,"('#arlequin', 'Ma foi je ne puis plus, Monsieur, me retenir. ')",,1.0,Insertion
157,"('#le-docteur', ""Le porteur de la présente, est mon fils Léandre, qui se rend à Lyon pour avoir l'honneur de donner la main à la charmante Léonore ; j'espère que vous en serez satisfait, et que vous ne différerez point de conclure un mariage que je souhaite avec tant d'empressement.  Je suis, en attendant de vos nouvelles,  Votre très affectionné serviteur et ami, DAMON. "")",,1.0,Insertion
158,"('#arlequin', ""Ne me refusez pas le secours que j'implore. "")",,1.0,Insertion
159,"('#le-docteur', 'Vous venez pour donner la main à Léonore,  Et je vous trouve ici caché derrière un lit. ')",,1.0,Insertion
160,"('#arlequin', ""J'avais sur mon honneur un terrible appétit,  Ces macarons exquis m'ont bien bourré la panse. "")",,1.0,Insertion
161,"('#le-docteur', 'Cette affaire est pour moi de grande conséquence,  Vous deviez un peu mieux connaître le Docteur  Je suis homme de bien. ')",,1.0,Insertion
162,"('#arlequin', 'Moi je suis crocheteur. ')",,1.0,Insertion
163,"('#le-docteur', ""Il faut pour réparer l'honneur de ma famille,  Que sans plus différer vous épousiez ma fille,  Je veux que devant moi vous lui donniez la main.  Allons disposez-vous...  À Isabelle."")",,1.0,Insertion
164,"('#isabelle', 'Ah ! Quel ordre inhumain  Que me prescrivez-vous ? Malgré votre colère  Je ne puis sur ce point vous obéir mon père. ')",,1.0,Insertion
165,"('#le-docteur', 'Vous osez résister après un tel affront. ')",,1.0,Insertion
166,"('#arlequin', ""Pourquoi l'agacez-vous ? Vous savez qu'il est prompt,  Mettez là votre main, Madame la coquine. "")",,1.0,Insertion
167,"('#isabelle', 'Laisse-moi. ')",,1.0,Insertion
168,"('#le-docteur', ""Comment donc vous faites la mutine  Obéissez, vous dis-je, et sans plus m'irriter... "")",,1.0,Insertion
169,"('#isabelle', ""Enfin vous m'y forcer. "")",,1.0,Insertion
170,"('#arlequin', 'Vous vous ferez frotter,  Et je vous donnerai ma foi sur les oreilles,  Ma charmante avec moi vous serez à merveilles  Je vous ferai porter les crochets quelquefois.  Beau-père, pouviez-vous faire un plus joli choix ?  Au Docteur.')","('#pierrot', 'Pour moi qui ne suis point chiche, Je vous fais un plus beau don. De ce baril de moutarde Je prétends vous régaler. Pour rétrécir votre bouche Prenez ce pot de pommade, Cette râpe de fer blanc, Cette andouille de Tabac. Même air.')",0.78,Substitution
171,"('#le-docteur', ""Vous êtes à présent le mari d'Isabelle,  Adieu pour un moment je vous laisse avec elle. "")",,1.0,Insertion
172,"('#arlequin', ""C'est agir prudemment. "")",,1.0,Insertion
173,"('#isabelle', ""Ô mortelles douleurs !  Devais-tu m'exposer à de nouveaux malheurs  C'est toi qui dans ce jour cause mon infortune.  À Arlequin."")",,1.0,Insertion
174,"('#arlequin', ""Ma mie en vérité ce discours m'importune.  Si vous continuez vous vous ferez rosser. "")","('#le-choeur #le-docteur', ""Râpez, râpez, belle bergère, Si vous voulez charmer ! Et quand vous ne saurez que faire, Vous n'avez qu'à fumer."")",0.67,Substitution
175,"('#isabelle', 'Infâme... ')",,1.0,Insertion
176,"('#arlequin', ""Vous allez encore recommencer,  J'ai sur vous maintenant un pouvoir despotique  Vous pourriez à mes bras donner de la pratique,  Ainsi, ma chère femme, un peu plus de douceur  Là là, modérez-vous ma mignonne, mon coeur,  En voyant vos appas, l'eau me vient à la bouche,  Laissez-vous caresser, pourquoi cet air farouche ?  Ma belle crocheteuse allons-nous en coucher. "")","('#arlequin', ""C'est pour vous que je suis ici, Et je n'aspire qu'à vous plaire. Pour vous mon coeur est tout transi, C'est pour vous que je suis ici. À la foire et dans ce temps-ci, On finit bientôt une affaire. C'est pour, etc. Air : Le premier jour du mois de mai"")",0.51,Substitution
177,"('#isabelle', ""Quoi malheureux encore, ose-tu m'approcher ? "")",,1.0,Insertion
178,"('#arlequin', 'Un soufflet, finissons ce jeu de Comédie.  Adieu je me retire et je vous répudie. ')",,1.0,Insertion
179,"('#isabelle', ""Rien ne peut arrêter le torrent de mes pleurs  Venez, mon cher Léandre, apprendre mes malheurs,  Ce crocheteur a fait découvrir le mystère,  Il s'est sous votre habit, fait connaître à mon père,  Ayant trouvé sur lui la lettre de Damon,  Il a cru justement lui donner votre nom,  Le preant pour Léandre, Hélas ! Il m'a contrainte... "")","('#colombine', ""Malgré toute l'ardeur Qui règne dans mon âme, Osez-vous, imposteur ! En compter à Madame... Lizon, etc."")",0.6,Substitution
180,"('#leandre', "". . . . . . N'ayez aucune crainte,  C'est Léandre qui doit être votre époux,  Rien ne peut à mon coeur ravir un bien si doux  Et puisque entre mes bras votre père vous livre,  Il faut sans balancer vous résoudre à me suivre  La fuite est nécessaire en cette extrémité. "")","('#arlequin', ""Hélas ! je suis pressé Du mal qui me possède. Vos beaux yeux m'ont blessé, Donnez-moi le remède... Lizon, etc."")",0.56,Substitution
181,"('#isabelle', 'Je dois me conformer à votre volonté,  Répondre à vos désirs est ma plus chère envie,  Vous pouvez disposer de mon sort et de ma vie. ')",,1.0,Insertion
182,"('#scaramouche', 'Enfin vous prétendez Monsieur le spadassin,  Persévérer toujours dans ce noble dessein,  Où Diable voulez-vous mener cette femelle ?  Pour en être charmé la trouvez-vous si belle ?  Pour moi je la verrais du haut jusques au bas,  Que je ne serais point tenté de ses appas. ')","('#colombine', ""Qu'entends-je ? Quels discours ! Et que me dites-vous ? Je vous ai vu, perfide, à ses genoux. Air opéra."")",0.65,Substitution
183,"('#leandre', 'Monsieur le Précepteur finissez, je vous prie,  De pareils quolibets passent la raillerie. ')",,1.0,Insertion
184,"('#isabelle', ""Scaramouche n'est pas un garçon fort poli. "")",,1.0,Insertion
185,"('#scaramouche', ""C'est que je ne vois rien en vous de trop joli. "")",,1.0,Insertion
186,"('#isabelle', 'Monsieur, votre valet est prompt à la riposte. ')",,1.0,Insertion
187,"('#leandre', ""Il faut aller chercher une chaise de poste,  Car je veux l'enlever. "")",,1.0,Insertion
188,"('#scaramouche', 'Sans rien dire au Docteur.  Il pleure.')",,1.0,Insertion
189,"('#leandre', ""Scaramouche qu'as-tu ? "")",,1.0,Insertion
190,"('#scaramouche', 'Je pleure son honneur  Qui ne reviendra pas sitôt de ce voyage,  Pacatroufe en chemin il va faire naufrage. ')",,1.0,Insertion
191,"('#leandre', 'Pauvre fol ! ')",,1.0,Insertion
192,"('#scaramouche', 'Je vois bien que je perds mon latin,  Et vous ne voulez pas renoncer au butin,  Allons je vous suivrai par-delà la Turquie,  Partons. ')",,1.0,Insertion
193,"('#leandre', ""Va-t'en frapper à cette hôtellerie,  Madame y restera jusqu'à notre retour. "")",,1.0,Insertion
194,"('#isabelle', ""Cher Léandre jugez de mon parfait amour  Puisque sans consulter une austère sagesse  Je cède aveuglément à l'ardeur qui me presse. "")",,1.0,Insertion
195,"('#leandre', ""Rassurez-vous, Madame, et croyez qu'avec moi  Vous ne risquez rien. "")",,1.0,Insertion
196,"('#scaramouche', ""J'en jurerais ma foi  Mon maître est pour le moins sage comme une fille. "")",,1.0,Insertion
197,"('#leandre', 'Frappe donc. ')",,1.0,Insertion
198,"('#scaramouche', 'Je commence à la trouver gentille,  Oh di casa ? ')",,1.0,Insertion
199,"('#pierrot', ""Claudine embrochez ce chapon,  Écumez la salade et plumez cet oignon,  Allez-vous-en compter avec ce Capitaine,  Scaramouche, bon jour, qu'est-ce qui vous amène.  En sortant et voyant Scaramouche."")",,1.0,Insertion
200,"('#scaramouche', ""Cette fille est charmante et vaut un million,  Je veux dans ton logis la mettre en pension.  C'est moi qui l'entretiens, soit dit en confidence.  Toujours pour mes plaisirs je fis de la dépense. "")",,1.0,Insertion
201,"('#pierrot', ""Elle le porte beau, c'est tout or et azur.  Ma foi si de mon fait je pouvais être sûr,  Je m'amuserais bien à lui conter fleurette,  Car tel que tu me vois j'aime un peu la grisette. "")","('#arlequin', ""Non, Colombine, c'est pour vous Que mon coeur veut se faire entendre. L'amour m'a lancé tous ses coups. Non, Colombine, c'est pour vous. A-t-elle autant d'attrait que vous ? Et le moyen de s'y méprendre ? Non, Colombine, etc. Air : Le premier jour de mai"")",0.9,Substitution
202,"('#leandre', 'Mon ami recevez cette Dame chez vous. ')",,1.0,Insertion
203,"('#pierrot', ""Scaramouche, morgué tu te gausses de nous,  Tu n'entretiens donc pas cette beauté friande,  Puisque c'est ce Monsieur qui me la recommande,  Serais-tu par hasard de profit avec lui. "")",,1.0,Insertion
204,"('#scaramouche', ""Oui nous nous relevons c'est son jour aujourd'hui,  Demain j'aurai le mien chacun a sa journée,  Nous nous accommodons. "")",,1.0,Insertion
205,"('#pierrot', ""L'affaire est bien menée. "")",,1.0,Insertion
206,"('#leandre', 'Entrez belle personne et comptez sur mon coeur. ')",,1.0,Insertion
207,"('#isabelle', 'Puissent les justes Dieux couronner votre ardeur  Je vous attends Léandre avec impatience. ')",,1.0,Insertion
208,"('#leandre', 'Scaramouche suis-moi. ')",,1.0,Insertion
209,"('#scaramouche', ""Partons en diligence.  Isabelle entre avec Pierrot dans l'Hôtellerie."")",,1.0,Insertion
210,"('#le-docteur', ""Géronte cette fois ne sera pas content,  Mais lui-même à ma place en aurait fait autant,  Seul avec Isabelle ayant surpris Léandre,  Je crois que c'est ainsi que je devais m'y prendre,  Jusques au fond du coeur ce trait m'avait percé,  Il fallait satisfaire à l'honneur offensé  Ce parti pour ma fille est d'un grand avantage,  Et je me sais bon gré qu'il lui tombe en partage,  D'Octave je saurai bientôt me dégager  Et Géronte sur lui peut se dédommager,  Je vais lui raconter toute cette aventure,  Et de mon procédé je crains peu qu'il murmure.  Il frappe chez Géronte."")","('#arlequin', ""J'ai renoncé pour vous au doux jus de la tonne. Je ne puis plus souffrir ce breuvage divin. Et chaque jour, mon aimable pouponne, Je ne bois que trois pots vin. Air : J'ai senti pour vous seule"")",0.74,Substitution
211,"('#geronte', ""Ah c'est vous chez moi, quel plaisir de vous voir,  Souffrez que je m'acquitte ici de mon devoir,  En vous remerciant de la tapisserie... "")",,1.0,Insertion
212,"('#le-docteur', 'Fi donc ne parlez point de cela, je vous prie,  Je viens vous révéler des secrets importants,  Vous serez étonné... ')",,1.0,Insertion
213,"('#geronte', 'Parlez je vous entends. ')",,1.0,Insertion
214,"('#le-docteur', ""De retour au logis j'ai trouvé votre gendre,  Caché derrière un lit. "")",,1.0,Insertion
215,"('#geronte', 'Vous parlez de Léandre ? ')",,1.0,Insertion
216,"('#le-docteur', ""Justement à ma fille il faisait les yeux doux,  Et voulait profiter je crois du rendez-vous,  Léandre lui parlait, jugez de ma surprise,  Je me suis récrié contre son entreprise,  Mais enfin il fallait effacer ce forfait,  En cette occasion, cher ami, qu'ai-je fait ?  J'ai contraint le galant à devenir mon gendre,  D'épouser Isabelle, il n'a pu se défendre  Si vous eussiez été de la sorte insulté  Je crois qu'en pareil cas vous m'eussiez imité. "")",,1.0,Insertion
217,"('#geronte', ""À quoi bon plaisanter, Docteur, c'est assez rire,  Léandre est-il ici ? "")",,1.0,Insertion
218,"('#le-docteur', ""Tenez vous pouvez lire,  Vous connaîtrez par là si j'ai tort ou raison,  C'est la lettre d'avis que vous écrit Damon. "")",,1.0,Insertion
219,"('#geronte', ""Je vous plains, mais enfin ce n'est pas là mon compte,  Léandre m'a promis... "")",,1.0,Insertion
220,"('#le-docteur', ""Point de courroux Géronte,  Il m'a déshonoré. "")",,1.0,Insertion
221,"('#geronte', 'Que veut dire ceci,  Mais ne puis-je le voir ? ')",,1.0,Insertion
222,"('#le-docteur', 'Fort bien car le voici. ')",,1.0,Insertion
223,"('#geronte', ""Vous m'avez fait, Monsieur, une sensible offense,  Vous me tiendrez parole, ou j'en aurai vengeance. "")","('#marinette', ""Laissez-moi, c'est trop vous entendre. J'enrage, c'est trop vous entendre, D'un pareil traitement, je veux avoir raison. De mon juste courroux, rien ne peut vous défendre, Je vais vous étriller de la bonne façon. Air opéra, fin de la quatrième scène de la première entrée"")",0.74,Substitution
224,"('#arlequin', 'Que dit donc ce vieux fol ? Je ne le connais pas. ')",,1.0,Insertion
225,"('#le-docteur', ""C'est Géronte. "")",,1.0,Insertion
226,"('#arlequin', ""Ma foi j'en fais fort peu de cas. "")",,1.0,Insertion
227,"('#geronte', 'Vous devez épouser ma fille Léonore. ')",,1.0,Insertion
228,"('#arlequin', ""Il lui faudrait donner quelques grains d'ellébore,  Il en a grand besoin. "")",,1.0,Insertion
229,"('#geronte', ""Vous vous loquez de moi  Mais on n'abuse pas en vain ma bonne foi,  Votre père Damon... "")","('#pierrot', ""Madame Alizon est en colère, Oh ! oh ! etc. De ce qu'elle ne peut faire, Oh ! oh ! etc. Et qu'on ne veut pas lui faire, Oh ! oh ! etc. Air : Marie Salisson"")",1.43,Substitution
230,"('#arlequin', ""Ah ! Le plaisant jocrisse,  Je n'ai jamais connu que ma mère nourrice,  Je suis du côté gauche, autrement dit bâtard,  Dans ce monde, dit-on, j'arrivai par hasard. "")",,1.0,Insertion
231,"('#geronte', ""Est-ce ainsi que s'explique un homme de naissance,  Un Gentilhomme... "")",,1.0,Insertion
232,"('#arlequin', ""Moi, vous êtes en démence  Depuis quand, s'il vous plaît, Messieurs les crocheteurs,  Ont-ils été placés parmi les grands Seigneurs. "")",,1.0,Insertion
233,"('#le-docteur', 'Mon gendre entrez chez nous. ')",,1.0,Insertion
234,"('#geronte', ""Il n'est pas nécessaire,  Venez dans ma maison. "")",,1.0,Insertion
235,"('#arlequin', ""Y fait-on bonne chère,  J'irai... non je ne puis et j'en sais les raisons,  On fait chez le docteur d'excellents macarons,  Allons-y promptement. "")",,1.0,Insertion
236,"('#le-docteur', 'Entrez, Monsieur Léandre. ')",,1.0,Insertion
237,"('#geronte', ""Corbleu vous n'irez pas. "")",,1.0,Insertion
238,"('#arlequin', ""Je ne puis m'en défendre  C'est lui qui le premier m'a voulu régaler,  Oh parbleu je suis las de me voir tirailler,  Laissez-moi donc vous dis-je. "")","('#colombine', ""Ma pauvre Alizon, que veux-tu faire, Oh ! oh ! etc. Rengaine donc ta colère, Oh ! oh ! etc. Et ne fais pas l'harengère, Oh ! oh ! etc."")",1.06,Substitution
239,"('#geronte', ""Hé bien je vais sur l'heure  Vous faire préparer une bonne demeure.  Il sort."")",,1.0,Insertion
240,"('#le-docteur', 'Il enrage. ')",,1.0,Insertion
241,"('#arlequin', ""Cet homme a le cerveau gâté  Je veux aller chez vous j'y suis fort bien traité,  Préparez-moi, beau-père, une soupe au fromage,  Car selon mon avis, c'est le meilleur potage. "")",,1.0,Insertion
242,"('#le-docteur', ""On va vous en faire une et chez moi mes valets  Vous serviront toujours au gré de vos souhaits.  Géronte vient avec des Archers,  leur montre Arlequin, les Archers veulent s'en saisir,  Arlequin se défend contre eux avec son coutelas ;  mais étant obligé à la fin de céder à la force,  il se laisse conduire en prison,  le Docteur se retire tout affligé. "")","('#marinette', ""Oh ! c'en est trop petite effrontée, Oh ! oh ! etc. Vous m'avez trop maltraitée, Oh ! oh ! etc. Ma foi vous serez frottée. Elles se battent et se décoiffent, Arlequin en les séparant frappe Pierrot. Ils se retirent tous à l'exception de Marinette qui reste décoiffée."")",0.99,Substitution
243,"('#octave', 'Je te suis obligé, ma chère Colombine. ')",,1.0,Insertion
244,"('#mezzetin', ""Je suis, je l'avouerai content de sa cuisine,  Messieurs les marmitons ont bien fait leur devoir. "")",,1.0,Insertion
245,"('#colombine', ""Je me flatte Monsieur, que vous viendrez nous voir,  Mon vin est assez bon j'en ai quelque barrique,  N'accordez qu'à moi seule au moins votre pratique. "")",,1.0,Insertion
246,"('#mezzetin', 'Je vous accorderai la mienne de bon coeur,  Pourvu que vous vouliez recevoir cet honneur  Ne me refusez point ma petite mignonne.')",,1.0,Insertion
247,"('#octave', ""J'ai vu dans ton logis une aimable personne,  Ne sais-tu point son nom ?"")",,1.0,Insertion
248,"('#colombine', ""À vous parler sans fard,  On peut bien la nommer Madame du hasard,  Elle ne sent pas bon je le juge à la mine,  Je m'y connais un peu. "")",,1.0,Insertion
