,quinault-isis,quinault-thesee,Cost,Operation Type
99,"('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")","('#la-grande-pretresse', ""Il faut profiter Du bonheur de nos armes. C'est trop écouter Le bruit des alarmes, Le cours de nos larmes Se doit arrêter, Songeons à goûter Un sort plein de charmes ; Il faut profiter Du bonheur de nos armes."")",0.8,Substitution
100,"('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")","('#le-choeur-des-pretresses', 'Chantez tous en paix, Chantez la victoire, Et que la mémoire En vive à jamais : Chantez les attraits Dont brille la gloire ; Chantez tous en paix, Chantez la victoire.')",0.35,Substitution
101,"('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")","('#la-grande-pretresse', 'Le calme est bien doux Après un grand orage. La gloire est pour nous, La honte et la rage Seront le partage Des voisins jaloux : Tout cède à nos coups, Tout cède au courage : Le calme est bien doux Après un grand orage.')",0.36,Substitution
102,"('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")","('#le-choeur-des-pretresses', ""Chantons tour à tour Dans ces lieux aimables, Des dieux favorables Y font leur séjour : Les seuls traits d'amour Y sont redoutables : Chantons tour à tour Dans ces lieux aimables."")",0.87,Substitution
103,"('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")","('#la-grande-pretresse', 'Ô Minerve savante ! Ô guerrière Pallas ! Que par votre faveur puissante Une félicité charmante Nous offre chaque jour mille nouveaux appas, Ô Minerve savante ! Ô guerrière Pallas !')",1.0,Substitution
104,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",,1.0,Insertion
105,"('#io', 'Je crains tout, je me crains moi-même.')",,1.0,Insertion
106,"('#jupiter', 'Quoi ! voulez vous me fuir')","('#les-choeurs', ""Animez nos cours, et nos bras, Rendez la victoire constante, Conduisez nos soldats, Partout, devant leurs pas, Jetez le trouble et l'épouvante ; Ô Minerve savante ! Ô guerrière Pallas !"")",1.09,Substitution
107,"('#io', ""C'est mon dernier espoir."")",,1.0,Insertion
108,"('#jupiter', 'Écoutez mon amour.')",,1.0,Insertion
109,"('#io', 'Écoutez mon devoir.')","('#la-grande-pretresse', ""Souffrez qu'un jeu sacré dans ces lieux vous présente Une image innocente De guerre et de combats."")",1.48,Substitution
110,"('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')","('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas ! On forme un combat à la manière des anciens.')",1.57,Substitution
111,,"('#les-choeurs', ""Que la guerre sanglante Passe en d'autres états, Ô Minerve savante ! Ô guerrière Pallas ! Que la foudre grondante Détourne ses éclats : Ô Minerve savante ! Ô guerrière Pallas !"")",1.0,Deletion
112,,"('#la-grande-pretresse', 'Puissions-nous voir toujours Athènes triomphante, Puisse son roi vainqueur des plus grands potentats La rendre heureuse et florissante.')",1.0,Deletion
113,,"('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas !')",1.0,Deletion
114,"('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",,1.0,Insertion
115,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",,1.0,Insertion
116,"('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",,1.0,Insertion
117,"('#jupiter', 'Quoi si tôt.')",,1.0,Insertion
118,"('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')","('#medee', ""Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais ! L'impitoyable amour m'a toujours poursuivie ; N'était-ce point assez des maux qu'il m'avait faits ! Pourquoi ce dieu cruel avec de nouveaux traits Vient-il encor troubler le reste de ma vie ? Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais !"")",1.02,Substitution
119,"('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")","('#dorine', ""Recommencez d'aimer, reprenez l'espérance ; Thésée est un héros charmant, Méprisez en l'aimant L'ingrat Jason qui vous offense. Il faut par le changement Punir l'inconstance, C'est une douce vengeance De faire un nouvel amant."")",1.38,Substitution
120,,"('#medee', ""La gloire de Thésée à mes yeux paraît belle, On l'a vu triompher dés qu'il a combattu ; Le destin de Médée est d'être criminelle, Mais son cour était fait pour aimer la vertu."")",1.0,Deletion
121,"('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")","('#dorine', ""Le dépit veut que l'on s'engage Sous de nouvelles lois, Quand on s'abuse au premier choix ; On n'est pas volage Pour ne changer qu'une fois."")",1.22,Substitution
122,"('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",,1.0,Insertion
123,"('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")","('#medee', 'Un tendre engagement va plus loin qu\'on ne pense ; On ne voit pas, lorsqu\'il commence, Tout ce qu\'il doit coûter un jour : Mon cour aurait encor sa première innocence S\'il n\'avait jamais eu d\'amour. Mon frère et mes deux fils ont été les victimes De mon implacable fureur ; J\'ai rempli l\'univers d""horreur, Mais le cruel amour a fait seul tous mes crimes.')",1.01,Substitution
124,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')","('#dorine', ""Espérez de former de plus aimables noeuds. Une cruelle expérience Vous apprend que l'amour est un mal dangereux ; Mais l'ennuyeuse indifférence Ne rend pas un coeur plus heureux. Aimez, aimez Thésée, aimez sa gloire extrême."")",1.14,Substitution
125,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")","('#medee', ""Mais qui me répondra qu'il m'aime ?"")",1.2,Substitution
126,"('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")","('#dorine', 'Peut-il trouver un sort plus beau ?')",1.03,Substitution
127,"('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")","('#medee', ""Peut-être que mon cour cherche un malheur nouveau. Mon dépit, tu le sais, dédaigne de se plaindre : Il est difficile à calmer, S'il venait à se rallumer, Il faudrait du sang pour l'éteindre."")",1.24,Substitution
128,"('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",,1.0,Insertion
129,"('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')","('#dorine', ""Que ne peut point Médée avec l'art de charmer ? Que puis-je ? Hélas ! Parlons sans feindre. Les enfers quand je veux sont contraints à s'armer, Mais on ne force point un coeur à s'enflammer ; Mes charmes les plus forts ne sauraient l'y contraindre, Ah je n'en ai que trop pour forcer à me craindre, Et trop peu pour me faire aimer."")",0.86,Substitution
130,"('#mercure', ""Refusez vous d'unir votre coeur et le mien."")","('#le-roi', ""Je vois le succès favorable Des soins que vous m'avez promis, Médée et son art redoutable Ont gardé ce palais contre mes ennemis. J'ai différé longtemps de tenir ma promesse, Je devrais être votre époux."")",1.23,Substitution
131,"('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")","('#medee', ""L'hymen n'a rien qui presse Ni pour moi, ni pour vous."")",1.05,Substitution
132,"('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",,1.0,Insertion
133,"('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')","('#le-roi', ""Vous pouvez sans chagrin souffrir que je diffère. Avec un époux plein d'appas L'hymen a de la peine à plaire ; Quelle peur ne doit-il pas faire Quand l'époux ne plaît pas ? Désormais sans péril je puis faire paraître Un fils que dans ma cour je n'osais reconnaître. Il peut venir dans peu de temps."")",0.77,Substitution
134,"('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")","('#medee', ""Laissons-là votre fils, Seigneur, je vous entends La jeune AEglé vous paraît belle, Chaque jour, je m'en aperçois ; Si vous m'abandonnez pour elle, Thésée est seul digne de moi."")",0.87,Substitution
135,"('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")","('#le-roi #medee', ""Ne nous piquons point de constance ; Consentons à nous dégager. Goûtons d'intelligence La douceur de changer."")",0.59,Substitution
136,"('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')","('#medee', ""Quand on suit une amour nouvelle, C'est une trahison cruelle De laisser dans l'engagement Un cour tendre et fidèle ; Mais rien n'est si charmant Qu'une inconstance mutuelle."")",0.79,Substitution
137,"('#mercure', 'Que la feinte entre nous finisse')","('#le-roi #medee', 'Heureux deux amants inconstants, Quand ils le sont en même temps.')",1.12,Substitution
138,,"('#arcas', 'Seigneur, songez à vous.')",1.0,Deletion
139,"('#iris', 'Parlons sans mystère en ce jour;')","('#le-roi', 'Quel malheur nous menace ?')",1.55,Substitution
140,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")","('#arcas', ""Thésée est si puissant qu'il peut vous alarmer, Ses glorieux exploits charment la populace, Au lieu d'un héritier qui manque à votre race, Pour votre successeur on le veut proclamer."")",1.51,Substitution
141,"('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",,1.0,Insertion
142,"('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')","('#le-roi', 'Il faut arrêter cette audace.')",1.47,Substitution
143,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",,1.0,Insertion
144,"('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")","('#dorine', 'Demeure, écoute un mot, Arcas.')",0.46,Substitution
145,"('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")","('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",1.66,Substitution
146,"('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')","('#dorine', ""Autrefois tu m'étais fidèle, Tu jurais de m'aimer d'une ardeur éternelle."")",0.7,Substitution
147,,"('#arcas', 'Nous sommes dans un temps de trouble et de combats.')",1.0,Deletion
148,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",,1.0,Insertion
149,"('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")","('#dorine', ""Cléone a des appas, On te voit souvent avec elle, N'est-ce point une amour nouvelle Qui fait ton embarras ? Tu rougis ? Tu ne réponds pas ?"")",0.74,Substitution
150,"('#iris', 'Elle honore son maître et brille sous ses pas.')","('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",0.57,Substitution
151,"('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")","('#dorine', ""C'est donc là tout le prix d'une amour trop sincère. N'aimons jamais, ou n'aimons guère : Il est dangereux d'aimer tant, Ce n'est pas le plus sûr pour plaire. Bien souvent on croit faire Un amant heureux et content, Et l'on ne fait qu'un inconstant."")",0.46,Substitution
152,"('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")","('#peuples', 'Régnez, héros indomptable ; Régnez rendez nous heureux.')",1.15,Substitution
153,"('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")","('#dorine', ""Le peuple vient ici. Sa faveur est semblable Au transport des cours amoureux ; L'ardeur des plus grands feux N'est pas la plus durable."")",0.59,Substitution
154,"('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')","('#peuples', 'Régnez, héros indomptable, Rendez, rendez-nous heureux.')",1.13,Substitution
155,,"('#le-choeur', ""Que l'on doit être Content d'avoir un maître Vainqueur des plus grands rois ! Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")",1.0,Deletion
156,,"('#deux-vieillards', ""Pour le peu de bon temps qui nous reste Rien n'est si funeste Qu'un noir chagrin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher. Achevons nos vieux ans sans alarmes ; La vie a des charmes Jusqu'à la fin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher."")",1.0,Deletion
157,"('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")","('#le-choeur', ""Que la victoire Le comble ici de gloire ; Suivons, aimons ses lois. Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")",0.72,Substitution
158,"('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")","('#thesee', ""C'est assez, amis, c'est assez, Allez, et que chacun en bon ordre se rende Aux endroits qu'au besoin il faudra qu'il défende : Allez, je suis content de vos soins empressés, Si vous voulez que je commande, Allez, allez, obéissez. Les peuples se retirent. Thésée veut entrer dans l'appartement du roi, Médée en sort qui arrête Thésée."")",0.24,Substitution
159,,"('#medee', 'Thésée où courez-vous ? Que prétendez-vous faire ?')",1.0,Deletion
160,,"('#thesee', 'Chercher le roi, le voir, et calmer sa colère.')",1.0,Deletion
161,"('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')","('#medee', 'Le roi souffrira-t-il que vous donniez la loi ?')",0.95,Substitution
162,,"('#thesee', ""Il n'aura pas lieu de se plaindre, Si l'on a trop d'ardeur pour moi, C'est un feu que j'ai soin d'éteindre."")",1.0,Deletion
163,"('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")","('#medee', ""Vous êtes de trop bonne foi ; Quand on a fait trembler un roi, Apprenez qu'on en doit tout craindre."")",1.6,Substitution
164,"('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")","('#thesee', ""Sans un charme puissant qui m'attache à sa cour J'irais chercher ailleurs une guerre nouvelle. La gloire m'enflamma dès que je vis le jour, Tout mon cour était fait pour elle ; Mais dans un jeune cour, la gloire la plus belle Fait aisément place à l'amour."")",0.34,Substitution
165,"('#jupiter', ""La fille d'Inachus."")",,1.0,Insertion
166,"('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")","('#medee', ""Un peu d'amoureuse tendresse Sied bien aux plus fameux vainqueurs ; Si l'amour est une faiblesse, C'est la faiblesse des grands cours. Parlez, que rien ne vous alarme J'obligerai le roi de vous tout accorder."")",0.06,Substitution
167,,"('#thesee', ""C'est la belle AEglé qui me charme, Elle est l'unique prix que je veux demander."")",1.0,Deletion
168,,"('#medee', ""C'est AEglé ? Dites-vous, AEglé, qui vous engage ?"")",1.0,Deletion
169,"('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")","('#thesee', ""Je sais que la grandeur a pour vous des attraits, Régnez avec le roi, régnez tous deux en paix, AEglé, l'aimable AEglé, n'est qu'un trop beau partage."")",0.64,Substitution
170,,"('#medee', 'Je crains pour votre amour un obstacle fatal.')",1.0,Deletion
171,,"('#thesee', ""Si Médée est pour moi qui peut m'être contraire ?"")",1.0,Deletion
172,,"('#medee', 'Vous avez le roi pour rival.')",1.0,Deletion
173,,"('#thesee', 'Malgré sa foi promise, AEglé pourrait lui plaire ?')",1.0,Deletion
174,"('#junon', 'Junon commande Allez, allez, Mercure obéissez.')","('#medee', ""Laissez-moi voir AEglé, laissez-moi voir le roi, Vous connaîtrez bientôt les soins que je vais prendre Allez, allez, m'attendre, Et fiez-vous à moi."")",0.72,Substitution
175,"('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")","('#medee', ""Dépit mortel, transport jaloux, Je m'abandonne à vous. Et toi, meurs pour jamais, tendresse trop fatale ; Que le barbare amour, que j'avais cru si doux, Se change dans mon cour en furie infernale. Dépit mortel, transport jaloux, Je m'abandonne à vous. Inventons quelque peine affreuse, et sans égale : Préparons avec soin, nos plus funestes coups. Ah ! Si l'ingrat que j'aime échappe à mon courroux, Au moins, n'épargnons pas mon heureuse rivale. Dépit mortel, transport jaloux, Je m'abandonne à vous."")",0.09,Substitution
176,,"('#cleone', 'Vous allez voir bientôt votre amant dans ces lieux.')",1.0,Deletion
177,"('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')","('#aegle', ""Je le verrai victorieux. Après de mortelles alarmes Qu'un bienheureux retour est doux pour les amants ! L'amour s'accroît par les tourments, Les biens qu'il fait payer avec le plus de larmes N'en deviennent que plus charmants."")",0.71,Substitution
178,,"('#cleone', 'Thésée est triomphant, chacun le veut pour maître.')",1.0,Deletion
179,,"('#aegle', 'Ne verrai-je point paraître Un si glorieux vainqueur ? Il négligera peut-être La conquête de mon cour.')",1.0,Deletion
180,"('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")","('#cleone', ""On n'est pas inconstant pour aimer la victoire. Si le passage est beau de l'amour à la gloire, Rien n'est si doux que le retour De la gloire à l'amour."")",0.53,Substitution
181,"('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")","('#aegle', ""Non, son amour n'est point extrême : Faut-il qu'il trouve ailleurs tant de soins importants ? Il n'ignore pas que je l'aime, Il doit songer que je l'attends."")",0.49,Substitution
182,"('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')","('#aegle #cleone', ""La gloire n'est que trop pressante, Un héros doit la suivre avec empressement ; Mais dès que la gloire est contente, L'amour doit promptement Ramener un amant."")",0.89,Substitution
183,"('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")","('#arcas', ""Le roi m'ordonne de vous dire Qu'il vous fera bientôt régner : Rien ne trouble plus son empire... Vous tremblez ? Votre cour soupire ? Le roi tout vieux qu'il est n'est pas à dédaigner. Lorsque par le feu du bel âge Un jeune cour se sent pressé, Dans une ardente amour sans effort on l'engage : On triomphe bien davantage Quand on enflamme un coeur que les ans ont glacé."")",0.72,Substitution
184,"('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')","('#aegle', 'Si tu connais, Arcas, le trouble qui me presse, Ne va point découvrir la peine où tu me vois.')",1.01,Substitution
185,,"('#cleone', ""Si tu veux m'obliger oblige la princesse : Fais, s'il se peut par ton adresse Que le roi tourne ailleurs son choix."")",1.0,Deletion
186,,"('#arcas', ""Tu me donnes toujours d'assez fâcheux emplois."")",1.0,Deletion
187,,"('#aegle #cleone #arcas', ""Il n'est point de grandeur charmante Sans l'amour et sans ses douceurs : Rien ne plaît, rien n'enchante, Sans l'amour et sans ses douceurs : Rien ne contente Les jeunes cours Sans l'amour et sans ses douceurs : Il n'est point de grandeur charmante Sans l'amour et sans ses douceurs."")",1.0,Deletion
188,"('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")","('#medee', ""Princesse savez-vous ce que peut ma colère Quand on l'oblige d'éclater ?"")",1.27,Substitution
189,"('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")","('#aegle', 'Je prétends ne rien faire Qui vous doive irriter.')",0.52,Substitution
190,"('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")","('#medee', ""Et n'est-ce rien que de trop plaire ?"")",0.62,Substitution
191,"('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')","('#aegle', ""Je renonce à l'hymen du roi Si je lui plais, c'est malgré moi. Ce n'est point dans le rang suprême Qu'on trouve les plus doux appas, Et souvent un bonheur extrême Est plus sûr dans un rang plus bas."")",1.08,Substitution
192,"('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")","('#medee', ""Vous aimez donc Thésée ? Ah ! N'en rougissez pas, Il n'est que trop digne qu'on l'aime. Je m'intéresse en votre amour ; Parlez, vous connaîtrez mon cour à votre tour."")",0.66,Substitution
193,"('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",,1.0,Insertion
194,"('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")","('#aegle', ""J'avais toujours bravé l'amour et sa puissance Avant que d'avoir vu ce glorieux vainqueur ; Mais la gloire et l'amour tous deux d'intelligence Ne sont que trop puissants pour vaincre un jeune cour. Que votre soin au mien réponde, J'espère que le roi deviendra votre époux : Régnez par son hymen dans une paix profonde, Laissez-moi ce héros, mon sort est assez doux ; Quand vous posséderiez tout l'empire du monde, Mon cour n'en serait point jaloux."")",0.85,Substitution
195,"('#argus', 'Non !')",,1.0,Insertion
196,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')","('#medee', 'Mais enfin, si le roi commande, Vous êtes soumise à sa loi.')",1.75,Substitution
197,"('#argus', 'Non, non, on ne la doit point voir')",,1.0,Insertion
198,"('#hierax', 'Quoi ! Junon me devient contraire ?')",,1.0,Insertion
199,"('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")","('#aegle', ""Ma vie est au pouvoir du roi, Et je veux bien qu'elle en dépende : Mais c'est en vain qu'il demande Un cour qui n'est plus à moi."")",1.52,Substitution
200,"('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")","('#medee', ""Vous m'en avez trop dit, il est temps qu'entre nous La confidence soit égale. Il faut vous dégager d'une chaîne fatale."")",0.9,Substitution
201,"('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")","('#aegle', 'La mort, la seule mort rompra des noeuds si doux.')",1.18,Substitution
202,"('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")","('#medee', ""Je veux que dés demain le roi soit votre époux : Vous aimez un héros qui ne peut être à vous, Et Médée est votre rivale ; Prenez soin d'éviter mon funeste courroux."")",0.8,Substitution
203,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")",,1.0,Insertion
204,"('#hierax', 'Ô Dieux !')",,1.0,Insertion
205,"('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")","('#aegle', 'Nos deux cours sont unis par un amour fidèle.')",0.85,Substitution
206,"('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")","('#medee', ""En dépit de l'amour je les veux diviser."")",1.43,Substitution
207,"('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")","('#aegle', 'La chaîne qui nous lie est si forte et si belle.')",0.93,Substitution
208,"('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')","('#medee', ""J'aurai plus de plaisir si je la puis briser."")",0.67,Substitution
209,"('#argus', 'Liberté, liberté.')",,1.0,Insertion
210,"('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')","('#aegle', ""Non, j'aime mieux la mort qu'une lâche inconstance, Tout l'enfer à mes yeux n'aura rien de si noir ; Malgré Médée et sa vengeance, Mon amour fera son devoir."")",1.75,Substitution
211,,"('#medee', ""Voyons si votre amour est tel qu'il veut paraître, Puisque vous le voulez vous allez me connaître : Je vais vous faire voir Ce que c'est que Médée et quel est son pouvoir. La scène change, et représente un désert épouvantable rempli de monstres furieux."")",1.0,Deletion
212,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous !')",1.0,Deletion
213,,"('#cleone', ""Que d'objets horribles !"")",1.0,Deletion
214,,"('#arcas', 'Quels monstres terribles !')",1.0,Deletion
