,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
221,"('#le-marquis', ""Est-il contre un Amant injustice pareille ?  Si l'Inconnu par moi se découvre aujourd'hui,  Voudrez-vous point encor que je parle pour lui ?  Qu'en faveur de son feu le mien vous sollicite ?  Il peut, je le confesse, avoir plus de mérite,  À l'ardeur de ses soins donner un plus grand jour ;  Mais jamais, quoi qu'il fasse, il n'aura plus d'amour. "")",,1.0,Insertion
222,"('#la-comtesse', ""Je le veux croire ainsi ; mais puis-je avec justice  De son attachement vous faire un sacrifice,  Avant qu'avec lui-même une civilité  Marque au moins que je sais ce qu'il a mérité ? "")",,1.0,Insertion
223,"('#le-marquis', ""Le détour est adroit autant qu'il le peut être.  Il faut être civile afin de le connaître,  Et vous donnant à lui, quand vous le connaîtrez,  L'Étoile est le garant où vous me renverrez. "")",,1.0,Insertion
224,"('#la-comtesse', ""Ainsi c'est de nos coeurs l'Étoile qui dispose ? "")",,1.0,Insertion
225,"('#le-marquis', 'Mais... ')",,1.0,Insertion
226,"('#la-comtesse', ""Je hais les raisons quand je veux quelque chose,  Et j'avais toujours cru que la soumission  D'un véritable Amant marquait la passion. "")",,1.0,Insertion
227,"('#le-marquis', 'Oui, quand il peut... ')",,1.0,Insertion
228,"('#la-comtesse', ""Marquis, voyez ce que vous faites.  J'aime en qui m'ose aimer, des volontés sujettes,  Et qu'on m'estime assez, pour croire aveuglément  Que tout ce que je veux, je le veux justement. "")",,1.0,Insertion
229,"('#le-marquis', ""Mon malheur est certain. J'ai de bons yeux, Madame.  Vous cherchez un prétexte à rejeter ma flamme.  Si je désobéis, c'en est fait, plus d'espoir ;  Et si de mon Rival... Moi, vous le faire voir ?  Non, qu'il cherche lui-même à se faire connaître.  Ce ne sera jamais que trop tôt, et peut-être... "")",,1.0,Insertion
230,"('#la-comtesse', ""Suffit ; j'aime à savoir, Marquis, ce que je sais.  Vous m'osez refuser, et je m'en souviendrai. "")",,1.0,Insertion
231,"('#le-chevalier', ""Quoique j'ignore encor quel spectacle on apprête,  Je puis vous préparer à quelque grande Fête,  Madame ; dans ce Bois j'ai vu des Gens épars,  Qui pour vous la donner, viennent de toutes parts.  Ils s'avancent vers vous. "")","('#le-chevalier', ""Quoique j'ignore encor quel spectacle on apprête,  Je puis vous préparer à quelque grande fête,  Madame, dans ce bois j'ai vu des gens épars,  Qui pour vous la donner viennent de toutes parts.  Ils s'avancent vers vous. "")",0.0,Match
232,"('#le-marquis', ""Vous devez les attendre,  Madame, et l'Inconnu ne saurait moins prétendre.  Il connaît mieux que moi ce que c'est qu'être Amant,  Par tout il vous régale. "")","('#le-marquis', ""Vous devez les attendre,  Madame, et l'Inconnu ne saurait moins prétendre :  Il connaît mieux que moi ce que c'est qu'être Amant,  Partout il vous régale. "")",0.0,Match
233,"('#la-comtesse', ""Et toujours galamment.  Du moins j'ai tout sujet d'en être satisfaite. "")","('#la-comtesse', ""Et toujours galamment ;  Du moins j'ai tout sujet d'en être satisfaite. "")",0.0,Match
234,"('#le-marquis', ""Vous pouvez l'écouter, voici son Interprète. "")","('#le-marquis', ""Vous pouvez l'écouter, voici son Interprète. "")",0.0,Match
235,"('#comus', ""Madame, par hasard si Comus est un Dieu  Qui soit de votre connaissance,  Vous le voyez en moi qui parais en ce lieu  Pour vous jurer obéissance.  Je suis un grand Maître en Festins.  À les bien ordonner on connaît mon génie,  Et l'Amour dont le goût fut toujours des plus fins,  Voulant en bonne compagnie  Vous donner un régale approchant des Divins,  M'a fait Maître d'Hôtel de la Cérémonie.  C'est un Dieu, quoique très petit,  À qui l'on peut céder sans honte.  Marchez sous sa conduite, et rendez-vous plus prompte  À faire tout ce qu'il vous dit ;  Vous y trouverez votre compte. "")","('#comus', ""Madame, par hasard, si Comus est un Dieu  Qui soit de votre connaissance,  Vous le voyez en moi qui paraît en ce lieu  Pour vous jurer obéissance.  Je suis un grand Maître en Festins,  À les bien ordonner on connaît mon génie :  Et l'Amour, dont le goût fut toujours des plus fins,  Voulant en bonne compagnie  Vous donner un régal approchant des divins,  M'a fait Maître d'Hôtel de la Cérémonie.  C'est un Dieu quoique très petit,  À qui l'on peut céder sans honte.  Marchez sous sa conduite, et rendez-vous plus prompte  À faire tout ce qu'il vous dit,  Vous y trouverez votre compte. "")",0.0,Match
236,"('#la-comtesse', ""Sur l'espérance des douceurs  Dont l'Amour doit combler nos coeurs,  Quand une fois il s'en empare,  Je suivrais volontiers ses pas,  Mais comme il est Enfant, j'ai peur qu'il ne s'égare,  Et j'aime à ne me perdre pas. "")","('#la-comtesse', ""Sur l'espérance des douceurs  Dont l'Amour doit combler nos coeurs,  Quand une fois il s'en empare,  Je suivrais volontiers ses pas :  Mais comme il est enfant, j'ai peur qu'il ne s'égare,  Et j'aime à ne me perdre pas. "")",0.0,Match
237,"('#comus', ""Avancez, il est temps. Vite, que l'on commence.  Il fait signe à des paysans qui s'avancent, et qui forment un berceau composé de dix figures isolées en forme de termes de bronze doré, cinq de chaque côté, l'une d'homme, et l'autre de Femme, tenant chacune en l'une de leurs mains un bassin de porcelaine rempli de toute sorte de fruits en pyramide. Ces figures depuis la ceinture, se terminent en gaines, et ces gaines sont environnées de pampres de vigne chargés de raisins. Chaque figure est portée sur son piédestal de marbre d'Orient, où il y a de petites consoles dans les saillies qui soutiennent des porcelaines de différentes manières, remplies de pyramides de fruits aussi beaux que les autres. Du milieu de ces consoles pendent des festons de fleurs. Toutes les figures de ce berceau portent sur leurs têtes de grands vases de porcelaine qu'elles soutiennent d'une main et qui sont remplis en confusion de fleurs naturelles. Les cintres naissent de ces fleurs, et ornent des Figures cintrées de différentes manières de verdure coupée, d'où pendent des festons de fleurs, et de toile d'or. L'optique de ce berceau où devrait être un buffet, est d'une manière toute extraordinaire. On y voit plusieurs degrés de gazon, et sur le plus élevé paraît un Bacchus tenant d'une main un vase d'or, et de l'autre une coupe. Il est environné de plusieurs vases d'or et d'argent. La Déesse des fruits est à son aile droite, et à sa gauche Cérès tient dans une corbeille ce qui est de son ministère. Flore est un peu plus bas. On voit à ses côtés de grandes corbeilles de fleurs, et comme elle en tient encore beaucoup, on connaît qu'elle en couvre tout le gazon qui l'environne ; ce qui se remarque par celles qui sont déjà sur ce gazon. Au-dessous de Flore on voit l'Abondance avec deux cornets qu'elle vide dans deux corbeilles que tiennent deux Satyres qui sont sur un degré plus bas, à demi courbés, et en posture de Gens qui reçoivent. Entre toutes ces figures paraissent Pan et Sylvain, accompagnés d'Orphée qui tient son Luth, et les deux autres des flûtes. Le tout est fini par un degré de gazon, aux deux bouts duquel il y a deux scabellons fort riches ; et portant chacun un grand vase d'or ; de sorte que sans avoir dressé un Buffet de la manière ordinaire, on en voit paraître un beaucoup plus beau ; et auquel il ne manque rien, puisque Bacchus et Cérès y apportent ce qu'on peut attendre d'eux, et que Flore elle-même prend soin de le venir orner. "")","('#comus', ""Avancez, il est temps ; vite, que l'on commence.  Plusieurs Paysans apportent des corbeilles pleines de fruits."")",0.63,Substitution
238,"('#le-chevalier', 'Tant de galanterie a droit de vous charmer,  Madame. ')","('#le-chevalier', 'Tant de galanterie a droit de vous charmer,  Madame. ')",0.0,Match
239,"('#olimpe', ""N'épargner ni peine, ni dépense,  Pour fournir des plaisirs toujours en abondance,  C'est là ce qui s'appelle aimer. "")","('#olimpe', ""N'épargner ni peine ni dépense,  Pour fournir des plaisirs toujours en abondance,  C'est là ce qui s'appelle aimer."")",0.0,Match
240,"('#comus', ""Madame, il ne faut point différer davantage.  Quand l'Amour, dont je prends ici les intérêts,  Vous rend par ce Régale un volontaire hommage,  Vous connaissez à quel usage  En sont destinés les apprêts. "")","('#comus', ""Madame, il ne faut point différer davantage ;  Quand l'Amour, dont je prends ici les intérêts,  Par ce régal vous rend un tendre hommage,  Vous connaissez à quel usage  En sont destinés les apprêts. "")",0.0,Match
241,"('#la-comtesse', 'Je ne veux pas les laisser inutiles.  Olimpe y prendra part ainsi que son amant. ')","('#la-comtesse', 'Je ne veux pas les laisser inutiles,  Olimpe y prendra part ainsi que son Amant. ')",0.0,Match
242,"('#olimpe', 'Volontiers ; les refus sont assez difficiles,  Quand on agit si galamment. ')","('#olimpe', 'Volontiers. Les refus sont assez difficiles,  Quand on agit si galamment. ')",0.0,Match
243,"('#la-comtesse', ""J'ai besoin d'une main, la vôtre est-elle prête,  Marquis ? "")","('#la-comtesse', ""J'ai besoin d'une main, la vôtre est-elle prête,  Marquis ? "")",0.0,Match
244,"('#le-marquis', 'Vous vous moquez, je crois. ')","('#le-marquis', 'Vous vous moquez, je crois ? ')",0.0,Match
245,"('#la-comtesse', 'Non, vous me conduirez. ')","('#la-comtesse', 'Non, vous me conduirez. ')",0.0,Match
246,"('#le-marquis', ""Je renonce à la fête,  Elle n'est pas faite pour moi. "")","('#le-marquis', ""Je renonce à la Fête,  Elle n'est pas faite pour moi. "")",0.0,Match
247,"('#la-comtesse', ""Point d'excuses, point de défaites ;  Je veux que vous veniez. "")","('#la-comtesse', ""Point d'excuse, point de défaite,  Je veux que vous veniez. "")",0.0,Match
248,"('#le-marquis', 'Eh, Madame. ')","('#le-marquis', 'Hé ! Madame. ')",0.0,Match
249,"('#la-comtesse', ""Eh, Marquis,  Sans façon, croyez-moi, faites ce que je dis ;  Vous vous montrez plus jaloux que vous n'êtes. "")","('#la-comtesse', ""Hé ! Marquis,  Sans façon, croyez-moi, faites ce que je dis.  Vous vous montrez plus jaloux que vous n'êtes. "")",0.0,Match
250,"('#le-marquis', 'Justement. ')","('#le-marquis', 'Justement. ')",0.0,Match
251,"('#la-comtesse', ""Je connais votre coeur mieux que vous,  Et c'est si rarement que le trouble y peut naître... "")","('#la-comtesse', ""Je connais votre coeur mieux que vous,  Et c'est si rarement que le trouble y peut naître… "")",0.0,Match
252,"('#le-marquis', ""Oui, Madame, j'ai tort de paraître jaloux,  Car je n'ai pas sujet de l'être. "")","('#le-marquis', ""Oui, Madame, j'ai tort de paraître jaloux,  Car je n'ai pas sujet de l'être.  Le Marquis sort."")",0.0,Match
253,"('#olimpe', ""On dirait qu'il sort en courroux. "")","('#olimpe', ""On dirait qu'ils sont en courroux. "")",0.0,Match
254,"('#la-comtesse', ""Il aura tout loisir de s'en rendre le maître.  Cependant divertissons-nous. "")","('#la-comtesse', ""Il aura tout le loisir de s'en rendre le maître :  Cependant divertissons-nous."")",0.0,Match
255,"('#comus', ""Tandis que vous ferez une épreuve agréable  Des douceurs que ces fruits offrent aux Curieux,  L'Amour qui m'emploie en ces lieux,  M'a fait chercher ce qu'il a cru capable  De pouvoir attacher vos yeux.  Allons, faites de votre mieux,  Et qu'à l'envi chacun se montre infatigable.  La Comtesse s'avance avec Olimpe et le Chevalier vers les Corbeilles de Fruits ; et tandis que chacun choisit ce qui flatte le plus son goût, les Paysans qui ont ordre de divertir la Comtesse, après avoir fait quelques figures pour marquer leur joie, font un Jeu avec des Bâtons, et l'ont à peine fini, que sans sortir du lieu où ils sont, ils paraissent tous en un moment vêtus en Arlequins, et réjouissent la Comtesse par mille figures plaisantes. "")","('#comus', ""Tandis que vous ferez une épreuve agréable  Des douceurs que ces fruits offrent aux curieux,  L'Amour qui m'emploie en ces lieux,  M'a fait chercher ce qu'il a cru capable  De pouvoir attacher vos yeux.  Allons, faites de votre mieux,  Et qu'à l'envie chacun de montre infatigable.  La Comtesse s'avance, avec Olimpe et le Chevalier, vers les corbeilles de fruits. Les Paysans et Paysannes dansent, pendant que la Comtesse et sa compagnie font collation."")",0.0,Match
256,"('#la-comtesse', 'On voit avec plaisir de semblables combats  Qui ne font craindre pour personne. ')",,1.0,Insertion
257,"('#comus', ""Il serait malaisé qu'ils manquassent d'appas,  Quand c'est l'Amour qui les ordonne.  Mais il est d'autres Dieux que moi,  Qui se sont mêlés de la Fête.  Vertumne y prend part, et je vois  Qu'ainsi que Pomone il s'apprête  À raisonner sur son emploi. "")",,1.0,Insertion
258,"('#vertumne', ""De quel chagrin, Pomone, as-tu l'âme saisie ? "")",,1.0,Insertion
