,piis-cassandre-astrologue,anseaume-tableau-parlant,Cost,Operation Type
119,"('#leandre', ""La jalousie et le caprice Ont bien pu vous rendre aveugle : mais Avant d'appeler la Justice, Il y faut regarder de près."")","('#colombine', ""Non, vraiment... c'est... que nos deux serins. Qu'on avait mis ensemble en cage, Le mâle est échappé... Vous jugez quel chagrin... La femelle gémit, Isabelle en enrage, Et dans l'excès de sa douleur. Dit, en sanglotant, qu'un malheur Ne vas jamais sans l'autre. "")",1.2,Substitution
120,,"('#cassandre', 'Et toi ?')",1.0,Deletion
121,,"('#colombine', 'Je la console.')",1.0,Deletion
122,,"('#cassandre', 'En riant ? ')",1.0,Deletion
123,"('#cassandre', 'Je ne reviens pas de cela ; Mais le billet que je tiens là, Voyons, que veut-il dire ? AIR : Des billets doux.')","('#colombine', 'Justement je ris comme une folle, Par contre-coup je la fais rire aussi.')",1.34,Substitution
124,"('#colombine', ""Ne s'adresse-t-il pas à moi ? Pour mettre fin à votre effroi, Daignez donc le relire."")","('#cassandre', ""Écoute... à coeur ouvert expliquons-nous ici. Est-il bien certain qu'elle m'aime."")",1.63,Substitution
125,"('#cassandre', ""Mon Tuteur s'absente aujourd'hui, Venez, pour calmer mon ennui... AIR : Vous m'entendez bien."")","('#colombine', 'Quoi ! Vous en doutez ! ')",1.17,Substitution
126,"('#isabelle', ""C'est tout ce que ma lettre Contient :"")","('#cassandre', ""Qu'elle m'aime... De la façon que je voudrais ?"")",1.63,Substitution
127,"('#colombine', ""Avec j'ai l'honneur d'être, Vous m'entendez bien."")","('#colombine', ""Qu'elle est votre façon, dites-nous ça vous même, Qu'exigez-vous ?"")",1.11,Substitution
128,,"('#cassandre', ""J'exigerais Qu'étant à m'épouser ainsi déterminée, L'amour fit les honneurs de ce doux hyménée, Et qu'elle ne m'épousât pas Dans l'espoir d'être bientôt veuve."")",1.0,Deletion
129,"('#cassandre', 'Mais pourquoi forcer cette porte, Et fuir ainsi devant votre Tuteur ? AIR : Tout au beau milieu des Ardennes.')","('#colombine', 'Quelle idée ! Et sur quelle preuve, Lui prêtez-vous des sentiments si bas ?')",1.15,Substitution
130,"('#isabelle', ""Vous avez frappé d'une sorte, Nous avons cru que c'était un voleur. Dans la frayeur Qui serra notre coeur, Nous fîmes ce malheur ; Encore même en-dedans avions-nous peur."")","('#cassandre', ""Quand on voit une jeune fille Épouser un vieillard ; on croit toujours que c'est Quelque raison secrète, ou motif d'intérêt, Qui la guide, et cela fait que l'on en babille. Je ne veux point donner matière aux médisants. Dans ma femme je veux trouver les sentiments Qu'inspire une tendresse extrême. Je veux enfin, je veux être aimé pour moi-même ;  Tout comme si je n'avais que vingt ans."")",1.02,Substitution
131,,"('#colombine', ""C'est votre dernier mot ?"")",1.0,Deletion
132,,"('#cassandre', ""Oui, voilà mon système. Est-ce ainsi qu'elle pense ? "")",1.0,Deletion
133,,"('#colombine', 'Non.')",1.0,Deletion
134,,"('#cassandre', 'Pourquoi ?')",1.0,Deletion
135,"('#colombine', ""Ma voisine, je suis fâchée De ce tracas, Car je vous suis fort attachée ; Mais en tout cas Vous devez à présent, bonhomme, Baiser ses pas : Et vous, plaignez un Astronome Qui n'y voit pas. AIR : Quoi, ma voisine, es-tu fâchée ? À Cassandre. À Isabelle."")","('#colombine', ""C'est qu'il n'est pas possible. Ah ! ça, Monsieur Cassandre, ayez de la raison. Est-ce à vous d'être si sensible ? On veut bien vous aimer ; et qu'importe comment ?"")",0.63,Substitution
136,"('#cassandre', 'Je veux devant vous, À deux genoux, Demander grâce, Et de mon soupçon Attendre la punition. AIR : De la Confession.')","('#cassandre', ""Vous prétendez apparemment Que j'ai tort d'aspirer à plaire, Moi que dans tous les temps pour modèle on cita, Moi qui fut autrefois le plus vaillant compère... "")",0.93,Substitution
137,"('#isabelle', 'Levez-vous ; cette fois je le passe, Mais plus de menace.')",,1.0,Insertion
138,"('#cassandre', ""Oui, plus de transport, Car je me mets à votre place : C'est pis qu'une mort, D'être grondé sans avoir tort. Pour sceller ma paix Au fond je voudrais Conclure notre hyménée ;  Mais fais-moi quartier Pour Décembre entier, Jusqu'à la nouvelle année. Matthieu Lansberg, dont ma mémoire s'orne, Et dont la vogue est à Liège sans borne, Dit qu'il n'est pas sain de se marier Au signe du Capricorne. AIR : Nous nous marierons Dimanche."")","('#colombine', ""Moi qui fus... moi qui fus.. et que nous fait cela ? Vous étiez ce que vous n'êtes plus. Vous n'étiez pas ce que vous êtes : Et vous aviez pour faire de conquêtes, Et vous aviez ce que vous n'avez plus. Ils sont passés ces jours de fêtes, Ils sont passés, ils ne reviendront plus. Rendez-vous donc plus de justice,  Et si l'amour vous est propice, Goûtez en paix Ses doux bienfaits. N'en cherchez pas la quintessence,  Contentez-vous de l'apparence Qui veut trop voir Et trop savoir Trouve souvent plus qu'il ne pense. ARIETTE."")",0.87,Substitution
139,"('#isabelle', ""Votre raison sans doute, A quelque fondement ; Mais loin que je la goûte,  J'en pleure amèrement ; Car plus je vous écoute, Et plus en ce moment Je sens ce qu'il en coûte D'attendre son Amant. Mais comme à la science J'ai livré mon esprit, Dans mon impatience L'avenir me sourit ; De vos talents insignes Je tiens l'art d'observer Et je lis dans les Signes Ce qui doit arriver. AIR : De mon Berger volage. Pierrot paraît dans le fond de la scène, et fait signe à Isabelle que Léandre va venir. Second couplet."")","('#cassandre', ""Moi j'entends voir ce qui me fait plaisir, Rien de plus. "")",1.0,Substitution
140,,"('#colombine', ""C'est fort bien l'entendre !"")",1.0,Deletion
141,"('#pierrot', ""Certain bossu qui voudrait vous connaître, Demande, mon maître, S'il pourrait avoir Le bonheur de vous voir. AIR : Un Cordelier d'une riche encolure."")","('#cassandre', ""Et il l'on cherche à me surprendre Je saurai bien m'en éclaircir. J'examinerai tout..."")",0.75,Substitution
142,,"('#colombine', 'Moi, je vous le conseille.')",1.0,Deletion
143,,"('#cassandre', 'Pour être sûr de mon fait.')",1.0,Deletion
144,,"('#colombine', 'À merveille')",1.0,Deletion
145,"('#cassandre', 'Certain bossu ! Fais vite entrer, pécore.')","('#cassandre', 'Vois-tu bien ces yeux-là ? ')",1.39,Substitution
146,,"('#colombine', ""Ce sont des yeux d'Argus."")",1.0,Deletion
147,"('#pierrot', 'Il est borgne encore.')","('#cassandre', 'Ils ne dormiront pas. Compte bien là-dessus. Adieu. ')",1.92,Substitution
148,"('#cassandre', ""Ah ! C'est mon destin Qui me l'amène enfin."")","('#colombine', 'Vous partez donc ! ')",1.58,Substitution
149,,"('#cassandre', 'Tout_à_fait.')",1.0,Deletion
150,,"('#colombine', 'Bon voyage. Cassandre sort.')",1.0,Deletion
151,"('#leandre', ""Votre serviteur ; AIR : Moi de même, (de l'Amoureux de quinze ans.)"")","('#colombine', ""À qui diable en a t'il avec son radotage ! Il est des gens d'une drôle d'humeur ! Les moindres refus les irritent. On leur accorde plus cent fois qu'ils ne méritent, Ils ne sont pas contents. Il faut en leur faveur Oublier que le temps laisse après lui des traces ; Sur un front tout ridé voir folâtrer les grâces, Et dans un corps usé trouver de la fraîcheur Vous vous moquez ! Monsieur, cela n'est pas possible, La nature a sur nous une force invincible. Elle indique à nos coeurs tout ce qui nous convient Par un charme qui nous attire ; Et si sur votre compte elle ne nous dit rien, C'est qu'elle n'a rien à nous dire. Je lui parle, ma foi, comme s'il était là. Mais c'est qu'aussi... Mais c'est que le voilà...... Le voilà peint à s'y méprendre. Bonjour.... Bonjour... Monsieur Cassandre. Vous voulez qu'on vous aime, oui, l'on vous aimera Et si vous voulez même, on vous adorera. Elle regarde le Tableau."")",1.44,Substitution
152,,"('#pierrot', 'Holà, hé, la maison... Picard... Lafleur, Lapierre.')",1.0,Deletion
153,"('#cassandre', 'Moi de même ;')","('#colombine', 'Qui diantre fait ce carillon. ')",1.32,Substitution
154,,"('#pierrot', 'Pas un laquais ici, pas une chambrière...! Eh bien personne ne répond ! ')",1.0,Deletion
155,,"('#colombine', ""Eh ?... mais... je connais cette mine. Eh !... c'est Pierrot, c'est Pierrot que je vois. Parle donc. "")",1.0,Deletion
156,"('#leandre', 'Moi de même ;')","('#pierrot', 'Hein ! ')",0.61,Substitution
157,"('#isabelle', 'Moi de même.')","('#colombine', 'Oui. ')",0.0,Match
158,,"('#pierrot', ""C'est... Eh ! mais, c'est Colombine. C'est toi ?"")",1.0,Deletion
159,,"('#colombine', ""C'est toi ?"")",1.0,Deletion
160,,"('#pierrot', ""C'est moi. "")",1.0,Deletion
161,,"('#colombine', ""C'est moi. "")",1.0,Deletion
162,,"('#pierrot', 'Dans ce logis que viens-tu faire ?')",1.0,Deletion
163,,"('#colombine', ""C'est notre demeure ordinaire. "")",1.0,Deletion
164,,"('#pierrot', 'Monsieur Cassandre est-il ou mort ou délogé.')",1.0,Deletion
165,,"('#colombine', ""Ni l'un ni l'autre. Il est encore en vie ; Amoureux comme un enragé ; Et dans trois jours il se marie. "")",1.0,Deletion
166,"('#leandre', ""J'éprouve une joie extrême ;"")","('#pierrot', ""Il se marie ! ô ciel qu'ai-je entendu ? Serait-ce toi par hasard qu'il épouse ? Si je le savais, tiens, vois-tu ? Dans les transports de ma fureur jalouse..,"")",1.22,Substitution
167,,"('#colombine', ""Mais ce n'est pas de moi qu'il est amoureux. "")",1.0,Deletion
168,"('#cassandre', 'Moi de même ;')","('#pierrot', 'Non !')",0.59,Substitution
169,,"('#colombine', ""C'est de ma maître Isabelle. "")",1.0,Deletion
170,,"('#pierrot', 'Isabelle est ici ?')",1.0,Deletion
171,"('#isabelle', 'Moi de même.')","('#colombine', 'Sans doute.')",1.07,Substitution
172,,"('#pierrot', ""Qu'y fait-elle ? "")",1.0,Deletion
173,,"('#colombine', 'Elle est chez son tuteur, Monsieur_Cassandre. ')",1.0,Deletion
174,"('#leandre', ""Quel bonheur C'est de voir ce qu'on aime ! C'est de tout mon coeur ;"")",,1.0,Insertion
175,"('#cassandre #isabelle', 'Moi de même.')","('#pierrot', 'Bon ! ')",0.32,Substitution
176,,"('#colombine', 'Elle a perdu son père et sa mère.')",1.0,Deletion
177,"('#leandre', ""Un instinct secret M'y portait ;"")","('#pierrot', 'Léandre,  Quand il saura cela... Je vais bien le surprendre.')",1.16,Substitution
178,,"('#colombine', 'Léandre est avec toi ? ')",1.0,Deletion
179,,"('#pierrot', ""Nous arrivons tous deux ; Assez mal_à_propos, si je puis m'y connaître."")",1.0,Deletion
180,"('#cassandre', 'Moi de même.')","('#colombine', 'Pourquoi ?')",0.41,Substitution
181,,"('#pierrot', ""Pourquoi ? Comment mordi ! Mon maître Va se voir enlever sa maîtresse à ses yeux Et... je pourrais fort bien n'être pas plus chanceux ! La mienne autant de séquestré peut-être. "")",1.0,Deletion
182,"('#leandre', 'Je prends à vous grand intérêt ;')","('#colombine', ""Tu m'aimes donc toujours !"")",0.98,Substitution
183,,"('#pierrot', 'Apparemment. Et toi ?')",1.0,Deletion
184,,"('#colombine', 'Je ne sais pas.')",1.0,Deletion
185,"('#cassandre', 'Moi de même.')","('#pierrot', 'Comment. ')",0.0,Match
186,,"('#colombine', ""Mais, oui. Méritez-vous qu'on ait de la constance, Vous qui, depuis deux ans d'absence N'avez pas seulement daigné de temps en temps  Nous informer si vous étiez morts ou vivants."")",1.0,Deletion
187,"('#leandre', 'Je suis enchanté;')","('#pierrot', ""Ah ! Mon enfant, la fortune inhumaine Avait guidé mes pas au bout de l'univers. J'ai parcouru les terres et les mers : En un mot je viens de Cayenne. "")",1.54,Substitution
188,,"('#colombine', ""C'est donc bien loin ?"")",1.0,Deletion
189,"('#cassandre', 'Et moi de même ;')","('#pierrot', ""Je t'en réponds."")",1.5,Substitution
190,,"('#colombine', ""Qu'avez-vous trouvez-là, le Pérou ?"")",1.0,Deletion
191,,"('#pierrot', 'Rien de bon ; Des sauvages fort malhonnêtes, Gens grossiers, très peu délicats, Qui, ma foi ne méritent pas Que pour les visiter, on brave les tempêtes.')",1.0,Deletion
192,,"('#colombine', ""Des tempêtes, grands Dieux ! Mais c'est pour en mourir. En as-tu vu quelqu'une ? "")",1.0,Deletion
193,"('#leandre', 'Je suis transporté ;')","('#pierrot', ""Oh ! Vraiment : une fière Qui nous a ballottés une journée entière, Je n'y saurais penser encor sans en frémir."")",1.31,Substitution
194,"('#cassandre', 'Et moi de même ;')","('#colombine', ""Fais m'en donc le récit, tu me feras plaisir:"")",0.94,Substitution
195,,"('#pierrot', ""Volontiers. Des dangers que l'on a pu courir, En voyage comme à la guerre, On aime assez à discourir. Écoute-donc... ce que tu vas ouïr. Notre vaisseau, dans une paix profonde, Sur le vaste Océan, Voguait légèrement, Et les zéphirs en se jouant Caressaient tendrement la surface de l'onde. Tout-à-coup le ciel s'obscurcit, Le jour fait place à la nuit, Les vents entr'eux se font la guerre, On entend gronder le tonnerre ; Chacun de nous tremble et pâlit. Le Pilote interdit Dans sa boussole Cherche le pôle, Et n'y voit goutte en plein midi ; Jouet des flots, Le vaisseau danse, Et jusqu'aux cieux monte et s'élance. Les matelots Sans espérance Gardent tous un affreux silence Qu'interrompent les hurlements, Les jurements, Les sifflements Des éléments..... Et le tracas.... Et le fracas... À chaque instant, un gouffre d'eau, Une cascade menaçante, À nos yeux effrayés présente Tout à la fois la mort et le tombeau... Mais enfin après l'orage, On voit venir le beau temps, Et parmi tout l'équipage Les plaisirs vont renaissants. La joie et le bon vin. Du danger chassent l'image,  La joie et le bon vin Dissipent notre chagrin... ARIETTE."")",1.0,Deletion
196,,"('#colombine', 'Pierrot, mon cher ami tu viens de loin. ')",1.0,Deletion
197,"('#leandre', ""Que j'ai de plaisir ;"")","('#pierrot', ""N'importe ; Me voilà sain et sauf, assez léger d'argent. Mais plein d'amour, et prêt à finir le roman ; Pour le peu que ton coeur s'y porte. "")",1.13,Substitution
198,"('#cassandre', 'Moi de même ;')","('#colombine', 'Hé !... hé !... La proposition... Nous verrons. Je ne dis pas de non. ')",1.66,Substitution
199,,"('#pierrot', ""Et que ferons-nous de Léandre, Mon pauvre maître, à quoi doit-il s'attendre ? Sans espoir de retour sera-t-il supplanté ? "")",1.0,Deletion
200,,"('#colombine', ""Non. C'est contre son gré que la tendre Isabelle Se prête à la nécessité. Mais dans le fond du coeur elle est toujours fidèle. "")",1.0,Deletion
201,"('#leandre', 'De nous réunir ;')","('#pierrot', 'En faveur de ces deux amants, Unissons nos efforts pour renouer leur chaîne. ')",0.62,Substitution
202,,"('#colombine', ""Va, va, pour les rendre contents, Il n'est rien que je n'entreprenne. Le bonhomme est absent. "")",1.0,Deletion
203,"('#cassandre #isabelle', 'Moi de même.')","('#pierrot', 'Bon ! Tant mieux. ')",0.89,Substitution
204,,"('#colombine', 'Pour trois jours, Profitons de ce temps.')",1.0,Deletion
205,,"('#pierrot', ""C'est bien dit, mes amours "")",1.0,Deletion
206,"('#leandre', ""Je viens pour vous consulter, Comme un fameux astrologue. AIR : J'aime une ingrate Beauté."")","('#colombine', 'Tais-toi donc.')",1.14,Substitution
207,,"('#pierrot', 'Oui, mon coeur.')",1.0,Deletion
208,,"('#colombine', 'Veux-tu bien être sage ! ')",1.0,Deletion
209,"('#cassandre', ""Vraiment, sans trop me vanter, J'ai toujours eu de la vogue ; Mais avant d'agiter Le point qui nous rassemble, Il faut sans hésiter, Que nous dînions ensemble."")","('#pierrot', ""Sans doute, car enfin... Ah ! mais.... Le mariage. Si tu m'en crois, formons bien vite ce lien."")",0.75,Substitution
210,,"('#colombine', ""J'y consens si tu m'aimes bien."")",1.0,Deletion
211,"('#pierrot', 'Monsieur, je vais mettre la table. AIR : Nous quitterons-nous sans boire ?')","('#pierrot', ""Je pourrais bien sur toi former le même doute, Mais mon coeur se refuse à de pareils soucis, Et je crois qu'à l'amour que tu m'avais promis Tu n'as jamais fait banqueroute."")",1.51,Substitution
212,,"('#colombine', 'Non, Pierrot, et jamais... jamais aucune ardeur Ne pourra seulement égratigner mon coeur.  DUO.')",1.0,Deletion
213,"('#leandre', ""J'accepte votre offre agréable ; Car ici petit à petit, Je sens croître mon appétit. Mais à propos, est-il vrai qu'on annonce Une éclipse en ce mois ? AIR : Je suis Carmélite, moi."")","('#colombine', ""Je brûlerai d'une flamme éternelle."")",1.2,Substitution
214,,"('#pierrot', ""Jusqu'au tombeau je te serai fidèle. "")",1.0,Deletion
215,,"('#colombine', ""J'en atteste les Dieux. "")",1.0,Deletion
216,,"('#pierrot', ""J'en jure par tes yeux."")",1.0,Deletion
217,,"('#colombine', 'Non, jamais je ne changerai.')",1.0,Deletion
218,"('#cassandre', ""Assurément, Monsieur, et je prononce Que c'est pour le vingt-trois ; Mais elle n'est, ma foi , Qu'orientale."")","('#pierrot', ""Oui, toujours je te chérirai. Tu m'aimes donc ?"")",1.74,Substitution
219,,"('#colombine', ""Ah ! Je t'adore. Et toi Pierrot ? "")",1.0,Deletion
220,"('#pierrot', 'Je la crois totale, Moi, Je la crois totale.')","('#pierrot', 'Et moi... je te dévore, Il lui baise la main.')",0.92,Substitution
221,,"('#colombine', 'Doucement, tu me mords. ')",1.0,Deletion
222,"('#leandre', 'Votre Valet est un compère. AIR : Vantez vous-en.')","('#pierrot', 'Quels moments ! Quels transports !')",1.21,Substitution
223,,"('#colombine', ""Je brûlerai d'une ardeur éternelle, Et jamais je ne changerai."")",1.0,Deletion
224,"('#cassandre', 'Mais, vraiment il connaît la sphère. Bientôt il sera dans le cas De composer des Almanachs.')","('#pierrot', ""Jusqu'au tombeau je te serai fidèle, Et toujours je te chérirai."")",1.61,Substitution
225,"('#pierrot', ""Oh ! ne vous embarrassez pas, Car si je me mêlois d'en faire, On n'y verrait que du beau temps, Vantez vous-en."")","('#colombine', 'Si tu manquais à ta promesse, Si tu trompais de si beaux noeuds...')",0.89,Substitution
226,,"('#pierrot', 'si tu deviens jamais traîtresse, Si tu trompais mes tendres voeux...')",1.0,Deletion
227,,"('#colombine', 'Au désespoir abandonnée...')",1.0,Deletion
228,,"('#pierrot', ""Dans l'horreur de ma destinée..."")",1.0,Deletion
229,,"('#colombine', 'Mon cher Pierrot, je te poignarderais.')",1.0,Deletion
230,,"('#pierrot', ""Mon cher amour, moi je t'étranglerais."")",1.0,Deletion
231,"('#cassandre', 'Pierrot, sers-nous, de grâce, Diligemment. AIR : O gué lan la, lanlaire.')","('#colombine', 'Quel excès de tendresse ! ')",1.23,Substitution
232,,"('#pierrot', 'Ô ma chère maîtresse ?')",1.0,Deletion
233,,"('#colombine', 'De cette main je te poignarderais.')",1.0,Deletion
234,,"('#pierrot', ""De mes deux mains, moi je t'étranglerais. Mais ce n'est pas le tout. Mon maître Ne ressent point. "")",1.0,Deletion
235,"('#pierrot', 'Monsieur, je me surpasse En mouvement ; Mais placez-vous en attendant.')","('#colombine', 'Où peut-il être ?')",1.29,Substitution
236,,"('#pierrot', 'Il est allé Ce mettre en habit plus décent Pour rendre ces devoirs au bon Monsieur_Cassandre. À son oncle. ')",1.0,Deletion
237,,"('#colombine', ""Comment ! C'est l'oncle de Léandre. Notre tuteur ? "")",1.0,Deletion
238,"('#cassandre', 'Passez.')","('#pierrot', 'Oui.')",0.0,Match
239,,"('#colombine', ""Le trait est plaisant. Tu devrais bien l'aller chercher. "")",1.0,Deletion
240,,"('#pierrot', 'Ma fine. Il sait bien le chemin. Pour moi je reste ici, Près de ma chère Colombine. ')",1.0,Deletion
241,,"('#colombine', 'Non ; cela sera mieux : vas-y. Vas lui porter cette nouvelle. De mon côté je vais prévenir Isabelle. ')",1.0,Deletion
242,"('#leandre', 'Non, vraiment.')","('#pierrot', ""J'entends quelqu'un... oui ; le voici."")",1.4,Substitution
243,"('#cassandre', ""Après vous, morbleu. C'est l'Étranger qu'on place Dans le milieu."")","('#colombine', 'Et bien ! Je te laisse avec lui. Elle sort.')",1.89,Substitution
244,,"('#pierrot', ""On n'a pas toujours de la peine, On rencontre parfois quelque chose de bon."")",1.0,Deletion
245,,"('#leandre', 'As-tu fait ma commission ? ')",1.0,Deletion
246,,"('#pierrot', ""Je ne m'attendais pas à cette bonne aubaine. "")",1.0,Deletion
247,"('#leandre', ""Ah ! L'excellent potage ! AIR : Du fleuve d'Oubli."")","('#leandre', ""Pierrot, as-tu vu le Daron ? Sait-il que je reviens tout exprès de Cayenne Pour le voir, l'embrasser et pour en hériter !"")",1.6,Substitution
248,"('#cassandre', ""Il n'en a plus déjà, Ah, ah, ah , ah !"")","('#pierrot', 'Ah ! Quel plaisir ! ')",0.76,Substitution
249,"('#leandre', ""Donnez-m'en davantage."")","('#leandre', ""Maraud, veux-tu bien m'écouter ! "")",1.01,Substitution
250,,"('#pierrot', ""Ah ! Vous voilà, Monsieur, votre bonne fortune Vous amène en ces lieux ; vous n'y trouvez point Ce que vous y cherchez : mais sur un autre point. Un heureux hasard vous rejoint... Et nous avons ici chacun notre chacune. "")",1.0,Deletion
251,,"('#leandre', 'Que veut-tu dire impertinent ?')",1.0,Deletion
252,,"('#pierrot', ""Vous êtes plus heureux que rage. Vous avez un rival, mais le mal n'est pas grand. Je vous protège moi, vous aurez l'avantage. "")",1.0,Deletion
253,"('#cassandre', 'Cela vous gonflera.')","('#leandre', ""Si tu m'y fais mettre, insolent !..."")",1.45,Substitution
254,,"('#pierrot', ""Une beauté charmante, belle, Qui vous aime toujours malgré l'éloignement..."")",1.0,Deletion
255,"('#leandre', ""Ah, ah , ah, ah ! Mais si j'ai bonne mémoire, Pour appuyer cela Il faut boire. Il fait semblant de sabler plusieurs bouteilles que Pierrot lui tend successivement. L'Orchestre seul exécute l'air de la Fricassée, afin qu'on ait le tems de dîner."")","('#leandre', ""As-tu donc perdu la cervelle ? Tu sais quel est l'objet, je t'en ai fait l'aveu, Pour qui malgré le temps et l'absence cruelle, D'une flamme toujours nouvelle Je brûle encore à petit feu. Ne te souvient-il plus quand certaine négresse, Que le Diable avait fait amoureuse de moi, Prétendit me forcer à vivre sous sa loi, Combattu par l'honneur, la pitié, la tendresse, Pied-à-pied disputant ma foi, Je te dis... Ce n'est pas... Ce n'est pas Isabelle ?"")",1.44,Substitution
256,,"('#pierrot', ""Mais c'est elle aujourd'hui, c'est elle. M'entendez-vous ?... C'est Isabelle, Qui vous aime toujours, qui vous attend ici, Ici dedans."")",1.0,Deletion
257,"('#cassandre', ""Ah ! Que cet homme est gourmand ! Que maudit soit l'affreux destin qui nous lie ! Ah ! Que cet homme est gourmand ! Ne saurait-il manger sobrement ? AIR : De la Fricassée."")","('#leandre', 'Ah ! Mon ami ! Que me dis-tu ? Par quel prodige ? Dois-je te croire ?')",1.41,Substitution
258,,"('#pierrot', ""Et oui, vous dis-je. Dans l'instant Colombine ici l'amènera. "")",1.0,Deletion
259,,"('#leandre', 'Où donc est elle ? ')",1.0,Deletion
260,,"('#pierrot', 'La voilà.')",1.0,Deletion
261,"('#leandre', ""Passez-moi de l'entremets ?"")","('#isabelle', 'Est-ce vous que je vois cher amant ? ')",1.13,Substitution
262,,"('#leandre', 'Chère amante ! ')",1.0,Deletion
263,"('#cassandre', ""Il ne finira jamais ; C'est fait de moi désormais, Pour peu qu'il expédie Encor deux ou trois mets. Ah ! Que cet homme est gourmand ! Comme à toute heure il expose ailleurs ma vie : Ah ! Que cet homme est gourmand ! J'en pâtirai nécessairement."")","('#isabelle', ""N'est-ce point un enchantement ?"")",1.18,Substitution
264,,"('#pierrot', ""C'est lui-même, j'en suis garant."")",1.0,Deletion
265,"('#leandre', 'Passez-moi donc le rôti ?')","('#isabelle', ""Venez-vous dissiper l'ennui qui me tourmente ?"")",1.17,Substitution
266,,"('#leandre', ""J'avouerai qu'en ces lieux, je ne vous cherchez pas. Mais de vous y trouver mon plaisir est extrême. J'y venais voir mon oncle."")",1.0,Deletion
267,"('#cassandre', ""Nous l'allons voir englouti, Je demeure anéanti. Faut-il me voir à sa planète Assujetti ? Mais , Monsieur, par amitié, Souffrez un peu qu'à l'instant je vous arrête. Haut."")","('#isabelle', ""Hélas ! Il est votre rival, il m'aime, Et, si je l'en eusse cru Notre hymen serait conclu. "")",0.54,Substitution
268,"('#leandre', ""Ah ! Quelle injuste pitié ! Je n'ai, Monsieur, dîné qu'à moitié."")","('#leandre', ""Vous pouviez m'oublier ! "")",1.53,Substitution
269,,"('#isabelle', ""Malgré moi, je vous jure. Colombine vous le dira. Son sentiment était qu'en cette conjoncture Je devais en passer par-là. "")",1.0,Deletion
270,,"('#leandre', 'Pourquoi lui conseiller une insigne parjure ?')",1.0,Deletion
271,,"('#colombine', ""Dame ! Monsieur, vous n'étiez pas ici : À Madame il lui faut un mari. C'est un point décidé : son tuteur se présente : Le vieux bonhomme a la marche pesante, Il n'a pas comme vous, les grâces du maintien : Mais un Cassandre enfin vaut encore mieux qu'un rien."")",1.0,Deletion
272,,"('#pierrot', ""C'est quelquefois la même chose."")",1.0,Deletion
273,,"('#colombine', ""Auriez-vous mieux aimé qu'elle restât fille ?"")",1.0,Deletion
274,"('#cassandre', 'Pierrot, tous deux de concert, Otons vite le couvert.')","('#leandre', 'Oui. ')",1.34,Substitution
275,"('#leandre', ""J'ai l'appétit trop ouvert, Pour faire aucune grâce À ces plats de dessert."")","('#isabelle', ""Je ne le pouvais pas décemment, moi ami. Le monde est trop méchant, pour un rien l'on nous glose."")",1.18,Substitution
276,,"('#leandre', 'Je me rends. Je vois bien que tout est mieux, Et vous me trahissiez, sans offenser mes feux.')",1.0,Deletion
277,"('#cassandre', 'Vite il faut me desserrer : Gargantua ne fut jamais si vorace, Et je ne puis digérer Ce que cet homme ose dévorer.')","('#isabelle', ""Non, non bannissez toute crainte. Léandre seul pouvait devenir mon vainqueur ; Et son image dans mon coeur Était trop vivement empreinte. La nuit dans les bras du sommeil, Je rêvais de mon cher Léandre. Je croyais le voir et l'entendre, Je l'appelais à mon réveil, Et je disais d'un ton si tendre ! Ah ! Léandre, mon cher Léandre, Veux-tu donc me faire mourir ! ARIETTE. DUO."")",1.14,Substitution
278,"('#leandre', ""J'ai mangé trop goulument. AIR : Nous autres bons Villageois."")",,1.0,Insertion
279,"('#cassandre', 'Comme je partage ses craintes !')","('#leandre', ""Votre amant souffrait même peine Et son coeur était à la gêne. Loin de vos charmes, Dans les alarmes Que j'ai passé des tristes jours ! "")",1.1,Substitution
280,"('#leandre', 'Ouf, la colique me prend.')",,1.0,Insertion
281,"('#cassandre', ""J'en éprouve aussi des atteintes."")","('#isabelle', ""Mais l'amour, sensible nos larmes. Vient calmer nos tendres alarmes. D'un long martyre, Par un sourire, Ce Dieu charmant finit le cours."")",1.35,Substitution
282,"('#leandre', ""Peut-être qu'un doigt de liqueur Apaisera cette douleur : Allons, c'est à votre santé."")","('#leandre', ""Chérissons l'heureuse journée Qui fait cesser notre tourment."")",1.24,Substitution
283,,"('#isabelle', 'Peut-on être fortunée Que je la suis en ce moment ?')",1.0,Deletion
284,,"('#ensemble', ""Ah ! Nos coeurs sont faits l'un pour l'autre ! Par le mien je juge du vôtre. Même souffrance, Même espérance, Même désirs, Même plaisirs."")",1.0,Deletion
285,,"('#colombine', 'Madame, il me vient une idée. Nos pauvres amoureux sont las. Faisons-les rafraîchir.')",1.0,Deletion
286,,"('#isabelle', 'Fais ce que tu voudras !')",1.0,Deletion
287,,"('#pierrot', 'La cuisine est-elle fondée ? ')",1.0,Deletion
288,,"('#colombine', ""Va va, ne t'embarrasse pas. Vient m'aider seulement. "")",1.0,Deletion
289,"('#cassandre', 'Vous avez bien de la bonté.')","('#pierrot', ""Ce trait de prévoyance Mérite de ma part ce doux remerciement. Il l'embrasse."")",0.8,Substitution
290,"('#leandre', 'Cela passe, Quel merveilleux soulagement ! AIR : Le tems passe. bis.\t')","('#colombine', 'Doux pour toi. ')",0.97,Substitution
291,"('#cassandre', 'Je suis guéri pareillement.')","('#pierrot', ""D'accord ; mais je pense, Quand je me fais plaisir, que je t'en fais autant. "")",1.36,Substitution
