cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,Score
"('#moliere', ""Le voilà ; je vous suis. D'après un tel message, Si vous ne m'eussiez point rapporté mon ouvrage, Vous le voyez ; parbleu j'étais joli garçon. Au Garçon de Théâtre, lui donnant le manuscrit du Malade imaginaire. À Chapelle."")","('#moliere', ""Le voilà, je vous suis.  D'après un tel message,  Si vous ne m'eussiez point rapporté mon ouvrage,  Vous le voyez, parbleu j'étais joli garçon.  À Chapelle."")",0.894860029220581
"('#chapelle', ""Il vient de me donner une sage leçon, Je veux en profiter : oui, j'en croirai Molière, Et je condamne au feu ma Comédie entière, Quel pénible métier que celui d'écrivain ! Il vaut mieux ne rien faire et sabler du bon vin."")","('#chapelle', ""Il vient de me donner une sage leçon,  Je veux en profiter : oui, j'en croirai Molière ;  Et je condamne au feu ma comédie entière,  Quel pénible métier, que celui d'écrivain !  Il vaut mieux ne rien faire et sabler du bon vin. "")",0.990935742855072
"('#la-moliere', ""Du bon vin ! Du bon vin ! Voilà comme vous êtes ! Boire et passer vos nuits dans les jeux, dans les fêtes ; Voilà votre méthode, et c'est, grâce à vous, Que je te touche au moment de perdre mon époux. Je le vois chaque jour dépérir et s'éteindre."")","('#la-moliere', ""Du bon vin ! Du bon vin ! Voilà comme vous êtes !  Boire et passer vos nuits dans les jeux, dans les fêtes,  Voilà votre méthode, et c'est grâces à vous,  Que je te touche au moment de perdre mon époux.  Je le vois chaque jour dépérir et s'éteindre."")",0.9867736101150513
"('#chapelle', ""Comment cela ? De moi vous auriez à vous plaindre ? Je ne le croyais pas. Molière est mon ami, Et ce noeud qui m'est cher, par le temps raffermi, Veut que vous m'expliquiez en quoi je suis coupable. Molière m'a caché..."")","('#chapelle', ""Comment cela ? De moi vous auriez à vous plaindre ?  Je ne le croyais pas. Molière est mon ami,  Et ce noeud qui m'est cher, par le temps raffermi,  Veut que vous m'expliquiez en quoi je suis coupable.  Molière m'a caché..."")",1.0
"('#la-moliere', ""Les plaisirs de la table N'ont jamais rien valu pour sa faible santé. Il était au régime : avec soin apprêté, Un lait doux humectait sa poitrine affaiblie. Vous vous êtes moqué de son genre de vie : Vous l'avez fait manger et boire autant que vous, Et, dans cet instant même, une incurable toux Le tourmente, l'oppresse ; il en perd la parole, Et je viens de le voir balbutier son rôle, Et, contre son usage, obligé de s'asseoir. Vous savez cependant qu'il doit jouer ce soir."")","('#la-moliere', ""Les plaisirs de la table  N'ont jamais rien valu pour sa faible santé.  Il était au régime ; avec soin apprêté,  Un lait doux humectait sa poitrine affaiblie ; Vous vous êtes moqué de son genre de vie :  Vous l'avez fait manger et boire autant que vous,  Et, dans cet instant même, une incurable toux  Le tourmente, l'oppresse, il en perd la parole,  Et je viens de le voir balbutier son rôle,  Et, contre son usage, obligé de s'asseoir.  Vous savez cependant qu'il doit jouer ce soir. "")",0.9979339838027954
"('#chapelle', ""Je suis de son état affligé ; mais j'espère Qu'il sera peu durable, et puis la bonne chère Ne fut jamais fatale aux enfants d'Apollon : Horace en est la preuve, ainsi qu'Anacréon. Oui, c'est du vin d'Ail la mousse pétillante, Qui seule peut donner une santé brillante. Je l'éprouve à mon tour ; regardez bien mes yeux : On y voit éclater ce nectar radieux ; Mon visage est empreint de sa couleur vermeille, Le meilleur élixir est celui de la treille."")","('#chapelle', ""Je suis, de son état, affligé, mais j'espère  Qu'il sera peu durable ; et puis la bonne chère  Ne fut jamais fatale aux enfants d'Apollon :  Horace en est la preuve, ainsi qu'Anacréon.  Oui, c'est du vin d'Ail la mousse pétillante,  Qui seule peut donner une santé brillante.  Je l'éprouve à mon tour ; regardez bien mes yeux :  On y voit éclater ce nectar radieux ;  Mon visage est empreint de sa couleur vermeille :  Le meilleur élixir est celui de la treille. "")",0.9955097436904907
"('#la-moliere', 'Quel discours ! Vous parlez comme un franc libertin.')","('#la-moliere', 'Quel discours ! Vous parlez comme un franc libertin. ')",1.0000001192092896
"('#chapelle', ""Oh ! Non ; mais comme un homme ennemi du chagrin. Voulez-vous maintenant que je vous parle en sage ? Ce n'est pas, croyez moi, le bachique breuvage, Qu'au milieu d'un souper je verse à votre époux, Qui cause ses douleurs et fait naître sa toux ; C'est votre humeur, Madame, elle est un peu changeante Elle est impérieuse, et jamais indulgente. Ce discours vous surprend : pardonnez, mais je crois Qu'ami de votre époux, j'ai sur vous quelques droits Et que je puis vous dire une fois ma pensée."")","('#chapelle', ""Oh ! non, mais comme un homme ennemi du chagrin. Voulez-vous maintenant que je vous parle en sage ?  Ce n'est pas, croyez-moi, le bachique breuvage,  Qu'au milieu d'un festin je verse à votre époux,  Qui cause ses douleurs et fait naître sa toux ;  C'est votre humeur, madame, elle est un peu changeante  Elle est impérieuse, et jamais indulgente.  Ce discours vous surprend : pardonnez, mais je crois  Qu'ami de votre époux, j'ai sur vous quelques droits  Et que je puis vous dire une fois ma pensée. "")",0.9930680990219116
"('#la-moliere', ""M'injurier chez moi !... Quelle audace insensée !"")","('#la-moliere', ""M'injurier chez moi !... quelle audace insensée ! "")",0.9983785152435303
"('#chapelle', ""Fâchez-vous, j'y consens ; je n'en rabattrai rien. Quand l'âme est en repos, le corps se porte bien."")","('#chapelle', ""Fâchez-vous, j'y consens ; je n'en rabattrai rien.  Quand l'âme est en repos, le corps se porte bien. "")",0.9999998807907104
"('#la-moliere', 'Moi, je me fâcherais ! Et pourquoi, je vous prie ? Votre raison, Monsieur, à chaque instant varie : Vous êtes si souvent à la perdre exposé !')","('#la-moliere', 'Moi, je me fâcherais ! Et pourquoi, je vous prie ?  Votre raison, monsieur, à chaque instant varie :  Vous êtes si souvent à la perdre exposé ! ')",0.9961116313934326
"('#chapelle', ""Bon ! Le trait est malin, quoique peu déguisé ; Mais je n'en suis pas moins très jaloux de vous plaire Et je sors pour calmer votre juste colère. Je vais à votre époux offrir tous mes secours : Pour prolonger les siens, je donnerais mes jours."")","('#chapelle', ""Bon ! Le trait est malin, quoique peu déguisé ;  Mais je n'en suis pas moins très jaloux de vous plaire  Et je sors pour calmer votre juste colère :  Je vais à votre époux offrir tous mes secours :  Pour prolonger les siens, je donnerais mes jours. "")",0.9927868843078613
"('#la-moliere', ""Chapelle a t-il raison ? Je veux être maîtresse, Commander en ces lieux ; mais Molière sans cesse Ne veut-il pas user d'un suprême pouvoir, Et me faire, dit-il, rentrer dans mon devoir ? Qu'il cède quelquefois, je céderai. Qu'entends-je ? C'est ma fille."")","('#la-moliere', ""Chapelle a t-il raison ? Je veux être maîtresse,  Commander en ces lieux ; mais, Molière sans cesse  Ne veut-il pas user d'un suprême pouvoir,  Et me faire, dit-il, rentrer dans mon devoir ?  Qu'il cède, quelquefois, je céderai. Qu'entends-je ?  C'est ma fille. "")",0.9952934980392456
"('#la-moliere', ""D'où vient cette pâleur étrange Qu'on voit sur votre front ? Molière est-il plus mal ?"")","('#la-moliere', ""D'où vient cette pâleur étrange  Qu'on voit sur votre front ? Molière est-il plus mal ? "")",1.0
"('#isabelle', ""Ah ! Je crains qu'il ne touche à son terme fatal. Plus que jamais il souffre, et j'en suis désolée. Je le quitte à l'instant : sa toux est redoublée, Et ce qui doit surtout combler mon désespoir, Il s'y montre insensible, et, pour jouer, ce soir, Il vient de s'habiller."")","('#isabelle', ""Ah ! Je crains qu'il ne touche à son terme fatal.  Plus que jamais il souffre, et j'en suis désolée.  Je le quitte à l'instant ; sa toux est redoublée,  Et ce qui doit surtout combler mon désespoir,  Il s'y montre insensible, et pour jouer ce soir  Il vient de s'habiller. "")",0.9930470585823059
"('#la-moliere', ""Rassurez-vous, ma fille, Il faut qu'il y renonce et qu'il se déshabille. Votre père m'est cher. Je ne souffrirai pas Qu'au trépas il s'expose en feignant le trépas. Son rôle est fatiguant, et tout me persuade Qu'il faut se bien porter pour faire le malade. Je veillerai, vous dis-je, au salut de ses jours. Vous-même renoncez à de folles amours Dont je suis informée, et songez, pour me plaire, Qu'il vous faut obéir en tout à votre mère."")","('#la-moliere', ""Rassurez-vous, ma fille,  Il faut qu'il y renonce et qu'il se déshabille.  Votre père m'est cher : je ne souffrirai pas  Qu'au trépas il s'expose en feignant le trépas.  Son rôle est fatigant, et tout me persuade  Qu'il faut se bien porter pour faire le malade.  Je veillerai, vous dis-je, au salut de ses jours.  Vous-même renoncez à de folles amours  Dont je suis informée, et songez, pour me plaire,  Qu'il vous faut obéir en tout à votre mère. "")",0.9976401329040527
"('#isabelle', ""C'est mon voeu le plus cher. À vos ordres soumis Mon coeur, sans votre aveu, s'est-il jamais permis De former un désir."")","('#isabelle', ""C'est mon voeu le plus cher. À vos ordres soumis,  Mon coeur, sans votre aveu, s'est-il jamais permis  De former un désir ?"")",0.9787231087684631
"('#la-moliere', ""Oui, oui, Mademoiselle, Je connais votre humeur indocile et rebelle ; Mais je saurai bientôt vous mettre à la raison. M'oserez-vous nier que vous aimez Baron, Et qu'il ressent pour vous une égale tendresse ?"")","('#la-moliere', ""Oui, oui, mademoiselle,  Je connais votre humeur indocile et rebelle ;  Mais je saurai bientôt vous mettre à la raison.  M'oserez-vous nier que vous aimez Baron,  Et qu'il ressent pour vous une égale tendresse ? "")",0.9973517060279846
"('#isabelle', 'Non.')","('#isabelle', 'Non. ')",0.9999999403953552
"('#la-moliere', 'Vous en convenez ?')","('#la-moliere', 'Vous en convenez ? ')",0.9999997615814209
"('#isabelle', ""Sans doute il m'intéresse ; Mais je ne savais pas que ce pur sentiment Fût un crime à vos yeux, et même en ce moment, J'ai peine à concevoir qu'il puisse vous déplaire. Baron, depuis longtemps, est l'ami de mon père : Il est son camarade, et son talent d'acteur Prête un charme de plus aux talents de l'auteur : Mon père l'a formé ; mon père l'idolâtre Et fonde sur lui seul l'espoir de son théâtre."")","('#isabelle', ""Sans doute il m'intéresse,  Mais je ne savais pas que ce pur sentiment  Fût un crime à vos yeux, et même en ce moment,  J'ai peine à concevoir qu'il puisse vous déplaire.  Baron, depuis longtemps, est l'ami de mon père ; Il est son camarade, et son talent d'acteur  Prête un charme de plus aux talents de l'auteur :  Mon père l'a formé, mon père l'idolâtre  Et fonde sur lui seul l'espoir de son théâtre. "")",0.9970773458480835
"('#la-moliere', ""Soit ; mais ignorez-vous qu'orgueilleux à l'excès, Il pense que lui seul doit avoir des succès ? Que nous sommes toujours d'un sentiment contraire, Et que dix fois le jour il me met en colère ?"")","('#la-moliere', ""Soit ; mais ignorez-vous qu'orgueilleux à l'excès,  Il pense que lui seul doit avoir des succès ?  Que nous sommes toujours d'un sentiment contraire,  Et que dix fois le jour il me met en colère ? "")",1.0
"('#isabelle', ""L'orgueil est un défaut ; mais un grand comédien Est homme comme un autre, et peut avoir le sien. Baron fait un emploi qui le rend excusable. Des Conquérants, des Rois l'orgueil est pardonnable À les représenter Baron accoutumé En héros quelquefois se croyant transformé, Conserve leur fierté, même hors de la scène, Et n'en a point, je pense, une âme plus hautaine."")","('#isabelle', ""L'orgueil est un défaut ; mais un grand comédien  Est homme comme un autre et peut avoir le sien.  Baron fait un emploi qui le rend excusable.  Des conquérants, des rois l'orgueil est pardonnable ; À les représenter, Baron accoutumé,  En héros quelquefois se croyant transformé,  Conserve leur fierté même hors de la scène,  Et n'en a point, je pense, une âme plus hautaine. "")",0.9867664575576782
"('#la-moliere', ""Lui-même avec plus d'art ne pourrait s'excuser. Vous songez en secret peut-être à l'épouser. Eh bien ! Je vous défends de nourrir dans votre âme Un espoir qui m'offense, et d'écouter la flamme Qu'au mépris de mes droits il a fait naître en vous. Je viens de vous choisir, d'ailleurs un autre époux. Le Marquis de Milflore est épris de vos charmes, Sitôt qu'il vous a vue, il a rendu les armes : À vous plaire, en un mot, tous ses voeux sont bornés."")","('#la-moliere', ""Lui-même avec plus d'art ne pourrait s'excuser.  Vous songez en secret peut-être à l'épouser ?  Eh bien ! Je vous défends de nourrir dans votre âme  Un espoir qui m'offense, et d'écouter la flamme  Qu'au mépris de mes droits il a fait naître en vous.  Je viens de vous choisir, d'ailleurs, un autre époux.  Le marquis de Milflore est épris de vos charmes ;  Sitôt qu'il vous a vue, il a rendu les armes ;  À vous plaire, en un mot, tous ses voeux sont bornés. "")",0.9908418655395508
"('#isabelle', ""Eh quoi ! C'est un marquis que vous me destinez !"")","('#isabelle', ""Eh quoi ! C'est un marquis, que vous me destinez ? "")",0.952096164226532
"('#la-moliere', ""Pourquoi non ? Il m'a fait les plus vives instances : Il vous aime, et l'amour rapproche les distances. Il est sûr d'obtenir bientôt mon agrément."")","('#la-moliere', ""Pourquoi non ? Il m'a fait les plus vives instances :  Il vous aime, et l'amour rapproche les distances.  Il est sûr d'obtenir bientôt mon agrément. "")",1.000000238418579
"('#isabelle', ""J'abandonnerai donc le théâtre ?"")","('#isabelle', ""J'abandonnerai donc le théâtre ? "")",1.0
"('#la-moliere', ""Oui vraiment. On vous appellera Madame la Marquise. Vous aurez une hôtel, un nom. Je suis surprise Que vous ne sentiez pas l'excès d'un tel honneur."")","('#la-moliere', ""Oui, vraiment.  On vous appellera madame la marquise ;  Vous aurez un hôtel, un nom. Je suis surprise  Que vous ne sentiez pas l'excès d'un tel honneur. "")",0.9562249183654785
"('#isabelle', ""Des titres si pompeux ne font pas le bonheur, Et mon père d'ailleurs n'aime pas qu'on s'allie À de plus grands que soi."")","('#isabelle', ""Des titres si pompeux ne font pas le bonheur ;  Et mon père, d'ailleurs, n'aime pas qu'on s'allie  À de plus grands que soi. "")",0.9883604049682617
"('#la-moliere', ""Riez de sa folie. Votre père voit mal... Ah ! S'il avait mes yeux !..."")","('#la-moliere', ""Riez de sa folie.  Votre père voit mal... Ah ! S'il avait mes yeux !... "")",1.000000238418579
"('#isabelle', ""On peut me demander quels furent mes aïeux, Quelle est ma dot. Jamais on n'en doit faire accroire..."")","('#isabelle', ""On peut me demander quels furent mes aïeux,  Quelle est ma dot. Jamais on n'en doit faire accroire."")",0.9930338859558105
"('#la-moliere', ""De votre père, en dot, vous porterez la gloire. Molière s'est rendu fameux par ses écrits : Il tient le plus beau rang parmi les beaux esprits : Ses ouvrages ; voilà ses titres de noblesse."")","('#la-moliere', ""De votre père, en dot, vous porterez la gloire.  Molière s'est rendu fameux par ses écrits :  Il tient le plus beau rang parmi les beaux esprits :  Ses ouvrages ; voilà ses titres de noblesse. "")",0.9999998211860657
"('#isabelle', ""Mon père de Baron approuve la tendresse, Et je crains qu'à vos voeux il ne consente pas."")","('#isabelle', ""Mon père, de Baron, approuve la tendresse ;  Et je crains qu'à vos voeux il ne consente pas. "")",0.9809266328811646
"('#la-moliere', ""Eh bien ! Il faut aller le trouver de ce pas. Suivez-moi je prétends que vous m'aidiez vous-même À lui faire agréer Milflore qui vous aime. Isabelle suit sa mère en soupirant et levant les yeux au Ciel."")","('#la-moliere', ""Eh bien ! Il faut aller le trouver de ce pas.  Suivez-moi ; je prétends que vous m'aidiez vous-même  À lui faire agréer Milflore, qui vous aime.  Isabelle suit sa mère en soupirant et levant les yeux au ciel."")",0.8734135627746582
"('#moliere', ""Non, ma femme, jamais je n'y consentirai Ma fille m'est soumise, et je la marierai Selon qu'il me plaira."")","('#moliere', ""Non, ma femme, jamais je n'y consentirai : Ma fille m'est soumise, et je la marierai  Selon qu'il me plaira. "")",0.9936914443969727
"('#la-moliere', ""Mais songez donc, Molière, Que ma fille aux honneurs s'ouvrira la carrière, Et que l'hymen s'unit avec le tendre amour Pour la faire bientôt parvenir à la Cour. Songez qu'incessamment..."")","('#la-moliere', ""Mais songez donc, Molière,  Que ma fille aux honneurs s'ouvrira la carrière,  Et que l'hymen s'unit avec le tendre amour  Pour la faire bientôt parvenir à la Cour.  Songez qu'incessamment..."")",1.0000001192092896
"('#moliere', ""La Cour ! Voilà les femmes ! Elles veulent toujours être de grandes Dames Et toujours s'élever : ivres d'un vain éclat Elles ne savent point rester dans leur état, Je n'ai fait qu'indiquer dans une Comédie Ce travers singulier ; mais si je m'étudie à le représenter comme il s'offre à mes yeux, C'est vous que je peindrai ; je ne puis choisir mieux. Oui, ma femme, vous même."")","('#moliere', ""La Cour ! Voilà les femmes !  Elles veulent toujours être de grandes dames  Et toujours s'élever : ivres d'un vain éclat,  Elles ne savent point rester dans leur état.  Je n'ai fait qu'indiquer dans une comédie  Ce travers singulier ; mais si je m'étudie  À le représenter comme il s'offre à mes yeux,  C'est vous que je peindrai ; je ne puis choisir mieux :  Oui, ma femme, vous même. "")",0.9770068526268005
"('#la-moliere', 'Et vous ferez, je gage Une pièce ennuyeuse, un détestable ouvrage.')","('#la-moliere', 'Et vous ferez, je gage  Une pièce ennuyeuse, un détestable ouvrage. ')",1.000000238418579
"('#moliere', 'Nous verrons.')","('#moliere', 'Nous verrons. ')",0.9999998807907104
"('#la-moliere', ""Et pourquoi blâmer l'ambition Que je vous fais paraître en cette occasion ? Elle est noble, elle tend au bonheur de ma fille. N'a-t-on pas vu cent fois d'une obscure famille Les humbles rejetons par le sort transplantés, Eux-mêmes s'étonnant de leurs prospérités, Briller modestement à la première place Et leur éclat s'étendre aussi loin que leur race ?"")","('#la-moliere', ""Et pourquoi blâmer l'ambition  Que je vous fais paraître en cette occasion ?  Elle est noble, elle tend au bonheur de ma fille.  N'a-t-on pas vu cent fois d'une obscure famille  Les humbles rejetons, par le sort transplantés,  Eux-mêmes s'étonnant de leurs prospérités,  Briller modestement à la première place,  Et leur éclat s'étendre aussi loin que leur race. "")",0.9921013116836548
"('#moliere', 'Ma femme, vous parlez comme feu Cicéron ; Mais quel sera le fruit de votre ambition ? Vous perdrez votre fille : elle est simple, ingénue : Si jamais les grandeurs lui donnent dans la vue, Elle deviendra vaine, altière comme vous ; Elle mettra sa gloire à nous mépriser tous Et se fera bientôt mépriser elle-même.')","('#moliere', 'Ma femme, vous parlez comme feu Cicéron,  Mais quel sera le fruit de votre ambition ?  Vous perdrez votre fille : elle est simple, ingénue :  Si jamais les grandeurs lui donnent dans la vue,  Elle deviendra vaine, altière comme vous ;  Elle mettra sa gloire à nous mépriser tous  Et se fera bientôt mépriser elle-même. ')",0.999174177646637
"('#la-moliere', ""Quelle obstination ! puisque le Marquis l'aime, Et puisqu'il est honnête, elle en prendra les mours, Et sera de la sorte à l'abri des censeurs."")","('#la-moliere', ""Quelle obstination ! Puisque le marquis l'aime,  Et puisqu'il est honnête, elle en prendra les mours,  Et sera de la sorte à l'abri des censeurs. "")",0.9883486032485962
"('#moliere', ""Et quel est ce Marquis ? Dans le siècle où nous sommes, Il est de faux dévots et de faux Gentilshommes : Je les ai démasqués ces imposteurs cruels, Qui méditent le crime à l'ombre des autels. Du bon Monsieur Tartuffe on se souvient encore, Et si vous me fâchez, craignez tout pour Milflore. Jusques à ce moment de Messieurs les Marquis Je n'ai peint que les airs. Il court de certains bruits Que Milflore est de ceux dont la coupable adresse Usurpe les honneurs qu'on doit à la noblesse. Qu'il tremble : avec le temps chacun aura son tour, Et je puis peindre aussi les Tartuffes de Cour."")","('#moliere', ""Et quel est ce marquis ? Dans le siècle où nous sommes,  Il est de faux dévots et de faux gentilshommes :  Je les ai démasqués ces imposteurs cruels,  Qui méditent le crime à l'hombre des autels : Du bon monsieur Tartuffe on se souvient encore,  Et si vous me fâchez, craignez tout pour Milflore.  Jusques à ce moment de messieurs les marquis  Je n'ai peint que les airs. Il court de certains bruits  Que Milflore est de ceux dont la coupable adresse  Usurpe les honneurs qu'on doit à la noblesse.  Qu'il tremble : avec le temps chacun aura son tour,  Et je puis peindre aussi les tartuffes de Cour. "")",0.9850084185600281
"('#la-moliere', ""Avec plus de respect parlez d'un homme illustre De qui les seuls aïeux font la gloire et le lustre. Les bruits qu'on a semés sont faux : avec le Roi Il chasse, m'a-t-on dit, et je suis sûre, moi, Que personne, à la Cour, n'a plus de droits peut-être D'obtenir la faveur et l'oreille du maître, Et que..."")","('#la-moliere', ""Avec plus de respect parlez d'un homme illustre  De qui les seuls aïeux font la gloire et le lustre.  Et qui."")",0.6623424291610718
"('#moliere', ""Vous voulez donc qu'il soit de qualité ? J'y consens ; mais sachez une autre vérité Beaucoup plus importante, et vous perdrez l'envie De voir bientôt ma fille avec Milflore unie. Pour rendre fortuné le lien conjugal, Il faut, tant que l'on peut, épouser son égal. George Dandin le prouve avec clarté : je pense Y montrer les dangers d'une mésalliance. Cette pièce vous donne une bonne leçon. Profitez-en."")","('#moliere', ""Vous voulez donc qu'il soit de qualité ?  J'y consens ; mais sachez une autre vérité  Beaucoup plus importante, et vous perdrez l'envie  De voir bientôt ma fille avec Milflore unie.  Pour rendre fortuné le lien conjugal,  Il faut, tant que l'on peut, épouser son égal.  Georges Dandin le prouve avec clarté : je pense  Y montrer les dangers d'une mésalliance.  Cette pièce vous donne une bonne leçon :  Profitez-en."")",0.9963223934173584
"('#la-moliere', ""Ma foi ! Je n'y vois rien de bon."")","('#la-moliere', ""Ma foi, je n'y vois rien de bon. "")",0.9694856405258179
"('#moliere', ""Soit ; mais je ne veux point d'un Marquis pour ma fille ; Un Marquis n'entrera jamais dans ma famille. Je sais que Baron l'aime, et qu'elle aime Baron, Et je le lui destine. Montrant Isabelle."")","('#moliere', ""Soit ; mais je ne veux point d'un marquis pour ma fille ; Un marquis n'entrera jamais dans ma famille.  Je sais que Baron l'aime, et qu'elle aime Baron,  Et je le lui destine.  Montrant Isabelle."")",0.9880632162094116
"('#la-moliere', 'Eh quoi ! Ce fanfaron Qui, fier de son talent, méprise tout le monde ?')","('#la-moliere', 'Eh quoi ! Ce fanfaron  Qui, fier de son talent, méprise tout le monde ? ')",1.0
"('#isabelle', ""Votre refus toujours sur son orgueil se fonde ; Mais, Madame, mon père a des talents aussi, Dont il peut être fier, puisqu'ils ont réussi, Et lorsque vous l'aimiez, quand le nom de Molière Surprit et captiva votre âme toute entière, Si l'on vous eût offert un Marquis pour époux, Auriez vous sans regret renoncé..."")","('#isabelle', ""Votre refus, toujours, sur son orgueil se fonde ;  Mais, madame, mon père a des talents aussi,  Dont il peut être fier, puisqu'ils ont réussi,  Et lorsque vous l'aimiez, quand le nom de Molière  Surprit et captiva votre âme toute entière,  Si l'on vous eût offert un marquis pour époux,  Auriez-vous, sans regret, renoncé..."")",0.9805927872657776
"('#la-moliere', 'Taisez vous.')","('#la-moliere', 'Taisez vous. ')",0.9999998807907104
"('#moliere', ""Et pourquoi, s'il vous plaît, la forcer au silence ? Une mère doit-elle user de violence ? Elle raisonne juste ; il est permis, je crois, Lorsque l'on n'a point tort de défendre ses droits. Ce trait est si naïf, que j'en veux faire usage, Et je le placerai bientôt dans quelqu'ouvrage, Poursuis, ma chère enfant. Laissez-la s'expliquer, Votre fille vous aime et ne veut point manquer À ce qu'elle vous doit. À part. Haut à Isabelle. À la Molière."")","('#moliere', ""Et pourquoi, s'il vous plaît, la forcer au silence ?  Une mère doit-elle user de violence ?  Elle raisonne juste ; il est permis, je crois,  Lorsque l'on n'a point tort de défendre ses droits. Ce trait est si naïf, que j'en veux faire usage,  Et je le placerai bientôt dans quelque ouvrage,  Poursuis, ma chère enfant.  Laissez-la s'expliquer ;  Votre fille vous aime et ne veut point manquer  À ce qu'elle vous doit.  À part. Haut à Isabelle. À la Molière."")",0.9975666403770447
"('#la-moliere', ""Qu'a-t-elle encore à dire ?"")","('#la-moliere', ""Qu'a-t-elle encore à dire ? "")",0.9999999403953552
"('#isabelle', ""Madame, j'ai tout dit."")","('#isabelle', ""Madame, j'ai tout dit. "")",0.9999998211860657
"('#la-moliere', ""Je souffre le martyre Puisque vous la servez de tout votre pouvoir, J'ai des droits qu'à mon tour je veux faire valoir. Qu'elle épouse Milflore ou Baron, peu m'importe ; Je ne m'en mêle plus. Ma crainte la plus forte Est que vous ne tombiez malade gravement, Si toujours dominé par votre entêtement, Vous jouez aujourd'hui dans votre Comédie. Votre santé n'est pas assez bien rétablie Pour le rôle d'Argan. Ainsi je vous préviens Qu'aujourd'hui je renonce à jouer dans le mien. Haut à Molière."")","('#la-moliere', ""Je souffre le martyre  Puisque vous la servez de tout votre pouvoir,  J'ai des droits qu'à mon tour je veux faire valoir :  Qu'elle épouse Milflore ou Baron, peu m'importe ;  Je ne m'en mêle plus. Ma crainte la plus forte  Est que vous ne tombiez malade gravement ;  Si toujours dominé par votre entêtement,  Vous jouez aujourd'hui dans votre comédie.  Votre santé n'est pas assez bien rétablie Pour le rôle d'Argan.  Haut à Molière."")",0.9716894626617432
"('#la-moliere', ""Je souffre le martyre Puisque vous la servez de tout votre pouvoir, J'ai des droits qu'à mon tour je veux faire valoir. Qu'elle épouse Milflore ou Baron, peu m'importe ; Je ne m'en mêle plus. Ma crainte la plus forte Est que vous ne tombiez malade gravement, Si toujours dominé par votre entêtement, Vous jouez aujourd'hui dans votre Comédie. Votre santé n'est pas assez bien rétablie Pour le rôle d'Argan. Ainsi je vous préviens Qu'aujourd'hui je renonce à jouer dans le mien. Haut à Molière."")","('#moliere', ""Ma toux vient par accès, Ne le savez-vous pas ? Elle me laisse en paix Souvent une heure entière, une demi-journée ; Et comme j'ai toussé beaucoup la matinée, Je suis calme, ce soir, et mon rôle ira bien."")",1.0
"('#la-moliere', ""Je souffre le martyre Puisque vous la servez de tout votre pouvoir, J'ai des droits qu'à mon tour je veux faire valoir. Qu'elle épouse Milflore ou Baron, peu m'importe ; Je ne m'en mêle plus. Ma crainte la plus forte Est que vous ne tombiez malade gravement, Si toujours dominé par votre entêtement, Vous jouez aujourd'hui dans votre Comédie. Votre santé n'est pas assez bien rétablie Pour le rôle d'Argan. Ainsi je vous préviens Qu'aujourd'hui je renonce à jouer dans le mien. Haut à Molière."")","('#la-moliere', 'Quant à moi je renonce à jouer dans le mien.')",1.0
"('#moliere', 'Madame, la Duparc emplira votre place : Elle sait votre rôle.')","('#moliere', 'Madame, la Duparc remplira votre place ; Elle sait votre rôle.')",0.9553200602531433
"('#la-moliere', ""Eh bien ! Qu'elle le fasse ! Qu'elle soit de vos maux et complice et témoin ! Ne pouvant l'empêcher, d'un plus utile soin Je me vais acquitter. On m'a dit la demeure Du Docteur Mauvilain."")","('#la-moliere', ""Eh bien ! Qu'elle le fasse ! Qu'elle soit de vos maux et complice et témoin ! Ne pouvant l'empêcher, d'un plus utile soin Je me vais acquitter : on m'a dit la demeure Du docteur Mauvillain."")",0.9554190039634705
"('#moliere', ""Qu'entends-je ?"")","('#moliere', ""Qu'entends-je ?"")",1.0000001192092896
"('#la-moliere', 'Dans une heure Et peut-être plus tôt vous le verrez ici.')","('#la-moliere', 'Dans une heure Et peut-être plus tôt, vous le verrez ici.')",0.9865803718566895
"('#moliere', ""Ma foi ! C'est me réduire à vous crier, merci. Un Médecin !... Ma femme ! Ô Ciel ! Quelle incartade N'est-ce donc pas assez pour moi d'être malade ? Se mettant à genoux d'un air grotesque et railleur."")","('#moliere', ""Ma foi ! C'est me réduire à vous crier merci. Un médecin ! Ma femme ! Ô ciel ! Quelle incartade N'est-ce donc pas assez pour moi d'être malade ? Se mettant à genoux d'un air grotesque et railleur."")",0.9553979635238647
"('#la-moliere', 'Vous avez beau railler.')","('#la-moliere', 'Vous avez beau railler.')",1.0
"('#moliere', 'Prenez pitié de moi.')","('#moliere', 'Prenez pitié de moi.')",0.9999999403953552
"('#la-moliere', ""Non, non ; un médecin... mais qu'est-ce que je vois ? Baron ! je ne saurais supporter sa présence. Sortons ; chez le Docteur allons en diligence."")","('#la-moliere', ""Non, non, un médecin... mais qu'est-ce que je vois ? Baron ! Je ne saurais supporter sa présence : Sortons ; chez le docteur allons en diligence."")",0.9764634370803833
"('#moliere', ""Qu'est-ce, mon cher Baron ? Vous paraissez rêveur."")","('#moliere', ""Qu'est-ce, mon cher Baron ? Vous paraissez rêveur. "")",0.9999997615814209
"('#baron', ""Ah ! J'ai sujet de l'être."")","('#baron', ""Ah ! J'ai sujet de l'être."")",1.0
