,quinault-isis,voltaire-pandore,Cost,Operation Type
51,"('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",,1.0,Insertion
52,"('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")","('#promethee', 'Ciel ! quelle épaisse nuit, quels éclats du tonnerre,  Détruisent les premiers instants  Des innocents plaisirs que possédait la terre !  Quelle horreur a troublé mes sens ! ')",0.58,Substitution
53,"('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",,1.0,Insertion
54,"('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")","('#pandore-promethee', ""La terre frémit, le ciel gronde :  Des éclairs menaçants  Ont percé la voûte profonde  De ces astres naissants.  Quel pouvoir ébranle le monde  Jusqu'en ses fondements ?  On voit descendre un char sur lequel sont Mercure, la Discorde, Némésis, etc. "")",0.35,Substitution
55,"('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")","('#mercure', 'Un héros téméraire a pris le feu céleste :  Pour expier ce vol audacieux,  Montez, Pandore, au sein des dieux. ')",0.71,Substitution
56,"('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",,1.0,Insertion
57,"('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",,1.0,Insertion
58,"('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")","('#promethee', 'Tyrans cruels ! ')",1.11,Substitution
59,"('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")","('#pandore', ""Ordre funeste !  Larmes que j'ignorais, vous coulez de mes yeux. "")",0.47,Substitution
60,"('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",,1.0,Insertion
