,quinault-cadmus-hermione,quinault-isis,Cost,Operation Type
87,"('#le-geant', ""Il faut que votre destinée Suive l'ordre du Dieu dont vous tenez le jour ; Et toujours l'hyménée Ne prends pas l'avis de l'Amour. Vous craignez les raisons dont je puis vous confondre ? Vous ne m'écoutez pas ? Voulez-vous m'éviter ?"")","('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",0.85,Substitution
88,"('#hermione', ""Quand on n'a rien à répondre, À quoi sert-il d'écouter ?"")","('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",0.99,Substitution
89,"('#le-geant', ""Je vous suivrai partout malgré votre colère, Sans cesse à vos regards je veux me présenter ; Et si ce n'est pas pour vous plaire, Ce sera pour vous tourmenter."")","('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",1.15,Substitution
90,,"('#jupiter', 'Quoi si tôt.')",1.0,Deletion
91,"('#cadmus', ""C'est trop l'abandonner à ce cruel supplice : Il est temps d'éclater, Et d'oser tout tenter Contre tant d'injustice."")","('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",1.35,Substitution
92,"('#premier-prince-tyrien', ""C'est exposer vos jours à d'horribles hasards, Vous aurez à dompter l'affreux dragon de Mars."")",,1.0,Insertion
93,"('#deuxieme-prince-tyrien', 'Il faut semer ses dents, et voir soudain la Terre En former des soldats pour vous faire la guerre.')","('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",1.5,Substitution
94,"('#les-deux-princes-tyriens', 'Voyez à quels dangers vous allez vous offrir.')",,1.0,Insertion
95,"('#cadmus', ""Je ne vois qu'Hermione, et je la vois souffrir : Tout cède à cette horreur extrême ; Il est moins affreux de mourir Que de voir souffrir ce qu'on aime. Rien ne me peut épouvanter : Malgré tant de périls, l'Amour veut que j'espère."")","('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.2,Substitution
96,"('#junon', ""Où vas-tu téméraire ? Où cours-tu te précipiter ? C'est l'épouse et la soeur du maître du tonerre, La mère du Dieu de la guerre, C'est Junon qui vient t'arrêter."")","('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",0.83,Substitution
97,"('#pallas', ""Va, Cadmus, que rien ne t'étonne, Va, ne crains ni Junon, ni le Dieu des Combats : Ose secourir Hermione, Tu vois dans ton parti la guerrière Pallas, Cours aux plus grands dangers, je vais suivre tes pas, C'est Jupiter qui me l'ordonne."")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",0.71,Substitution
98,"('#junon', ""Pallas pour les amants se déclare en ce jour ; Qui l'aurait jamais osé croire ?"")","('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",0.61,Substitution
99,"('#pallas', ""Qui peut être contre l'Amour Quand il s'accorde avec la gloire ?"")","('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.41,Substitution
100,"('#junon', 'Évite un courroux dangereux.')","('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",1.09,Substitution
101,"('#pallas', ""Profite d'un avis fidèle."")","('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.59,Substitution
102,"('#junon', 'Fuis un trépas affreux.')",,1.0,Insertion
103,"('#pallas', 'Cherche dans les périls une gloire immortelle.')",,1.0,Insertion
104,"('#cadmus', ""Entre deux déïtés qui suspendent mes voeux, Je n'ose résister à pas une des deux, Mais je suis l'Amour qui m'appelle."")","('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",0.6,Substitution
105,,"('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",1.0,Deletion
106,"('#junon', 'Je poursuivrai tes jours.')","('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",1.06,Substitution
107,"('#pallas', 'Je vole à ton secours. Junon et Pallas sont enlevées sur leurs chars.')",,1.0,Insertion
108,"('#arbas', ""Charite, il est trop vrai, Cadmus veut entreprendre De remettre Hermione en pleine liberté : Il l'a dit au tyran, et je viens de l'entendre !"")",,1.0,Insertion
109,"('#charite', ""Et que dit le géant ? N'est-il point irrité ?"")",,1.0,Insertion
110,"('#arbas', ""Il rit de sa témérité, Mon maître doit voir la Princesse Avant d'attaquer le dragon furieux qui veille pour garder ces lieux ; Et l'Amour qui pour toi me presse Veut que je vienne aussi te faire mes adieux. En te voyant, belle Charite, J'avais cru que l'Amour fût un plaisir charmant ; Mais lorsqu'il faut que je te quitte, J'éprouve qu'il n'est point un plus cruel tourment. La douleur me saisit, je ne puis plus rien dire ; Quand je pleure, quand je soupire, Tu ris, et rien n'émeut ton coeur indifférent ?"")","('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",0.81,Substitution
111,"('#charite', ""Tu fais la grimace en pleurant, Je ne puis m'empêcher de rire."")","('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.64,Substitution
112,"('#arbas', ""La pitié, tout au moins, devrait bien t'engager À prendre quelque part à mes ennuis extrêmes."")","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",1.16,Substitution
113,"('#charite', ""S'il est bien vrai que tu m'aimes, Pourquoi veux-tu m'affliger ?"")","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",1.1,Substitution
114,"('#arbas', ""Pour soulager mon coeur du chagrin qui le presse, Te coûterait-il tant de l'affliger un peu ?"")","('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",0.87,Substitution
115,"('#charite', ""C'est un poison que la tristesse, L'Amour n'est plus plaisant dès qu'il n'est plus un jeu."")",,1.0,Insertion
116,"('#arbas', ""On console un amant des rigueurs de l'absence Par des tendres adieux."")","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",0.52,Substitution
117,"('#charite', ""Quand il faut se quitter, un peu d'indifférence Console encore mieux."")","('#mercure', 'Que la feinte entre nous finisse')",1.13,Substitution
118,,"('#iris', 'Parlons sans mystère en ce jour;')",1.0,Deletion
119,,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.0,Deletion
120,"('#arbas', ""Tu me l'avais bien dit, qu'il était impossible Que ton barbare coeur perdit sa dureté."")","('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",1.48,Substitution
121,,"('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",1.0,Deletion
122,,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.0,Deletion
123,"('#charite', ""Au moins si tu te plains de me voir insensible, Tu dois être content de ma sincérité ; Puisqu'enfin pour te satisfaire Je ne puis pleurer avec toi ; Si tu voulais me plaire Tu rirais avec moi."")","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",0.6,Substitution
124,"('#arbas', ""C'est trop railler de mon martyre, Le dépit m'en doit délivrer ; N'est-on pas bien fou de pleurer Pour qui n'en fait que rire ?"")","('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",0.98,Substitution
125,,"('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')",1.0,Deletion
126,,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",1.0,Deletion
127,"('#charite', ""Guéris-toi, si tu peux, J'approuve ta colère ; Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")","('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")",1.06,Substitution
128,,"('#iris', 'Elle honore son maître et brille sous ses pas.')",1.0,Deletion
129,"('#charite #arbas', ""Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")","('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",0.73,Substitution
130,"('#arbas', 'Mais la nourrice vient, il me faut éloigner.')",,1.0,Insertion
131,"('#charite', ""Tu sais que tu lui plais, la veux-tu dédaigner ? C'est une conquête assez belle."")","('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")",1.42,Substitution
132,"('#arbas', 'Si je lui plais, tant pis pour elle.')","('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")",1.15,Substitution
133,"('#la-nourrice', ""Quoi ! Dès que je parais, tu fuis au même instant ? Lorsqu'on a des amis, est-ce ainsi qu'on les quitte ?"")",,1.0,Insertion
134,"('#arbas', ""Le temps presse, et Cadmus m'attend."")","('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",1.74,Substitution
135,"('#la-nourrice', ""Quand tu parlais seul à Charite, Le temps ne te pressait pas tant : Quel charme a-t-elle qui t'attire ? Qu'ai-je qui te fait en aller ?"")","('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")",0.45,Substitution
136,"('#arbas', ""J'avais à lui parler, Je n'ai rien à te dire. Je dois suivre Cadmus, nous partons de ce lieu."")","('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")",1.48,Substitution
137,"('#la-nourrice', 'Me dire adieu, du moins, est une bienséance Dont rien ne te dispense.')","('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')",1.52,Substitution
138,"('#arbas', 'Je te dis donc adieu.')","('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")",1.63,Substitution
139,"('#la-nourrice', ""Il me quitte, l'ingrat, il me fuit, l'infidèle ! Ne crains pas que je te rappelle ! Va, cours, je te laisse partir : Va, je n'ai plus pour toi qu'une haine mortelle : Puisses-tu rencontrer la mort la plus cruelle, Puisse le dragon t'engloutir."")","('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")",1.31,Substitution
140,,"('#jupiter', ""La fille d'Inachus."")",1.0,Deletion
141,"('#charite', ""Crois-moi, modère L'éclat de ta colère ; Un dépit qui fait tant de bruit Fait trop d'honneur à qui nous fuit."")","('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")",0.91,Substitution
142,"('#la-nourrice', ""Ah ! Vraiment je vous trouve bonne ? Est-ce à vous, peite Mignonne, De reprendre ce que je dis ? Attendez l'âge Où l'on est sage, Pour donner des avis."")","('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")",0.87,Substitution
143,,"('#junon', 'Junon commande Allez, allez, Mercure obéissez.')",1.0,Deletion
144,"('#charite', ""Je suis jeune, je le confesse, Trouves-tu ce défaut si digne de mépris ? N'a-t-on point de bons sens qu'en perdant la jeunesse ? Il serait bien cher à ce prix."")","('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")",1.1,Substitution
145,"('#la-nourrice', ""Le temps doit mûrir les esprits, Et c'est le fruit de la vieillesse."")","('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",1.05,Substitution
146,,"('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")",1.0,Deletion
147,"('#charite', ""Il n'est pas sûr que la sagesse Suive toujours les cheveux gris."")",,1.0,Insertion
148,"('#la-nourrice', ""Je souffre peu que l'on me blesse : Par des discours piquants Prétends-tu m'insulter sans cesse ?"")","('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")",1.17,Substitution
149,"('#charite', 'Je respecte trop tes vieux ans.  Mais Cadmus, et la Princesse, Viennent dans ces lieux ; Ne troublons pas leurs adieux.')","('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')",0.66,Substitution
150,,"('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")",1.0,Deletion
151,"('#cadmus', ""Je vais partir, belle Hermione, Je vais exécuter ce que l'Amour m'ordonne, Malgré le péril qui m'attend : Je veux vous délivrer, ou me perdre moi-même ; Je vous vois, je vous dit enfin que je vous aime, C'est assez pour mourir content."")","('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')",1.19,Substitution
152,"('#hermione', ""Ah ! Cadmus, pourquoi m'aimez-vous ? Pourquoi vouloir chercher une mort trop certaine ? Eh ! Que peut la valeur humaine Contre le dieu Mars en courroux ? Voyez en quels périls votre Amour nous entraîne ! J'aurais mieux aimer votre haine : Ah ! Cadmus, pourquoi m'aimez-vous ?"")","('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")",1.22,Substitution
153,"('#cadmus', ""Vous m'aimez, il suffit, ne soyez point en peine ? Mon destin, tel qu'il soit, ne peut être que doux."")","('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")",0.54,Substitution
154,"('#hermione', ""Vivons pour nous aimer, et cesser de poursuivre Le funeste dessein que vous avez formé : Il doit être bien doux de vivre, Lorsqu'on aime, et qu'on est aimé."")","('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")",0.81,Substitution
155,"('#cadmus', ""Sous une injuste loi je vous vois asservie ; Serait-ce vous aimer que le pouvoir souffrir ? Lorsque pour ce qu'on aime on s'expose à périr, La plus affreuse mort a de quoi faire envie."")","('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')",1.02,Substitution
156,"('#hermione', ""Mais vous ne songez pas qu'il y va de la vie : Faut-il que pour mes jours vous soyez sans effroi ? Je vivrais sous l'injuste loi Où mon cruel destin me livre. Mais si vous périssez pour moi, Je ne pourrai pas vous survivre."")","('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")",0.94,Substitution
157,,"('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",1.0,Deletion
158,"('#cadmus', ""J'ai besoin de secours, voulez-vous m'accabler ? Ah ! Princesse, est-il temps de me faire trembler ?"")","('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")",1.43,Substitution
159,"('#hermione', 'Soyez sensible à mes alarmes !')","('#argus', 'Non !')",1.74,Substitution
160,"('#cadmus', 'Je ne sens que trop vos douleurs.')","('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')",1.45,Substitution
161,,"('#argus', 'Non, non, on ne la doit point voir')",1.0,Deletion
162,,"('#hierax', 'Quoi ! Junon me devient contraire ?')",1.0,Deletion
163,,"('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")",1.0,Deletion
164,"('#hermione', 'Partirez-vous malgré mes pleurs ?')","('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")",1.11,Substitution
165,"('#cadmus', 'Il faut aller tarir la source de vos larmes.')","('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")",1.59,Substitution
166,"('#hermione', ""Quoi, vous m'allez quitter ?"")","('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")",1.48,Substitution
167,,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")",1.0,Deletion
168,"('#cadmus', 'Je vais vous secourir.')","('#hierax', 'Ô Dieux !')",1.8,Substitution
169,"('#hermione', 'Ah ! vous allez périr ! Vous cherchez une mort horrible ; Mon amour me dit trop que vous perdrez le jour.')","('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")",0.8,Substitution
170,"('#cadmus', ""L'Amour que j'ai pour vous ne croit rien d'impossible : Il me flatte en partant d'un bienheureux retour."")","('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")",0.37,Substitution
171,"('#hermione #cadmus', 'Croyez en mon amour,')",,1.0,Insertion
172,"('#hermione', ""Vous n'écoutez point ma tendresse, Rien ne vous retient ?"")","('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")",0.65,Substitution
173,"('#cadmus', 'Le temps presse.')",,1.0,Insertion
174,"('#hermione #cadmus', ""Au nom des plus beaux noeuds que l'Amour ait formés, Vivez, si vous m'aimez."")","('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')",1.2,Substitution
175,"('#cadmus', 'Espérons.')","('#argus', 'Liberté, liberté.')",0.69,Substitution
176,"('#hermione', ""Tout me désespère. Que je me veux de mal d'avoir trop sçû vous plaire !"")",,1.0,Insertion
177,"('#hermione #cadmus', ""Qu'un tendre amour coûte d'ennuis !"")","('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')",1.88,Substitution
178,"('#hermione', 'Vous fuyez ?')","('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')",1.8,Substitution
179,"('#cadmus', 'Il le faut.')","('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")",1.63,Substitution
180,"('#hermione', 'Demeurez ?')","('#hierax #argus', 'Que voulez-vous ?')",0.39,Substitution
181,,"('#choeur-des-nymphes', 'Liberté, liberté.')",1.0,Deletion
182,,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")",1.0,Deletion
183,,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")",1.0,Deletion
184,,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",1.0,Deletion
185,,"('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")",1.0,Deletion
186,"('#cadmus', ""Je ne puis, Je m'affaiblis plus je diffère ; Il faut m'arracher de ce lieu."")","('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")",1.08,Substitution
187,"('#hermione', 'Ah ! Cadmus !')","('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")",1.33,Substitution
188,,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")",1.0,Deletion
189,"('#cadmus', 'Hermione !')",,1.0,Insertion
190,"('#hermione #cadmus', 'Adieu.')","('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")",1.73,Substitution
191,"('#hermione', ""Amour, vois quels maux tu nous fais, Où sont les biens que tu promets ; N'as-tu point pitié de nos peines ? Tes rigueurs les plus inhumaines Seront-elles toujours pour les plus tendres coeurs ? Pour qui, cruel Amour, gardes-tu tes douceurs ?"")","('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")",0.52,Substitution
192,"('#l-amour', ""Calme tes déplaisirs, dissipe tes alarmes, L'Amour vient essuyer tes larmes, Il n'abandonne pas ceux qui suivent ses lois. Souviens-toi que tout m'est possible : Que rien à mon abord ne demeure insensible ? Que pour la divertir tout s'anime à ma voix ? Cessez de vous plaindre De souffrir en aimant ; Amants, vous devez ne rien craindre, Si vous souffrez, votre prix est charmant. Après des rigueurs inhumaines On aime sans peines, On rit des jaloux ; Un bien plein de charmes Qui coûte des larmes, En devient plus doux. Tout doit rendre hommage À l'Empire amoureux ; Il faut tôt ou tard qu'on s'engage, Sans rien aimer on ne peut être heureux. Après des rigueurs inhumaines, etc... Amours, venez semer mille fleurs sous ses pas. Des statues d'or sont animées par l'Amour et sautent de leur piédestaux pour danser. L'Amour descend et vient chanter au milieu des statues animées. Second couplet. L'amour reprend sa place sur le nuage qui l'a apporté, les statues se remettent sur leurs piédestaux, tandis que dix petits amours d'or, qui tiennent des corbeilles pleines de fleurs, sont à leur tour animés par l'Amour, et viennent par son ordre jeter des fleurs en volant autour d'Hermione."")","('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')",0.33,Substitution
193,"('#hermione', ""Laissez-moi ma douleur, j'y trouve des appas. Dans l'horreur d'un péril extrême, Est-ce là le secours que l'on me doit offrir ? Peut-être ce que j'aime Est tout prêt de périr."")","('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")",0.7,Substitution
194,"('#l-amour', 'Je vais le secourir.')","('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")",1.47,Substitution
195,"('#premier-prince-tyrien', 'Tu détournes bien tes regards ?')",,1.0,Insertion
196,"('#deuxieme-prince-tyrien', 'As-tu peur du dragon de Mars ?')",,1.0,Insertion
197,"('#arbas', 'La défiance est nécessaire, Il est bon de prévoir un fâcheux accident, On ne doit point marcher ici en téméraire.')","('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")",1.03,Substitution
198,"('#premier-prince-tyrien', ""C'est très bien fait d'être prudent."")",,1.0,Insertion
199,"('#arbas', ""Je suis hardi quand il faut l'être ; Si quelqu'un en doutait, il pourrait le connaître."")","('#pan', ""Dissipez de vaines alarmes, Éprouvez l'amour et ses charmes Connaissez les plus doux appas. Non, ce ne peut être  que faute de la connaître Qu'il ne vous plaît pas."")",1.58,Substitution
200,"('#deuxieme-prince-tyrien', ""Qui voudrait s'attaquer à toi ?"")",,1.0,Insertion
201,"('#premier-prince-tyrien', 'On te croit vaillant sur ta foi. Mais la couleur de ton visage Répond mal à ta valeur !')",,1.0,Insertion
202,"('#arbas', ""Est-ce par la couleur Que l'on doit juger du courage ?"")","('#syrinx', ""Les maux d'autrui me rendront sage. Ah ! Quel malheur  De laisser engager son coeur ! Pourquoi faut-il le plus beau de son âge Dans une mortelle langueur ? Ah, quel malheur !  Pourquoi n'avoir pas le courage De s'affranchir de la rigueur D'un funeste esclavage ? Ah ! Quel malheur De laisser engager son coeur !"")",1.33,Substitution
203,"('#deuxieme-prince-tyrien', 'Que tes sens paraissent troublés ! Tu trembles ?')",,1.0,Insertion
204,"('#arbas', ""C'est qu'il vous le semble : Chacun croit que l'on lui ressemble, C'est peut-être vous qui tremblez ? Que maudit soit l'Amour funeste Qui nous fait tant souffrir dans ce malheureux jour ! On se soulage quand on peste, Et l'on ne saurait trop pester contre l'Amour."")","('#pan', ""Ah ! Quel dommage Que vous ne sachiez pas aimer ! Que vous sert-il d'avoir tant d'attraits en partage, Si vous en négligez le plus grand avantage ? Que vous sert-il de savoir tout charmer ? Ah, quel dommage Que vous ne sachiez pas aimer !"")",0.35,Substitution
205,,"('#choeurs', 'Aimons sans cesse.')",1.0,Deletion
206,"('#les-deux-princes #arbas', ""Gardons-nous bien d'avoir envie D'être jamais amoureux : De tous les maux de la vie L'Amour est le plus dangereux."")","('#choeur-des-nymphes', ""N'aimons jamais."")",0.43,Substitution
