id,Name,id_similar,Name_similar,Intersection,Matching weight,Distances,Renamings,Percent of matches,Average cost of operations
fre000322,corneillep-andromede,fre001176,quinault-isis,"[""melpomene"", ""lechoeur"", ""neptune"", ""junon"", ""mercure"", ""jupiter""]",0.03568716780561883,322.67124350504446,"{('eole1', 'argus2'), ('cassiope1', 'io2'), ('junon1', 'la-furie2'), ('cydippe1', 'choeur-de-silvains satyres bergers2'), ('andromede1', 'jupiter2'), ('cephee1', 'hierax2'), ('persee1', 'pan2'), ('jupiter1', 'jupiter junon2'), ('page1', 'mercure2'), ('melpomene1', 'deux-tritons2'), ('phinee1', 'junon2'), ('timante1', 'iris2'), ('cymodoce1', 'choeur-des-nymphes2'), ('soleil1', 'la-renommee2'), ('neptune1', 'choeur peuples egypte2'), ('le-choeur1', 'syrinx2'), ('venus1', 'isis2'), ('ammon1', 'le-choeur2'), ('page liriope1', 'mercure iris2')}",0.017543859649122806,0.9435964912280703
fre000322,corneillep-andromede,fre001178,quinault-persee,"[""cassiope"", ""persee"", ""cephee"", ""phinee"", ""lechoeur"", ""venus"", ""andromede"", ""mercure""]",0.03785011355034065,273.1750212907791,"{('phinee1', 'cephee cassiope ethiopiens2'), ('junon1', 'cassiope cephee2'), ('voix1', 'les-choeurs2'), ('phorbas1', 'cephee cephee leurs-suites2'), ('aglante1', 'merope2'), ('le-choeur1', 'meduse2'), ('persee1', 'mercure2'), ('liriope1', 'amphimedon2'), ('ammon1', 'nereides tritons2'), ('page liriope1', 'cassiope2'), ('neptune1', 'venus2'), ('melpomene1', 'megathyme2'), ('cymodoce1', 'meduse euryale stenone2'), ('cephee1', 'andromede2'), ('cephalie1', 'andromede phinee2'), ('melpomene soleil1', 'phronime megathyme2'), ('mercure1', 'phinee sa-suite2'), ('soleil1', 'la-vertu2'), ('andromede1', 'phinee2'), ('page1', 'merope andromede phinee2'), ('cassiope1', 'le-choeur2'), ('jupiter1', 'persee2'), ('timante1', 'cephee2')}",0.032467532467532464,0.8867207792207791
fre000324,corneillep-cid,fre000325,corneillep-cid-37,"[""chimene"", ""elvire"", ""linfante"", ""leonor"", ""page"", ""lecomte"", ""dondiegue"", ""donrodrigue"", ""donarias"", ""donfernand"", ""donsanche"", ""donalonse""]",0.9027431421446384,21.876912117004398,"{('leonor1', 'leonor2'), ('don-rodrigue1', 'don-rodrigue2'), ('don-diegue1', 'don-diegue2'), ('le-comte1', 'le-comte2'), ('don-fernand1', 'don-fernand2'), ('don-arias1', 'don-arias2'), ('page1', 'page2'), ('don-alonse1', 'don-alonse2'), ('chimene1', 'chimene2'), ('elvire1', 'elvire2'), ('don-sanche1', 'don-sanche2'), ('l-infante1', 'l-infante2')}",0.9342105263157895,0.05755263157894738
fre000326,corneillep-cinna,fre000327,corneillep-cinna-43,"[""emilie"", ""fulvie"", ""cinna"", ""evandre"", ""auguste"", ""maxime"", ""euphorbe"", ""polyclete"", ""livie""]",1.0,4.178487365896052,"{('cinna1', 'cinna2'), ('euphorbe1', 'euphorbe2'), ('livie1', 'livie2'), ('emilie1', 'emilie2'), ('evandre1', 'evandre2'), ('maxime1', 'maxime2'), ('polyclete1', 'polyclete2'), ('fulvie1', 'fulvie2'), ('auguste1', 'auguste2')}",0.9723502304147466,0.019262672811059908
fre000334,corneillep-medee,fre000335,corneillep-medee-39,"[""pollux"", ""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon"", ""aegee"", ""theudas""]",0.7266187050359713,9.160609050230548,"{('medee1', 'medee2'), ('cleone1', 'cleone2'), ('theudas1', 'theudas2'), ('jason1', 'jason2'), ('aegee1', 'aegee2'), ('pollux1', 'pollux2'), ('nerine1', 'nerine2'), ('creuse1', 'creuse2'), ('creon1', 'creon2')}",0.9342723004694836,0.04295774647887323
fre000334,corneillep-medee,fre000381,corneillet-medee,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.04296545914069082,225.34960014169863,"{('medee1', 'medee2'), ('nerine1', 'oronte2'), ('aegee1', 'amour2'), ('pollux1', 'le-choeur2'), ('jason1', 'jason2'), ('creuse1', 'creuse2'), ('creon1', 'creon2')}",0.03202846975088968,0.8019928825622776
fre000335,corneillep-medee-39,fre000381,corneillet-medee,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.03713080168776371,228.23109517314214,"{('theudas1', 'creuse2'), ('medee1', 'medee2'), ('nerine1', 'oronte2'), ('aegee1', 'amour2'), ('pollux1', 'le-choeur2'), ('jason1', 'jason2'), ('creuse1', 'trois-captifs2'), ('creon1', 'creon2')}",0.056338028169014086,0.8037323943661971
fre000336,corneillep-melite,fre000337,corneillep-melite-33,"[""eraste"", ""melite"", ""philandre"", ""cloris"", ""cliton"", ""lanourrice"", ""lisis""]",0.4423828125,87.56805289875379,"{('melite1', 'melite2'), ('la-nourrice1', 'la-nourrice2'), ('eraste1', 'eraste2'), ('lisis1', 'lisis2'), ('cliton1', 'cliton2'), ('philandre1', 'philandre2'), ('cloris1', 'cloris2'), ('tircis1', 'tirsis2')}",0.8011363636363636,0.1658522727272727
fre000356,corneillep-veuve,fre000357,corneillep-veuve-34,"[""alcidon"", ""philiste"", ""lanourrice"", ""chrysante"", ""doris"", ""geron"", ""clarice"", ""celidan"", ""polymas"", ""doraste"", ""lycas"", ""listor""]",0.7248908296943232,40.31638340516524,"{('celidan1', 'celidan2'), ('la-nourrice1', 'la-nourrice2'), ('listor1', 'listor2'), ('polymas1', 'polymas2'), ('alcidon1', 'alcidon2'), ('lycas1', 'lycas2'), ('geron1', 'geron2'), ('clarice1', 'clarice2'), ('doraste1', 'doraste2'), ('philiste1', 'philiste2'), ('chrysante1', 'chrysante2'), ('doris1', 'doris2')}",0.9146110056925996,0.07647058823529412
fre000366,corneillet-circe,fre001168,quinault-cadmus-hermione,"[""mars"", ""lamour"", ""tousensemble"", ""melisse"", ""venus"", ""lesoleil"", ""jupiter""]",0.03213507625272331,574.9159178571263,"{('tircis1', 'hermione cadmus2'), ('palemon1', 'deuxieme-prince-tyrien2'), ('asterie1', 'premier-prince-tyrien2'), ('faune dryade1', 'le-choeur-des-sacrificateurs2'), ('la-fortune1', 'pales2'), ('jupiter1', 'l-amour2'), ('mars1', 'melisse2'), ('premier-satyre1', 'les-deux-princes-tyriens2'), ('glaucus1', 'cadmus2'), ('dorine1', 'charite2'), ('celie1', 'arbas africains2'), ('le-soleil1', 'le-grand-sacrificateur2'), ('l-amour1', 'l-envie2'), ('choeur-de-divinites1', 'arbas la-nourrice2'), ('la-comedie la-musique un-art1', 'pales melisse2'), ('tous-ensemble1', 'le-choeur2'), ('melicerte1', 'la-nourrice2'), ('la-renommee1', 'pan2'), ('silla1', 'l-amour cadmus2'), ('florise1', 'pallas2'), ('silvie1', 'hermione2'), ('choeur-des-divinites1', 'tous-les-choeurs2'), ('neptune1', 'l-hymen2'), ('circe1', 'arbas2'), ('second-satyre1', 'junon2'), ('la-musique1', 'le-soleil2')}",0.015202702702702704,0.9712162162162161
