,quinault-comedie-sans-comedie,quinault-docteur-de-verre,Cost,Operation Type
181,"('#filene', ""Quand près de ce hameau Quelqu'un de mes moutons se mêle à son troupeau, La Bergère le flatte, et puis me le demande."")",,1.0,Insertion
182,"('#dafnis', ""Une faveur semblable à mon sens n'est pas grande, Je veux fort volontiers te céder en ce point, On peut aimer le bien d'un que l'on n'aime point."")",,1.0,Insertion
183,"('#filene', ""Sitôt qu'elle me voit par un heureux présage, Une couleur de feu paraît sur son visage : La blancheur de son teint qui ferait honte aux lys, Se change en la rougeur des oeillets frais cueillis."")",,1.0,Insertion
184,"('#dafnis', 'Ce changement fait voir que ton attente est vaine, Un visage enflammé ne témoigne que haine.')",,1.0,Insertion
185,"('#filene', 'Si durant son repas je viens sans y songer, La belle à mon abord perd le soin de manger.')",,1.0,Insertion
186,"('#dafnis', 'De même la brebis qui voit le loup paraître, À son funeste abord quitte le soin de paître.')",,1.0,Insertion
187,"('#filene', ""Lorsque je la rencontre au bord d'un clair ruisseau La Bergère se joue à me jeter de l'eau, Ces privautés font voir que j'ai l'heur de lui plaire, Tu le dois avouer."")",,1.0,Insertion
188,"('#dafnis', ""Je soutiens le contraire, Tu ne dois présager rien de bon de ce jeu : Elle jette cette eau pour éteindre ton feu, Et pour tâcher de mettre en imitant Diane, Le timbre d'Actéon dessus ton front profane."")",,1.0,Insertion
189,"('#filene', ""Ton esprit mal tourné conçoit tout à rebours : Mais tu n'es pas du moins si bien dans tes amours. Dis-moi quelle faveur t'a fait cette bergère ?"")",,1.0,Insertion
190,"('#dafnis', ""Un causeur comme toi dirait ce qu'il faut taire, Je cacherai bien mieux nos amoureux secrets ; Les vrais amants surtout doivent être discrets."")",,1.0,Insertion
191,"('#filene', 'Quoi tu ne diras rien ?')",,1.0,Insertion
192,"('#dafnis', ""Je ne dois rien t'apprendre."")",,1.0,Insertion
193,"('#filene', ""Mais tu me l'as promis ?"")",,1.0,Insertion
194,"('#dafnis', ""J'ai promis de t'entendre."")",,1.0,Insertion
195,"('#filene', ""Quoi j'aurais cet affront ?"")",,1.0,Insertion
196,"('#dafnis', ""Sans s'emporter si fort Réservons à Clomire à nous mettre d'accord : Consultons sur son choix cette beauté si chère, Et cédons à celui qu'à l'autre elle préfère."")",,1.0,Insertion
197,"('#filene', 'Suivras-tu son arrêt ?')",,1.0,Insertion
198,"('#dafnis', 'Oui fût-il contre moi.')",,1.0,Insertion
199,"('#filene', ""Tu dois t'en assurer : avançons je la vois ?"")",,1.0,Insertion
200,"('#dafnis', 'Où courez-vous beauté qui causez nos martyres, Craignez-vous quelque chose ?')",,1.0,Insertion
201,"('#clomire', ""Oui je crains deux satyres, Ils m'ont longtemps suivie et c'est ce que je fuis ?"")",,1.0,Insertion
202,"('#filene', ""Vous n'avez rien à craindre aux endroits où je suis. Jugez d'un différent dont à fort juste titre Tous deux conjointement nous vous rendons arbitre ; De vos divins appas l'un et l'autre est charmé, Jugez qui de nous deux mérite d'être aimé."")",,1.0,Insertion
203,"('#clomire', ""Ce que vous demandez me met beaucoup en peine, Je n'ai pour nul de vous ni passion, ni haine : Dites-moi vos raisons et tout considéré, Je verrai qui de vous doit être préféré."")",,1.0,Insertion
204,"('#filene', 'Mon bonheur...')",,1.0,Insertion
205,"('#dafnis', 'Mon espoir...')",,1.0,Insertion
206,"('#filene', 'Est certain...')",,1.0,Insertion
207,"('#dafnis', 'Diminue.')",,1.0,Insertion
208,"('#clomire', ""Filène a commencé, souffrez qu'il continue."")",,1.0,Insertion
209,"('#filene', ""Mon bonheur est certain puisque vous m'écoutez, Comme vos yeux, votre âme a beaucoup de clartés, Je vais puisque votre ordre ici m'en sollicite, Pour gagner votre choix parler de mon mérite : Et pour mille raisons je suis fort assuré Qu'à ce faible rival je serai préféré."")",,1.0,Insertion
210,"('#dafnis', ""Mon espoir diminue et tout me désespère, S'il faut par le mérite aspirer à vous plaire : Rien n'est digne de vous ; et pour plaire en ce jour Je n'ai point de raison, je n'ai que de l'amour."")",,1.0,Insertion
211,"('#filene', ""Jugez combien sur moi votre puissance est forte De m'avoir fait aimer après Dorise morte ! J'avais juré cent fois de n'être plus amant, Mais vos beaux yeux m'ont fait violer mon serment !"")",,1.0,Insertion
212,"('#dafnis', ""Je n'ai jamais brûlé que de la seule flamme, Que vos regards charmants ont portée en mon âme : Qui peut aimer deux fois, fait douter de sa foi, Mon amour doit durer et finir avec moi : Et comme votre soeur, si vous faisiez naufrage, Ma mort m'empêcherait d'être jamais volage."")",,1.0,Insertion
213,"('#filene', 'La bienséance encor porte à me choisir, Vos plus proches parents approuvent mon désir.')",,1.0,Insertion
214,"('#dafnis', ""Si j'obtiens votre choix par un bonheur extrême, Je ne veux de ce bien rien devoir qu'à vous-même."")",,1.0,Insertion
215,"('#filene', ""Vous aurez de la gloire à m'avoir pour époux, La race dont je sors est célèbre entre nous."")",,1.0,Insertion
216,"('#dafnis', ""La race dont je sors n'a jamais eu de lustre ; Mais si vous y passez, vous la rendrez illustre. La gloire qu'il promet, doit peu vous émouvoir, C'est à vous d'en donner et non d'en recevoir !"")",,1.0,Insertion
217,"('#filene', ""Je n'ai point de défauts dignes de votre haine, Je me vis l'autre jour encor dans la fontaine : J'eus lieu sans vanité d'être assez satisfait Et ne m'y trouvai point trop laid, ni trop mal fait."")",,1.0,Insertion
218,"('#dafnis', ""Ma laideur à mes voeux n'est pas ce qui s'oppose, Si je suis sans beauté, vous en êtes la cause ! Nous sommes d'un même âge et je crois justement Que nous fûmes formés dans le même moment ! La Nature voulant faire un chef-d'oeuvre rare, De ses plus riches dons ne vous fut point avare ! Et l'ingrate de moi ne se souvint qu'alors Qu'elle eut pour votre gloire épuisé ses trésors ! Pour vous être propice elle me fut cruelle : Et je serais mieux fait si vous étiez moins belle ?"")",,1.0,Insertion
219,"('#filene', ""Il en ferait bien croire à des esprits mal faits, Il n'a que des discours et moi j'ai des effets : Si vous aimez le bien, le sort m'a fait la grâce Qu'en richesse en ces lieux aucun ne me surpasse : J'ai des maisons au bourg, j'ai des troupeaux aux champs, Je fais fendre la terre à vingt coutres tranchants : J'ai tant de biens qu'enfin le compte en importune, Soyez-moi favorable ainsi que la Fortune."")",,1.0,Insertion
220,"('#dafnis', ""La Fortune jamais ne fait rien justement, Sa haine ou sa faveur est sans discernement : Votre sens est trop bon, pour avoir la pensée De suivre en votre choix celui d'une insensée, Elle hait les vertus et vous en faites cas, Enfin elle est aveugle, et vous ne l'êtes pas."")",,1.0,Insertion
221,"('#filene', ""Si votre choix me donne ici la préférence, Vous verrez des effets de ma reconnaissance : Je vous promets un daim par mes soins élevé, Que j'ai pour vous offrir jusqu'ici conservé."")",,1.0,Insertion
222,"('#dafnis', ""D'aucune offre pour moi je ne fais mon refuge, C'est à qui se sent faible, à corrompre son juge : Je ne vous promets rien jugeant en ma faveur, Je n'ai rien à donner, ayant donné mon coeur."")",,1.0,Insertion
223,"('#clomire', ""Il faut que s'il se peut tous deux, je vous contente, Vous Filène, pour prix de votre amour constante De mon chapeau de fleurs couronnez votre front."")",,1.0,Insertion
224,"('#filene', 'Ô Faveur trop charmante !')",,1.0,Insertion
225,"('#dafnis', 'Ô trop sensible affront !')",,1.0,Insertion
226,"('#clomire', 'Vous, faites-moi Dafnis don de votre guirlande ? Je prétends la porter.')",,1.0,Insertion
227,"('#dafnis', 'Ciel que ma gloire est grande !')",,1.0,Insertion
228,"('#clomire', 'Adieu.')",,1.0,Insertion
229,"('#dafnis', 'Je vous suis ?')",,1.0,Insertion
230,"('#clomire', 'Non, je crains peu de dangers, À cette heure partout on trouve des bergers.')",,1.0,Insertion
231,"('#filene', 'Sais-tu bien maintenant qui plaît à la bergère ?')",,1.0,Insertion
232,"('#dafnis', 'Je le dois bien savoir, sa réponse est fort claire.')",,1.0,Insertion
233,"('#filene', 'Puisque de son vouloir chacun est éclairci, Suivons donc notre accord.')",,1.0,Insertion
234,"('#dafnis', ""Je l'entends bien ainsi."")",,1.0,Insertion
235,"('#filene', ""Laisse-moi l'aimer seul, comme elle le désire !"")",,1.0,Insertion
236,"('#dafnis', ""Crois-moi ne raille point, tu n'as pas lieu de rire, Change et cherche autre part des traitements meilleurs."")",,1.0,Insertion
237,"('#filene', ""Comment, c'est toi qui dois chercher fortune ailleurs ?"")",,1.0,Insertion
238,"('#dafnis', ""C'est moi seul que Clomire a témoigné qu'elle aime."")",,1.0,Insertion
239,"('#filene', ""Ne fais point l'ignorant ?"")",,1.0,Insertion
240,"('#dafnis', 'Ne le fais point toi-même !')",,1.0,Insertion
241,"('#filene', ""Suivant le sens commun, qui m'offre de son bien, Doit m'aimer beaucoup plus que s'il m'ôtait du mien."")",,1.0,Insertion
242,"('#dafnis', ""Sur celui qui reçoit, qui donne a l'avantage, Qui donne ne doit rien, et qui reçoit s'engage ?"")",,1.0,Insertion
243,"('#filene', ""Quand le Dieu_Pan nous aime, on connaît pourtant bien Qu'il nous fait des faveurs et ne nous ôte rien."")",,1.0,Insertion
244,"('#dafnis', 'Quand le Dieu_Pan nous aime, il reçoit notre offrande Du même air dont Clomire a reçu ma guirlande.')",,1.0,Insertion
245,"('#filene', ""L'avantage sur toi clairement m'est donné, Comme vainqueur enfin suis-je pas couronné ?"")",,1.0,Insertion
246,"('#dafnis', ""C'est à tort sur ce point que ton esprit me brave, J'ai les marques de maître et toi celles d'esclave ? Nos guirlandes de fleurs ne sont que des liens, Les miens serrent Clomire et tu portes les siens."")",,1.0,Insertion
247,"('#filene', ""Ta guirlande était verte et selon l'apparence Elle veut te l'ôtant, te priver d'espérance."")",,1.0,Insertion
248,"('#dafnis', ""Par là de mon bonheur elle veut m'assurer, Ayant gagné son coeur, que pourrais-je espérer ? Le succès fait cesser l'espoir qui le précède Et l'on n'espère plus un bien que l'on possède ; Mais adieu, si tu vois Clomire une autre fois, Tu pourras à ta honte apprendre mieux son choix !"")",,1.0,Insertion
249,"('#filene', ""Nous nous trompons tous deux, un faux bien nous amuse, Loin de nous éclaircir Clomire nous abuse. Et ne se trouvant pas d'un mérite commun, Pour garder deux amants veut n'en choisir pas un : Dorise dont mon coeur révère encor les cendres Avait des sentiments plus justes et plus tendres ! Je la devais aimer même après son trépas Ou plutôt je devais ne la survivre pas ! Mais quoi ! Je crois sentir le sommeil qui me presse, Son charme avec mes sens assoupit ma tristesse ! Ô Ciel n'aurai-je point d'autre bien dans mon sort, Que celui qui me vient du frère de la Mort ! Il s'endort."")",,1.0,Insertion
250,"('#selvage', 'Je vois notre rival qui dort sous ces feuillages, Donnons dessus.')",,1.0,Insertion
251,"('#forestan', ""Tout beau, prenons nos avantages, Et pour à son réveil rendre ses efforts vains : Occupons-nous d'abord à lui lier les mains."")",,1.0,Insertion
252,"('#selvage', 'Fort bien.')",,1.0,Insertion
253,"('#montan', 'Filène est seul, approchez sans rien craindre, Je vais me retirer pour ne vous pas contraindre. Il se retire.')",,1.0,Insertion
254,"('#dorise', 'Courons à la vengeance, il faut à cet instant Porter le coup mortel à ce coeur inconstant, Avançons, mais que vois-je ? On attente à sa vie ! Lâches retirez-vous ; ou craignez ma furie.')",,1.0,Insertion
255,"('#filene', ""Ciel où suis-je et qu'entends-je !"")",,1.0,Insertion
256,"('#selvage', 'Évitons son courroux, Nous ne pouvons ici rien gagner que des coups.')",,1.0,Insertion
257,"('#dorise', 'Ils sont bien loin, souffrez que ma main vous délie, Berger vous êtes libre.')",,1.0,Insertion
258,"('#filene', 'Oui je vous dois la vie ! Et je borne à présent mes souhaits les plus doux À trouver les moyens de la perdre pour vous !')",,1.0,Insertion
259,"('#dorise', ""Traître il en faut trouver les moyens tout à l'heure, Défends-toi si tu peux ?"")",,1.0,Insertion
260,"('#filene', ""Non il faut que je meure ! Si vous voulez ma vie, il faut vous contenter. La main dont je la tiens, a droit de me l'ôter !"")",,1.0,Insertion
261,"('#dorise', ""Je veux te l'arracher plutôt que te la prendre ; Et tu m'obligeras si tu l'oses défendre !"")",,1.0,Insertion
262,"('#filene', ""Non je m'offre à vos coups ; mais quel prodige ô Cieux ! Vois-je pas de Dorise et les traits et les yeux ?"")",,1.0,Insertion
263,"('#dorise', ""J'en ai les mêmes traits ; mais non pas la même âme, C'est au lieu de l'amour le dépit qui m'enflamme ; Je suis Dorise enfin ; mais Dorise en fureur, Qui veut non te gagner ; mais t'arracher le coeur."")",,1.0,Insertion
264,"('#filene', ""Hé bien contentez-vous ; ma perte est légitime ! Mon repentir est grand ; mais bien moins que mon crime ! Mon coeur perdant l'espoir d'oser vivre pour vous, Met son bonheur dernier à mourir de vos coups ! Frappez donc !"")",,1.0,Insertion
265,"('#dorise', ""C'est en vain, que le dépit m'en presse Je n'en ai pas la force, ingrat, je le confesse !"")",,1.0,Insertion
266,"('#filene', ""Je ne dois pas mourir d'une si belle main Mon bras doit me punir !"")",,1.0,Insertion
267,"('#dorise', 'Non, arrête inhumain ! Je hais Filène ingrat ; mais malgré ma colère ; Filène repentant ne me saurait déplaire.')",,1.0,Insertion
268,"('#filene', ""C'est traiter un perfide avec trop de douceur ; Mais qui fait à la hâte avancer votre soeur ?"")",,1.0,Insertion
269,"('#clomire', ""A-t-on jamais parlé d'une telle insolence ? Deux satyres affreux avecque violence Ici près à l'instant auraient su m'enlever Sans Dafnis que les Dieux ont fait lors arriver !"")",,1.0,Insertion
270,"('#dafnis', 'Bergère assurez-vous, ces lâches sont en fuite.')",,1.0,Insertion
271,"('#clomire', ""À quel malheur sans vous aurais-je été réduite ! Ma vie et mon honneur ne sont dûs qu'à vos soins Et me donnant à vous, je ne vous dois pas moins."")",,1.0,Insertion
272,"('#dafnis', ""Vous ne me devez rien, Bergère incomparable ! À qui fait son devoir, on n'est point redevable : Et je reçois de vous cet excès de bonté Comme on reçoit un bien qu'on n'a pas mérité ; Mais de dépit Filène en va perdre la vie."")",,1.0,Insertion
273,"('#filene', ""Je ne sais qui de nous est plus digne d'envie. Cet adorable objet qui me promet sa foi, Me rend autant heureux et plus content que toi."")",,1.0,Insertion
274,"('#clomire', ""Mais comment d'un Berger votre âme est-elle éprise ?"")",,1.0,Insertion
275,"('#dorise', ""Sous l'habit de Berger reconnaissez Dorise."")",,1.0,Insertion
276,"('#clomire', ""Ma soeur Dorise, ô Ciel ! Quel miracle nouveau A pu défendre aux flots d'être votre tombeau."")",,1.0,Insertion
277,"('#dafnis', ""En ces lieux à présent le soleil importune, Allons dans le logis apprendre sa fortune, Et nous préparer tous pour le bienheureux jour Où l'hymen doit enfin couronner notre amour."")",,1.0,Insertion
278,"('#isabelle', ""Ma lettre est achevée et c'est à toi de prendre Le soin de la donner en main propre à Tersandre, Tu sais que cet écrit l'invite à s'opposer Aux desseins du Docteur qui me doit épouser : Si mon Père en sortant venait à te surprendre, Souviens-toi du secret que je viens de t'apprendre."")","('#isabelle', ""Ma lettre est achevée, et c'est à toi de prendre Le soin de la donner en main propre à Tersandre. Tu sais que cet écrit l'invite à s'opposer Aux desseins du Docteur qui me doit épouser. Si mon père, en sortant, venait à te surprendre, Souviens-toi du secret que je viens de t'apprendre."")",0.0,Match
279,"('#marine', ""Il suffit, j'ai su l'art dès mes plus jeunes ans D'en donner à garder aux vieillards défiants."")","('#marine', ""Il suffit ; j'ai su l'art, dès mes plus jeunes ans, D'en donner à garder aux vieillards défiants. La Fleur se place sur un siège au coin du théâtre."")",0.0,Match
280,"('#isabelle', ""Écoute encor deux mots, songe bien à lui dire Que hier il eut grand tort de manquer de m'écrire, Que de mon triste hymen l'empressement s'accroît Et qu'en son peu de soin, son peu d'amour paraît."")","('#isabelle', ""Écoute encor deux mots songe bien à lui dire, Qu'hier il eut grand tort de manquer de m'écrire, Que de mon triste hymen l'empressement s'accroît, Et qu'en son peu de soin son peu d'amour paraît."")",0.0,Match
281,"('#marine', ""Rentrez, il ne faut pas m'en dire davantage."")","('#marine', ""Rentrez ; il ne faut pas m'en dire davantage."")",0.0,Match
282,"('#isabelle', 'Surtout sonde-le bien touchant mon mariage. Isabelle rentre.')","('#isabelle', 'Surtout, sonde-le bien touchant mon mariage. Isabelle rentre.')",0.0,Match
283,"('#marine', ""Allez, pour réussir dans ces commissions Je n'ai pas grand besoin de vos instructions : Sortons vite, ah j'entends notre vieillard qui crache ! Je porte ce billet et crains qu'il ne le sache, S'il l'attrape en mon sein, il sera bien subtil."")","('#marine', ""Allez, pour réussir dans ces commissions, Je n'ai pas grand besoin de vos instructions. Sortons vite. Ah ! J'entends notre vieillard qui crache ; Je porte ce billet, et crains qu'il ne le sache S'il l'attrape en mon sein, il sera bien subtil."")",0.0,Match
284,"('#panfile', 'Marine écoute un mot ?')","('#panfile', 'Marine, écoute un mot.')",0.0,Match
285,"('#marine', 'Monsieur que vous plaît-il ?')","('#marine', 'Monsieur, que vous plaît-il ?')",0.0,Match
286,"('#panfile', ""Tu sais fort bien qu'en toi j'ai confiance entière, Dis-moi que fait ma fille ?"")","('#panfile', ""Tu sais fort bien qu'en toi j'ai confiance entière : Dis-moi, que fait ma fille ?"")",0.0,Match
287,"('#marine', 'Elle fait sa prière.')","('#marine', 'Elle fait sa prière.')",0.0,Match
288,"('#panfile', ""Vraiment j'en suis fort aise, on ne peut faire mieux, Sitôt qu'on voit le jour d'en rendre grâce aux Dieux : Je m'en vais assister au temple au sacrifice, Pour ne pas l'interrompre en ce saint exercice."")","('#panfile', ""Vraiment j'en suis fort aise on ne peut faire mieux, Sitôt qu'on voit le jour, d'en rendre grâce aux Dieux. Je m'en vais assister, au temple, au sacrifice, Pour ne pas l'interrompre en ce saint exercice."")",0.0,Match
289,"('#marine', ""C'est bien fait."")","('#marine', ""C'est bien fait."")",0.0,Match
290,"('#panfile', ""Mais Marine avant que de sortir De ses désirs secrets voudrais-tu m'avertir ? Tu sais que pour mari je lui destine un homme Qui n'eut jamais d'égal dans Athènes et dans Rome : Un savant, mais savant qui ne ressemble pas Ceux qui sont d'ordinaire aussi gueux que des rats ; Et qui sait pour charmer l'âme la plus farouche, Parler d'or de la main, ainsi que de la bouche. D'où provient que ma fille en cette occasion, Témoigne pour l'hymen si grande aversion ; Et n'aurait-elle point par une ardeur fatale De même que sa soeur fait voeu d'être Vestale ?"")","('#panfile', ""Mais Marine avant que de sortir, De ses désirs secrets voudrais-tu m'avertir? Tu sais que pour mari je lui destine un homme, Qui n'eut jamais d'égal dans Athènes et dans Rome : Un savant, mais savant qui ne ressemble pas Ceux qui sont, d'ordinaire, aussi gueux que des rats, Et qui sait, pour charmer l'âme la plus farouche, Parler d'or de la main, ainsi que de la bouche. D'où provient que ma fille, en cette occasion, Témoigne pour l'hymen si grande aversion ? Et n'aurait-elle point, par une ardeur fatale, De même que sa soeur, fait voeu d'être vestale ?"")",0.0,Match
291,"('#marine', ""Pour moi, je ne crois pas à dire vérité, Qu'elle ait jusques ici fait voeu de chasteté ; Et cette aversion où votre choix l'engage Est plus pour le mari que pour le mariage. L'époux qu'on lui destine est un barbon hideux, Plus propre à ressentir des glaçons que des feux : Cet objet ne doit pas toucher une jeune âme. Lorsqu'on fait demander une fille pour femme, Une telle demande a toujours des appas ; Mais c'est le demandeur qui souvent ne plaît pas : Si vous ne l'eussiez point refusée à Tersandre, Sans peine au mariage on l'eût fait condescendre."")","('#marine', ""Pour moi, je ne crois pas, à dire vérité, Qu'elle ait, jusques ici, fait voeu de chasteté ; Et cette aversion, où votre choix t'engage, Est plus pour le mari que pour le mariage. L'époux qu'on lui destine est un barbon hideux, Plus propre à ressentir des glaçons que des feux Cet objet ne doit pas toucher une jeune âme. Lorsqu'on fait demander une fille pour femme, Une telle demande a toujours des appas Mais c'est le demandeur qui souvent ne plaît pas. Si vous ne l'eussiez point refusée à Tersandre, Sans peine au mariage on l'eut fait condescendre."")",0.0,Match
292,"('#panfile', 'Le Docteur est plus riche.')","('#panfile', 'Le Docteur est plus riche.')",0.0,Match
293,"('#marine', ""Oui, mais c'est son vieux corps Qu'elle doit épouser et non pas ses trésors."")","('#marine', ""Oui, mais c'est son vieux corps Qu'elle doit épouser, et non pas ses trésors."")",0.0,Match
294,"('#panfile', ""Mais pour ce jeune amant ce conteur de fleurettes, N'a-t-elle point aussi des passions secrètes ?"")","('#panfile', ""Mais pour ce jeune amant, ce conteur de fleurettes, N'a-t-elle point aussi des passions secrètes ?"")",0.0,Match
295,"('#marine', ""Vous lui faites grand tort d'avoir de tels soupçons, Votre fille est fort sage, elle suit mes leçons."")","('#marine', ""Vous lui faites grand tort d'avoir de tels soupçons Votre fille est fort sage ; elle suit mes leçons."")",0.0,Match
296,"('#panfile', ""Je t'estime fidèle, il faut que je te croie ; Mais quel est ce papier ? Il voit la lettre."")","('#panfile', ""Je t'estime fidèle ; il faut que je te croie. Mais quel est ce papier ? Il voit la lettre."")",0.0,Match
297,"('#marine', ""Ce n'est rien."")","('#marine', ""Ce n'est rien."")",0.0,Match
298,"('#panfile', 'Que je voie.')","('#panfile', 'Que je voie.')",0.0,Match
299,"('#marine', ""À d'autres : je connais quel est votre dessein, Vous voulez m'approcher pour me toucher le sein. Qui ne vous connaîtrait ?"")","('#marine', ""À d'autres je connais quel est votre dessein ; Vous voulez m'approcher pour me toucher le sein. Qui ne vous connaîtrait..."")",0.0,Match
300,"('#panfile', ""C'est ?"")","('#panfile', ""C'est..."")",0.06,Substitution
301,"('#marine', ""Vous avez beau dire Vous n'y toucherez point."")","('#marine', ""Vous avez beau dire ; Vous n'y toucherez point."")",0.0,Match
302,"('#panfile', 'Mais !')","('#panfile', 'Mais.')",0.0,Match
303,"('#marine', 'Mais vous voulez rire ?')","('#marine', 'Mais vous voulez rire !')",0.0,Match
304,"('#panfile', ""Ce papier que j'ai vu, doit être un billet_doux ?"")","('#panfile', ""Ce papier que j'ai vu doit être un billet doux."")",0.0,Match
305,"('#marine', ""C'est de mon serviteur ; en êtes-vous jaloux ?"")","('#marine', ""C'est de mon serviteur ; en êtes-vous jaloux ?"")",0.0,Match
306,"('#panfile', ""Va, tu n'es qu'une folle, adieu je vais au Temple. Son procédé me donne un soupçon sans exemple, Sortons pour la surprendre. Bas."")","('#panfile', ""Va, tu n'es qu'une folle. Adieu je vais au temple. Son procédé me donne un soupçon sans exemple : Sortons pour la surprendre. Bas."")",0.0,Match
307,"('#marine', ""Il s'en va fort content ; Mais serrons autre part ce billet important."")","('#marine', ""Il s'en va fort content. Mais serrons autre part ce billet important."")",0.0,Match
308,"('#panfile', ""Retournons doucement, j'espère de la sorte Arracher de ses mains le papier qu'elle porte."")","('#panfile', ""Retournons doucement j'espère, de la sorte, Arracher de ses mains le papier qu'elle porte."")",0.0,Match
309,"('#marine', ""La lettre est chiffonnée, il faut la plier mieux, Ma foi le vieux pénard n'est point malicieux."")","('#marine', ""La lettre est chiffonnée ; il faut la plier mieux. Ma foi, le vieux pénard n'est point malicieux."")",0.0,Match
310,"('#panfile', 'Voyons ton innocence, ou bien ton artifice.')","('#panfile', 'Voyons ton innocence, ou bien ton artifice.')",0.0,Match
311,"('#marine', 'Quoi vous ouvrez ma lettre ?')","('#marine', 'Quoi ! Vous ouvrez ma lettre.')",0.0,Match
312,"('#panfile', ""Oui, mais c'est sans malice, Cet écrit tel qu'il est sans adresse et sans seing, De ma fille pourtant je découvre la main, Parle à qui portes-tu cette lettre fatale De la part d'Isabelle ?"")","('#panfile', ""Oui, mais c'est sans malice. Cet écrit, tel qu'il est, sans adresse et sans seing, De ma fille, pourtant, me découvre la main. Parle, à qui portes-tu cette lettre fatale De la part d'Isabelle ?"")",0.0,Match
313,"('#marine', 'À sa soeur la Vestale.')","('#marine', 'À sa soeur vestale.')",0.0,Match
314,"('#panfile', ""C'est plutôt à Tersandre ?"")","('#panfile', ""C'est plutôt à Tersandre."")",0.0,Match
315,"('#marine', 'Ah ne le croyez point !')","('#marine', 'Ah ! Ne le croyez point.')",0.0,Match
316,"('#panfile', ""La lecture pourra m'éclaircir sur ce point. Hé bien oseras-tu maintenant déloyale Dire que cet écrit soit pour une Vestale ? Ma fille par tes mains l'envoie à son amant. Le peu de soin que tu prends de m'écrire, ne m'empêche pas d'être encore sensible à l'amour, des vertus l'obéissance est celle qui sur toutes me plaît la moins, heureuse entre les filles est celle qui n'a point de parents qui aiment le bien ; on me presse d'épouser un vieux Docteur en vain, j'ai promis de n'y consentir jamais, sans plus songer, à ma promesse il faut que je satisfasse, mon père tâche par des remontrances de me faire accepter ce vieil amant que je ne hais point sans raison, ceux qui m'aiment se feront connaître s'ils s'opposent à ce mariage.  Il lit."")","('#panfile', ""La lecture pourra m'éclaircir sur ce point. Hé bien ! Oseras-tu maintenant, déloyale, Dire que cet écrit soit pour une vestale ? Ma fille, par tes mains, l'envoie à son amant. Le peu de soin que tu prends de m'écrire ne m'empêche pas d'être encore sensible à l'amour.  Des vertus, l'obéissance est celle qui, sur toutes, me plaît la moins.  Heureuse entre les filles est celle qui n'a point de parents qui aiment le bien !  On me presse d'épouser un vieux Docteur en vain ; j'ai promis de n'y consentir jamais ; sans plus songer, à ma promesse il faut que je satisfasse.  Mon père tâche, par des remontrances, de me faire accepter ce vieil amant que je ne hais point sans raison.  Ceux qui m'aiment se feront connaître, s'ils s'opposent à ce mariage. Il lit."")",0.0,Match
317,"('#marine', ""Vous lui faites grand tort, Monsieur, assurément, Vous ne lisez pas bien et j'y mettrais ma vie."")","('#marine', ""Vous lui faites grand tort, Monsieur assurément Vous ne lisez pas bien, et j'y mettrais ma vie."")",0.0,Match
318,"('#panfile', 'Ô Ciel vit-on jamais plus grande effronterie !')","('#panfile', 'Ô Ciel ! Vit-on jamais plus grande effronterie !')",0.0,Match
319,"('#marine', ""Pour qui me prenez-vous, de grâce parlez mieux, Monsieur j'ai de l'honneur."")","('#marine', ""Pour qui me prenez-vous ? De grâce, parlez mieux, Monsieur, j'ai de l'honneur."")",0.0,Match
320,"('#panfile', ""Et moi j'ai de bons yeux."")","('#panfile', ""Et moi j'ai de bons yeux."")",0.0,Match
321,"('#marine', ""N'en déplaise pourtant à vos grandes lunettes, Je crois que vous avez les visières mal nettes ; Regardez de plus près, le sens pourra changer."")","('#marine', ""N'en déplaise pourtant à vos grandes lunettes, Je crois que vous avez les visières mal nettes Regardez de plus près : le sens pourra changer."")",0.0,Match
322,"('#panfile', 'La traîtresse a dessein de me faire enrager.')","('#panfile', 'La traîtresse a dessein de me faire enrager.')",0.0,Match
323,"('#marine', 'Vous nous faites, Monsieur, une injustice extrême, Je connais ma maîtresse.')","('#marine', 'Vous nous faites, Monsieur, une injustice extrême : Je connais ma maîtresse.')",0.0,Match
324,"('#panfile', 'Hé bien, lis donc toi-même !')","('#panfile', 'Hé bien ! Lis donc toi-même.')",0.0,Match
325,"('#marine', ""Si je ne vous fais voir que ces mots seulement S'adressent à sa soeur et non à son amant, Et que c'est sans raison que vous m'avez criée, Que puissé-je mourir sans être mariée. Vous me pouvez bien croire après un tel serment."")","('#marine', ""Si je ne vous fais voir que ces mots seulement S'adressent à sa soeur, et non à son amant, Et que c'est sans raison que vous m'avez criée, Que puisse-je mourir sans être mariée ! Vous me pouvez bien croire après un tel serment."")",0.0,Match
326,"('#panfile', ""J'en doute, hâte-toi de lire promptement."")","('#panfile', ""J'en doute ; hâte-toi de lire promptement."")",0.0,Match
